Destination,SERIES,2018,2019,Average
Albania,VFN,35.0,73.0,54.0
Angola,TFR,4.0,9.0,6.5
Antigua and Barbuda,TFR,113.0,0.0,56.5
Armenia,TFR,22.0,0.0,11.0
Australia,VFR,1780.0,0.0,890.0
Azerbaijan,VFR,1141.0,1292.0,1216.5
Bahamas,TFR,1.0,2.0,1.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,395.0,343.0,369.0
Belgium,TCER,5129.0,0.0,2564.5
Benin,TFR,269.0,0.0,134.5
Bhutan,TFN,1.0,49.0,25.0
Botswana,TFR,60.0,0.0,30.0
Bulgaria,TCER,782.0,586.0,684.0
Cambodia,TFR,276.0,0.0,138.0
Canada,TFR,3107.0,0.0,1553.5
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,220.0,135.0,177.5
China,VFN,15727.0,0.0,7863.5
Colombia,TFR,21.0,0.0,10.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,11.0,18.0,14.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,12.0,0.0,6.0
Ecuador,VFR,110.0,0.0,55.0
Egypt,VFN,1486.0,0.0,743.0
Finland,TCER,347.0,516.0,431.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,153905.0,0.0,76952.5
Indonesia,VFN,1139.0,703.0,921.0
"Iran, Islamic Republic of",VFN,1011317.0,0.0,505658.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,690.0,0.0,345.0
Japan,VFN,3045.0,3069.0,3057.0
Jordan,TFN,1561.0,0.0,780.5
Kazakhstan,VFR,3995.0,4071.0,4033.0
"Korea, Republic of",VFN,721.0,802.0,761.5
Kuwait,VFN,12759.0,0.0,6379.5
Kyrgyzstan,VFR,1218.0,0.0,609.0
Latvia,TCER,589.0,786.0,687.5
Lebanon,TFN,640.0,624.0,632.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,11.0,0.0,5.5
Malaysia,TFN,867.0,976.0,921.5
Maldives,TFN,166.0,0.0,83.0
Mali,TFR,38.0,0.0,19.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,743.0,815.0,779.0
Mexico,TFR,215.0,0.0,107.5
Mongolia,TFN,38.0,33.0,35.5
Morocco,TFN,414.0,0.0,207.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,127.0,150.0,138.5
Nicaragua,TFN,0.0,1.0,0.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,9.0,0.0,4.5
Paraguay,TFN,209.0,0.0,104.5
Poland,TCER,2425.0,0.0,1212.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,100131.0,109155.0,104643.0
Seychelles,TFR,14.0,7.0,10.5
Sierra Leone,TFR,25.0,0.0,12.5
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,273.0,254.0,263.5
Sri Lanka,TFR,861.0,473.0,667.0
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,471.0,434.0,452.5
Tajikistan,VFR,8827.0,0.0,4413.5
"Tanzania, United Republic of",VFR,108.0,0.0,54.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,0.0,45.0,22.5
Trinidad and Tobago,TFN,1.0,2.0,1.5
Turkey,TFN,56542.0,0.0,28271.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,1331.0,0.0,665.5
United Arab Emirates,THSN,13034.0,24768.0,18901.0
United States of America,TFR,2246.0,3170.0,2708.0
Uzbekistan,VFR,44220.0,0.0,22110.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
