Destination,SERIES,2018,2019,Average
Angola,TFR,26.0,10.0,18.0
Antigua and Barbuda,TFR,8.0,0.0,4.0
Armenia,TFR,147.0,0.0,73.5
Australia,VFR,380.0,0.0,190.0
Azerbaijan,VFR,239.0,269.0,254.0
Bahamas,TFR,17.0,39.0,28.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,10.0,0.0,5.0
Belarus,VFN,179.0,243.0,211.0
Belgium,TCER,14798.0,0.0,7399.0
Bhutan,TFN,2.0,2.0,2.0
Bosnia and Herzegovina,TCER,5090.0,0.0,2545.0
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,10617.0,9662.0,10139.5
Canada,TFR,2360.0,0.0,1180.0
Cayman Islands,TFR,2.0,0.0,1.0
Chile,TFN,74.0,84.0,79.0
China,VFN,3675.0,0.0,1837.5
Colombia,TFR,104.0,0.0,52.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,47.0,52.0,49.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,6.0,0.0,3.0
Ecuador,VFR,201.0,0.0,100.5
Egypt,VFN,2366.0,0.0,1183.0
El Salvador,TFN,14.0,16.0,15.0
Estonia,TCER,461.0,0.0,230.5
Finland,TCER,431.0,574.0,502.5
Greece,TFR,986363.0,944489.0,965426.0
Grenada,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,6.0,4.0,5.0
India,TFN,572.0,0.0,286.0
Indonesia,VFN,758.0,1041.0,899.5
"Iran, Islamic Republic of",VFN,111.0,0.0,55.5
Israel,TFR,1531.0,0.0,765.5
Italy,TFN,212434.0,268839.0,240636.5
Japan,VFN,346.0,491.0,418.5
Jordan,TFN,263.0,0.0,131.5
Kazakhstan,VFR,222.0,168.0,195.0
"Korea, Republic of",VFN,469.0,414.0,441.5
Kuwait,VFN,1625.0,0.0,812.5
Latvia,TCER,445.0,739.0,592.0
Lebanon,TFN,184.0,152.0,168.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,6.0,0.0,3.0
Malaysia,TFN,525.0,680.0,602.5
Maldives,TFN,562.0,0.0,281.0
Mali,TFR,36.0,0.0,18.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,76.0,128.0,102.0
Mexico,TFR,343.0,0.0,171.5
"Moldova, Republic of",TCEN,257.0,334.0,295.5
Mongolia,TFN,12.0,44.0,28.0
Montenegro,TCEN,65419.0,0.0,32709.5
Morocco,TFN,1632.0,0.0,816.0
New Zealand,VFR,33.0,35.0,34.0
Nicaragua,TFN,6.0,0.0,3.0
North Macedonia,TCEN,27311.0,27311.0,27311.0
Norway,TCER,1571.0,1539.0,1555.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,43.0,0.0,21.5
Paraguay,TFN,10.0,0.0,5.0
Poland,TCER,2174.0,0.0,1087.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,113.0,0.0,56.5
Saudi Arabia,TFN,1096.0,1379.0,1237.5
Seychelles,TFR,59.0,101.0,80.0
Sierra Leone,TFR,10.0,0.0,5.0
Slovakia,TCEN,1928.0,3583.0,2755.5
South Africa,TFR,188.0,214.0,201.0
Sri Lanka,TFR,177.0,369.0,273.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,170.0,0.0,85.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,400.0,113.0,256.5
Trinidad and Tobago,TFN,5.0,3.0,4.0
Turkey,TFN,124120.0,0.0,62060.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,1654.0,0.0,827.0
United Arab Emirates,THSN,1728.0,4940.0,3334.0
United States of America,TFR,17782.0,18715.0,18248.5
Uzbekistan,VFR,27.0,0.0,13.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
