Destination,SERIES,2018,2019,Average
Albania,VFN,133.0,193.0,163.0
Angola,TFR,499.0,318.0,408.5
Antigua and Barbuda,TFR,8.0,0.0,4.0
Armenia,TFR,24.0,0.0,12.0
Australia,VFR,510.0,0.0,255.0
Azerbaijan,VFR,552.0,978.0,765.0
Bahamas,TFR,18.0,29.0,23.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,8.0,0.0,4.0
Belarus,VFN,238.0,212.0,225.0
Belgium,TCER,4180.0,0.0,2090.0
Benin,TFR,1521.0,0.0,760.5
Bhutan,TFN,1.0,2.0,1.5
Botswana,TFR,16.0,0.0,8.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,706.0,1582.0,1144.0
Canada,TFR,21097.0,0.0,10548.5
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,45.0,241.0,143.0
China,VFN,26961.0,0.0,13480.5
Colombia,TFR,117.0,0.0,58.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,58.0,48.0,53.0
Dominica,TFR,2.0,0.0,1.0
Ecuador,VFR,267.0,0.0,133.5
Egypt,VFN,62604.0,0.0,31302.0
Finland,TCER,363.0,447.0,405.0
Grenada,TFN,3.0,2.0,2.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,2408.0,0.0,1204.0
Indonesia,VFN,4214.0,5000.0,4607.0
"Iran, Islamic Republic of",VFN,790.0,0.0,395.0
Israel,TFR,44.0,0.0,22.0
Italy,TFN,9292.0,6696.0,7994.0
Japan,VFN,939.0,1029.0,984.0
Jordan,TFN,9064.0,0.0,4532.0
Kazakhstan,VFR,80.0,137.0,108.5
"Korea, Republic of",VFN,1253.0,1519.0,1386.0
Kuwait,VFN,5404.0,0.0,2702.0
Latvia,TCER,113.0,84.0,98.5
Lebanon,TFN,7213.0,7496.0,7354.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,132.0,0.0,66.0
Malaysia,TFN,12151.0,14279.0,13215.0
Maldives,TFN,1523.0,0.0,761.5
Mali,TFR,4835.0,0.0,2417.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,303.0,352.0,327.5
Mexico,TFR,388.0,0.0,194.0
Mongolia,TFN,12.0,8.0,10.0
Morocco,TFN,104571.0,0.0,52285.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,20.0,28.0,24.0
Nicaragua,TFN,9.0,7.0,8.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,205.0,0.0,102.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,52.0,0.0,26.0
Paraguay,TFN,44.0,0.0,22.0
Poland,TCER,1812.0,0.0,906.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,447750.0,374389.0,411069.5
Seychelles,TFR,168.0,140.0,154.0
Sierra Leone,TFR,89.0,0.0,44.5
South Africa,TFR,1083.0,1488.0,1285.5
Sri Lanka,TFR,368.0,272.0,320.0
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,1908.0,1904.0,1906.0
Tajikistan,VFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,866.0,0.0,433.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,483.0,1320.0,901.5
Trinidad and Tobago,TFN,16.0,20.0,18.0
Tunisia,TFN,2728011.0,2934975.0,2831493.0
Turkey,TFN,287912.0,0.0,143956.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,2213.0,0.0,1106.5
United Arab Emirates,THSN,9481.0,113619.0,61550.0
United States of America,TFR,12690.0,13523.0,13106.5
Uzbekistan,VFR,112.0,0.0,56.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
