Destination,SERIES,2018,2019,Average
Australia,VFR,20.0,0.0,10.0
Azerbaijan,VFR,1.0,4.0,2.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,0.0,4.0,2.0
Belgium,TCER,293.0,0.0,146.5
Botswana,TFR,15.0,0.0,7.5
Canada,TFR,1024.0,0.0,512.0
Cayman Islands,TFR,1.0,0.0,0.5
Colombia,TFR,0.0,0.0,0.0
Ecuador,VFR,7.0,0.0,3.5
Finland,TCER,55.0,14.0,34.5
India,TFN,17.0,0.0,8.5
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Kazakhstan,VFR,0.0,1.0,0.5
"Korea, Republic of",VFN,0.0,1.0,0.5
Malaysia,TFN,0.0,0.0,0.0
Mauritius,TFR,320.0,465.0,392.5
Mexico,TFR,0.0,0.0,0.0
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,0.0,0.0,0.0
New Zealand,VFR,1355.0,1850.0,1602.5
Northern Mariana Islands,VFN,0.0,0.0,0.0
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Samoa,VFR,15686.0,14960.0,15323.0
Saudi Arabia,TFN,34875.0,3.0,17439.0
South Africa,TFR,1.0,3.0,2.0
Suriname,TFR,0.0,0.0,0.0
Tonga,TFR,159.0,0.0,79.5
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,4211.0,2032.0,3121.5
