Destination,SERIES,2018,2019,Average
Albania,VFN,28.0,84.0,56.0
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,16.0,0.0,8.0
Australia,VFR,330.0,0.0,165.0
Azerbaijan,VFR,25.0,34.0,29.5
Bahamas,TFR,37.0,27.0,32.0
Barbados,TFR,4.0,0.0,2.0
Belarus,VFN,14.0,64.0,39.0
Belgium,TCER,1725.0,0.0,862.5
Bhutan,TFN,4.0,4.0,4.0
Botswana,TFR,45.0,0.0,22.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,302.0,266.0,284.0
Canada,TFR,696.0,0.0,348.0
Cayman Islands,TFR,19.0,0.0,9.5
Chile,TFN,142.0,145.0,143.5
China,VFN,164.0,0.0,82.0
Colombia,TFR,112.0,0.0,56.0
Costa Rica,TFN,95.0,93.0,94.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,67.0,0.0,33.5
Finland,TCER,165.0,193.0,179.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,208.0,0.0,104.0
Indonesia,VFN,219.0,235.0,227.0
Israel,TFR,87.0,0.0,43.5
Italy,TFN,3361.0,1550.0,2455.5
Japan,VFN,215.0,235.0,225.0
Jordan,TFN,66.0,0.0,33.0
Kazakhstan,VFR,39.0,7.0,23.0
"Korea, Republic of",VFN,67.0,49.0,58.0
Kuwait,VFN,1.0,0.0,0.5
Latvia,TCER,411.0,676.0,543.5
Lebanon,TFN,10.0,11.0,10.5
Madagascar,TFN,40.0,0.0,20.0
Malaysia,TFN,101.0,103.0,102.0
Maldives,TFN,71.0,0.0,35.5
Mali,TFR,10.0,0.0,5.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,72.0,97.0,84.5
Mexico,TFR,24243.0,0.0,12121.5
Mongolia,TFN,2.0,10.0,6.0
Morocco,TFN,1098.0,0.0,549.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,121.0,99.0,110.0
Nicaragua,TFN,5.0,4.0,4.5
Norway,TCER,904.0,1233.0,1068.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,103.0,0.0,51.5
Paraguay,TFN,13.0,0.0,6.5
Philippines,TFR,273.0,25.0,149.0
Poland,TCER,521.0,0.0,260.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,115.0,0.0,57.5
Saudi Arabia,TFN,8.0,110.0,59.0
Seychelles,TFR,48.0,42.0,45.0
Sierra Leone,TFR,3.0,0.0,1.5
South Africa,TFR,68.0,100.0,84.0
Sri Lanka,TFR,53.0,53.0,53.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,104.0,0.0,52.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,0.0,308.0,154.0
Trinidad and Tobago,TFN,6.0,4.0,5.0
Turkey,TFN,305.0,0.0,152.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,106.0,0.0,53.0
United Arab Emirates,THSN,498.0,2526.0,1512.0
United States of America,TFR,1968.0,2218.0,2093.0
Uzbekistan,VFR,38.0,0.0,19.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
