Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,5.0,0.0,2.5
Armenia,TFR,3.0,0.0,1.5
Australia,VFR,140.0,0.0,70.0
Azerbaijan,VFR,36.0,32.0,34.0
Bahamas,TFR,10.0,12.0,11.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,2.0,0.0,1.0
Belarus,VFN,61.0,154.0,107.5
Belgium,TCER,1068.0,0.0,534.0
Benin,TFR,462.0,0.0,231.0
Bhutan,TFN,0.0,3.0,1.5
Botswana,TFR,1403.0,0.0,701.5
Brazil,TFR,17861.0,19137.0,18499.0
Bulgaria,TCER,85.0,128.0,106.5
Canada,TFR,490.0,0.0,245.0
Cayman Islands,TFR,2.0,0.0,1.0
Chile,TFN,28.0,47.0,37.5
China,VFN,12240.0,0.0,6120.0
Colombia,TFR,28.0,0.0,14.0
Congo,THSR,6567.0,0.0,3283.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,14.0,17.0,15.5
Cuba,VFR,0.0,0.0,0.0
Ecuador,VFR,318.0,0.0,159.0
Egypt,VFN,705.0,0.0,352.5
Finland,TCER,24.0,15.0,19.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,1315.0,0.0,657.5
Indonesia,VFN,250.0,208.0,229.0
Israel,TFR,466.0,0.0,233.0
Italy,TFN,587.0,0.0,293.5
Japan,VFN,200.0,388.0,294.0
Jordan,TFN,17.0,0.0,8.5
Kazakhstan,VFR,19.0,5.0,12.0
"Korea, Republic of",VFN,261.0,397.0,329.0
Kuwait,VFN,221.0,0.0,110.5
Latvia,TCER,18.0,23.0,20.5
Lebanon,TFN,165.0,119.0,142.0
Madagascar,TFN,65.0,0.0,32.5
Malaysia,TFN,93.0,66.0,79.5
Maldives,TFN,41.0,0.0,20.5
Mali,TFR,840.0,0.0,420.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,637.0,627.0,632.0
Mexico,TFR,205.0,0.0,102.5
Mongolia,TFN,0.0,5.0,2.5
Morocco,TFN,674.0,0.0,337.0
Namibia,TFN,489013.0,563978.0,526495.5
New Zealand,VFR,41.0,48.0,44.5
Nicaragua,TFN,3.0,43.0,23.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,343.0,0.0,171.5
Paraguay,TFN,84.0,0.0,42.0
Poland,TCER,547.0,0.0,273.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,49.0,103.0,76.0
Seychelles,TFR,297.0,181.0,239.0
Sierra Leone,TFR,10.0,0.0,5.0
South Africa,TFR,64859.0,61995.0,63427.0
Sri Lanka,TFR,9.0,17.0,13.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,2065.0,0.0,1032.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,271.0,285.0,278.0
Trinidad and Tobago,TFN,10.0,15.0,12.5
Turkey,TFN,3428.0,0.0,1714.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,329.0,0.0,164.5
United Arab Emirates,THSN,691.0,3879.0,2285.0
United States of America,TFR,7807.0,6620.0,7213.5
Uzbekistan,VFR,1.0,0.0,0.5
Zambia,TFR,0.0,0.0,0.0
Zimbabwe,VFR,8509.0,0.0,4254.5
