Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,525.0,0.0,262.5
Australia,VFR,10.0,0.0,5.0
Azerbaijan,VFR,0.0,0.0,0.0
Bahamas,TFR,63.0,41.0,52.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,265.0,0.0,132.5
Belarus,VFN,0.0,1.0,0.5
Belgium,TCER,167.0,0.0,83.5
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,525.0,0.0,262.5
Cayman Islands,TFR,38.0,0.0,19.0
China,VFN,16.0,0.0,8.0
Colombia,TFR,1.0,0.0,0.5
Costa Rica,TFN,6.0,0.0,3.0
Dominica,TFR,203.0,0.0,101.5
Ecuador,VFR,13.0,0.0,6.5
Finland,TCER,15.0,10.0,12.5
Grenada,TFN,54.0,44.0,49.0
Guyana,TFR,148.0,161.0,154.5
Haiti,TFR,0.0,1.0,0.5
India,TFN,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Kazakhstan,VFR,2.0,1.0,1.5
Kuwait,VFN,0.0,0.0,0.0
Malaysia,TFN,8.0,7.0,7.5
Mali,TFR,7.0,0.0,3.5
Mauritius,TFR,1.0,1.0,1.0
Mexico,TFR,75.0,0.0,37.5
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,0.0,0.0,0.0
New Zealand,VFR,2.0,8.0,5.0
Nicaragua,TFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,2.0,0.0,1.0
Paraguay,TFN,3.0,0.0,1.5
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,222.0,0.0,111.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,55.0,53.0,54.0
Turkey,TFN,483.0,0.0,241.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,5.0,0.0,2.5
United Arab Emirates,THSN,23.0,0.0,11.5
United States of America,TFR,1245.0,1988.0,1616.5
Uzbekistan,VFR,0.0,0.0,0.0
