Destination,SERIES,2018,2019,Average
Albania,VFN,14.0,205.0,109.5
Angola,TFR,0.0,0.0,0.0
Armenia,TFR,9.0,0.0,4.5
Australia,VFR,30.0,0.0,15.0
Azerbaijan,VFR,2.0,9.0,5.5
Bahamas,TFR,184.0,161.0,172.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,6294.0,0.0,3147.0
Belarus,VFN,0.0,10.0,5.0
Belgium,TCER,463.0,0.0,231.5
Bhutan,TFN,1.0,0.0,0.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,11.0,0.0,5.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,15.0,33.0,24.0
Canada,TFR,2745.0,0.0,1372.5
Cayman Islands,TFR,74.0,0.0,37.0
Chile,TFN,0.0,0.0,0.0
China,VFN,814.0,0.0,407.0
Colombia,TFR,130.0,0.0,65.0
Costa Rica,TFN,80.0,68.0,74.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,2570.0,0.0,1285.0
Ecuador,VFR,15.0,0.0,7.5
El Salvador,TFN,15.0,38.0,26.5
Finland,TCER,37.0,35.0,36.0
Grenada,TFN,484.0,519.0,501.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,2242.0,2210.0,2226.0
Haiti,TFR,0.0,9.0,4.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,269.0,0.0,134.5
Indonesia,VFN,70.0,91.0,80.5
Israel,TFR,15.0,0.0,7.5
Italy,TFN,0.0,0.0,0.0
Jamaica,TFR,2271.0,2600.0,2435.5
Japan,VFN,75.0,70.0,72.5
Jordan,TFN,49.0,0.0,24.5
Kazakhstan,VFR,0.0,9.0,4.5
"Korea, Republic of",VFN,98.0,102.0,100.0
Latvia,TCER,233.0,43.0,138.0
Lebanon,TFN,619.0,642.0,630.5
Malaysia,TFN,154.0,213.0,183.5
Maldives,TFN,21.0,0.0,10.5
Mali,TFR,2.0,0.0,1.0
Mauritius,TFR,16.0,12.0,14.0
Mexico,TFR,210.0,0.0,105.0
Mongolia,TFN,1.0,1.0,1.0
New Zealand,VFR,24.0,51.0,37.5
Nicaragua,TFN,4.0,7.0,5.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,268.0,0.0,134.0
Paraguay,TFN,14.0,0.0,7.0
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,1741.0,0.0,870.5
Saint Vincent and the Grenadines,TFR,0.0,0.0,0.0
Seychelles,TFR,4.0,3.0,3.5
Sint Maarten (Dutch part),TFN,1145.0,0.0,572.5
South Africa,TFR,86.0,143.0,114.5
Sri Lanka,TFR,20.0,19.0,19.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,298.0,0.0,149.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,2228.0,2396.0,2312.0
Turkey,TFN,0.0,0.0,0.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,24.0,0.0,12.0
United Arab Emirates,THSN,284.0,1728.0,1006.0
United States of America,TFR,16437.0,18229.0,17333.0
Uzbekistan,VFR,5.0,0.0,2.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
