Destination,SERIES,2018,2019,Average
Albania,VFN,1876.0,2110.0,1993.0
Algeria,VFN,728.0,425.0,576.5
Angola,TFR,373.0,455.0,414.0
Antigua and Barbuda,TFR,240.0,0.0,120.0
Armenia,TFR,1556.0,0.0,778.0
Aruba,TFR,26370.0,0.0,13185.0
Australia,VFR,29020.0,0.0,14510.0
Austria,TCER,0.0,0.0,0.0
Azerbaijan,VFR,398.0,483.0,440.5
Bahamas,TFR,6594.0,5045.0,5819.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,671.0,0.0,335.5
Belarus,VFN,2285.0,804.0,1544.5
Belgium,TCER,37027.0,0.0,18513.5
Benin,TFR,428.0,0.0,214.0
Bhutan,TFN,205.0,124.0,164.5
"Bolivia, Plurinational State of",TFN,314895.0,0.0,157447.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,434.0,0.0,217.0
Brazil,TFR,2498483.0,1954725.0,2226604.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,2347.0,2950.0,2648.5
Cambodia,TFR,10972.0,0.0,5486.0
Canada,TFR,29402.0,0.0,14701.0
Cayman Islands,TFR,1099.0,0.0,549.5
Chile,TFN,2422235.0,1435467.0,1928851.0
China,VFN,34229.0,0.0,17114.5
Colombia,TFR,197707.0,0.0,98853.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,40832.0,37948.0,39390.0
Cuba,VFR,97358.0,0.0,48679.0
Curaçao,TFR,2696.0,0.0,1348.0
Dominica,TFR,30.0,0.0,15.0
Dominican Republic,TFR,219027.0,186419.0,202723.0
Ecuador,VFR,40504.0,0.0,20252.0
Egypt,VFN,14483.0,0.0,7241.5
El Salvador,TFN,4940.0,3774.0,4357.0
Finland,TCER,6337.0,4313.0,5325.0
French Polynesia,TFR,2067.0,1073.0,1570.0
Georgia,THSR,859.0,0.0,429.5
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,178.0,174.0,176.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,270.0,258.0,264.0
Haiti,TFR,0.0,121.0,60.5
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,11776.0,9231.0,10503.5
India,TFN,16345.0,0.0,8172.5
Indonesia,VFN,11468.0,9994.0,10731.0
"Iran, Islamic Republic of",VFN,451.0,0.0,225.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,34803.0,0.0,17401.5
Italy,TFN,439179.0,483472.0,461325.5
Jamaica,TFR,5774.0,6935.0,6354.5
Japan,VFN,23692.0,23805.0,23748.5
Jordan,TFN,2997.0,0.0,1498.5
Kazakhstan,VFR,388.0,413.0,400.5
"Korea, Republic of",VFN,4832.0,5153.0,4992.5
Kuwait,VFN,458.0,0.0,229.0
Latvia,TCER,2370.0,1124.0,1747.0
Lebanon,TFN,2780.0,2950.0,2865.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,1891.0,0.0,945.5
Malaysia,TFN,10495.0,7750.0,9122.5
Maldives,TFN,3192.0,0.0,1596.0
Mali,TFR,37.0,0.0,18.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,2019.0,1623.0,1821.0
Mexico,TFR,454348.0,0.0,227174.0
Monaco,THSN,809.0,766.0,787.5
Mongolia,TFN,586.0,438.0,512.0
Montenegro,TCEN,963.0,0.0,481.5
Morocco,TFN,24390.0,0.0,12195.0
Nepal,TFN,0.0,0.0,0.0
New Caledonia,TFR,75.0,49.0,62.0
New Zealand,VFR,21724.0,14095.0,17909.5
Nicaragua,TFN,3630.0,3604.0,3617.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,613.0,0.0,306.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,16.0,0.0,8.0
Panama,VFR,80000.0,0.0,40000.0
Paraguay,TFN,824333.0,0.0,412166.5
Peru,TFR,216041.0,0.0,108020.5
Philippines,TFR,3468.0,3643.0,3555.5
Poland,TCER,7748.0,0.0,3874.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,59339.0,0.0,29669.5
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
San Marino,VFN,3158.0,0.0,1579.0
Saudi Arabia,TFN,627.0,88.0,357.5
Seychelles,TFR,798.0,692.0,745.0
Sierra Leone,TFR,157.0,0.0,78.5
Singapore,VFR,0.0,0.0,0.0
