Destination,SERIES,2018,2019,Average
Albania,VFN,404.0,287.0,345.5
Angola,TFR,58.0,86.0,72.0
Australia,VFR,340.0,0.0,170.0
Azerbaijan,VFR,5.0,7.0,6.0
Bahamas,TFR,33.0,50.0,41.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,2.0,0.0,1.0
Belarus,VFN,12147.0,11762.0,11954.5
Belgium,TCER,1720.0,0.0,860.0
Bhutan,TFN,4.0,18.0,11.0
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,2700.0,3407.0,3053.5
Canada,TFR,1416.0,0.0,708.0
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,17.0,27.0,22.0
China,VFN,8032.0,0.0,4016.0
Colombia,TFR,37.0,0.0,18.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,32.0,45.0,38.5
Ecuador,VFR,33.0,0.0,16.5
Egypt,VFN,32049.0,0.0,16024.5
El Salvador,TFN,6.0,7.0,6.5
Finland,TCER,299.0,469.0,384.0
Georgia,THSR,94153.0,0.0,47076.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,4.0,2.0
India,TFN,1283.0,0.0,641.5
Indonesia,VFN,857.0,1281.0,1069.0
"Iran, Islamic Republic of",VFN,142979.0,0.0,71489.5
Israel,TFR,3033.0,0.0,1516.5
Italy,TFN,2731.0,8351.0,5541.0
Japan,VFN,359.0,504.0,431.5
Jordan,TFN,951.0,0.0,475.5
Kazakhstan,VFR,24166.0,22056.0,23111.0
"Korea, Republic of",VFN,305.0,376.0,340.5
Kuwait,VFN,3594.0,0.0,1797.0
Kyrgyzstan,VFR,1131.0,0.0,565.5
Latvia,TCER,1807.0,1333.0,1570.0
Lebanon,TFN,13680.0,13923.0,13801.5
Madagascar,TFN,2.0,0.0,1.0
Malaysia,TFN,564.0,577.0,570.5
Maldives,TFN,450.0,0.0,225.0
Mali,TFR,5.0,0.0,2.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,46.0,44.0,45.0
Mexico,TFR,816.0,0.0,408.0
"Moldova, Republic of",TCEN,2091.0,694.0,1392.5
Mongolia,TFN,67.0,47.0,57.0
Morocco,TFN,1328.0,0.0,664.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,29.0,43.0,36.0
Nicaragua,TFN,10.0,0.0,5.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,41.0,0.0,20.5
Paraguay,TFN,17.0,0.0,8.5
Poland,TCER,2033.0,0.0,1016.5
Russian Federation,VFN,565807.0,0.0,282903.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,416.0,0.0,208.0
Saudi Arabia,TFN,180.0,410.0,295.0
Seychelles,TFR,61.0,51.0,56.0
South Africa,TFR,135.0,109.0,122.0
Sri Lanka,TFR,1210.0,983.0,1096.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,129.0,0.0,64.5
"Tanzania, United Republic of",VFR,188.0,0.0,94.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,0.0,83.0,41.5
Trinidad and Tobago,TFN,5.0,9.0,7.0
Turkey,TFN,51811.0,0.0,25905.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,31172.0,0.0,15586.0
United Arab Emirates,THSN,17262.0,34256.0,25759.0
United States of America,TFR,12450.0,14896.0,13673.0
Uzbekistan,VFR,1409.0,0.0,704.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
