Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,31.0,0.0,15.5
Australia,VFR,70.0,0.0,35.0
Azerbaijan,VFR,2.0,0.0,1.0
Bahamas,TFR,65.0,69.0,67.0
Barbados,TFR,58.0,0.0,29.0
Belgium,TCER,198.0,0.0,99.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,15.0,0.0,7.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,4.0,218.0,111.0
China,VFN,7.0,0.0,3.5
Colombia,TFR,2399.0,0.0,1199.5
Costa Rica,TFN,0.0,1.0,0.5
Curaçao,TFR,14062.0,0.0,7031.0
Dominica,TFR,28.0,0.0,14.0
Dominican Republic,TFR,1681.0,1128.0,1404.5
Ecuador,VFR,326.0,0.0,163.0
Finland,TCER,32.0,42.0,37.0
Grenada,TFN,45.0,55.0,50.0
Guyana,TFR,110.0,128.0,119.0
Haiti,TFR,0.0,0.0,0.0
Italy,TFN,2299.0,265.0,1282.0
Jamaica,TFR,437.0,492.0,464.5
Kazakhstan,VFR,2.0,0.0,1.0
Kuwait,VFN,0.0,0.0,0.0
Malaysia,TFN,8.0,9.0,8.5
Mali,TFR,8.0,0.0,4.0
Mauritius,TFR,0.0,3.0,1.5
Mexico,TFR,224.0,0.0,112.0
Mongolia,TFN,0.0,0.0,0.0
New Zealand,VFR,23.0,22.0,22.5
Nicaragua,TFN,0.0,0.0,0.0
Panama,VFR,79.0,0.0,39.5
Paraguay,TFN,4.0,0.0,2.0
Peru,TFR,200.0,0.0,100.0
Poland,TCER,127.0,0.0,63.5
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,31.0,0.0,15.5
Saudi Arabia,TFN,16.0,6.0,11.0
Seychelles,TFR,1.0,0.0,0.5
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,1.0,0.0,0.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,31.0,0.0,15.5
United States of America,TFR,22127.0,25927.0,24027.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
