Destination,SERIES,2018,2019,Average
Albania,VFN,19065.0,19452.0,19258.5
Algeria,VFN,991.0,713.0,852.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,678.0,583.0,630.5
Antigua and Barbuda,TFR,661.0,0.0,330.5
Argentina,TFR,50336.0,0.0,25168.0
Armenia,TFR,4263.0,0.0,2131.5
Austria,TCER,149802.0,151157.0,150479.5
Azerbaijan,VFR,3255.0,4064.0,3659.5
Bahamas,TFR,4207.0,3992.0,4099.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1986.0,0.0,993.0
Belarus,VFN,3059.0,2894.0,2976.5
Belgium,TCER,57527.0,0.0,28763.5
Benin,TFR,31.0,0.0,15.5
Bermuda,TFR,877.0,0.0,438.5
Bhutan,TFN,2739.0,3153.0,2946.0
Bosnia and Herzegovina,TCER,9236.0,0.0,4618.0
Botswana,TFR,17599.0,0.0,8799.5
Brazil,TFR,42235.0,56158.0,49196.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,9702.0,10188.0,9945.0
Bulgaria,TCER,12531.0,13586.0,13058.5
Cambodia,TFR,127430.0,0.0,63715.0
Canada,TFR,348984.0,0.0,174492.0
Cayman Islands,TFR,1041.0,0.0,520.5
Chile,TFN,52653.0,51640.0,52146.5
China,VFN,751865.0,0.0,375932.5
Colombia,TFR,16641.0,0.0,8320.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,27193.0,28982.0,28087.5
Costa Rica,TFN,11159.0,10885.0,11022.0
Croatia,TCER,217341.0,217190.0,217265.5
Cuba,VFR,21127.0,0.0,10563.5
Cyprus,TFR,22197.0,0.0,11098.5
Czech Republic,TCEN,85792.0,80337.0,83064.5
Denmark,TCER,69276.0,74502.0,71889.0
Dominica,TFR,94.0,0.0,47.0
Dominican Republic,TFR,1239.0,1695.0,1467.0
Ecuador,VFR,11906.0,0.0,5953.0
Egypt,VFN,40109.0,0.0,20054.5
El Salvador,TFN,2892.0,2170.0,2531.0
Eritrea,VFN,0.0,0.0,0.0
Estonia,TCER,7821.0,0.0,3910.5
Eswatini,THSR,2411.0,0.0,1205.5
Ethiopia,TFR,7402.0,0.0,3701.0
Fiji,TFR,365660.0,367020.0,366340.0
Finland,TCER,43608.0,43658.0,43633.0
French Polynesia,TFR,9335.0,8204.0,8769.5
Georgia,THSR,3386.0,0.0,1693.0
Germany,TCER,344903.0,348131.0,346517.0
Greece,TFR,322497.0,338562.0,330529.5
Grenada,TFN,410.0,333.0,371.5
Guam,TFR,2643.0,3679.0,3161.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,442838.0,370654.0,406746.0
Hungary,TFN,118167.0,127214.0,122690.5
Iceland,TFN,0.0,0.0,0.0
India,TFN,346486.0,0.0,173243.0
Indonesia,VFN,1301478.0,1386803.0,1344140.5
"Iran, Islamic Republic of",VFN,8169.0,0.0,4084.5
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,0.0,0.0,0.0
Israel,TFR,43050.0,0.0,21525.0
Italy,TFN,784455.0,816467.0,800461.0
Jamaica,TFR,2307.0,2095.0,2201.0
Japan,VFN,552440.0,621771.0,587105.5
Jordan,TFN,19936.0,0.0,9968.0
Kazakhstan,VFR,5060.0,5902.0,5481.0
Kenya,VFR,0.0,0.0,0.0
Kiribati,TFN,1414.0,0.0,707.0
"Korea, Republic of",VFN,153133.0,173218.0,163175.5
Kuwait,VFN,10629.0,0.0,5314.5
Kyrgyzstan,VFR,2671.0,0.0,1335.5
Lao People's Democratic Republic,VFN,19607.0,24750.0,22178.5
Latvia,TCER,8084.0,7721.0,7902.5
Lebanon,TFN,84218.0,75589.0,79903.5
Lesotho,VFR,685.0,826.0,755.5
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,613.0,697.0,655.0
Luxembourg,TCER,3184.0,0.0,1592.0
"Macao, China",THSR,43489.0,38997.0,41243.0
Madagascar,TFN,1815.0,0.0,907.5
Malaysia,TFN,351500.0,368271.0,359885.5
Maldives,TFN,37254.0,0.0,18627.0
Mali,TFR,661.0,0.0,330.5
Malta,TFR,0.0,0.0,0.0
Marshall Islands,TFR,0.0,0.0,0.0
Mauritius,TFR,20949.0,18997.0,19973.0
Mexico,TFR,68188.0,0.0,34094.0
"Micronesia, Federated States of",TFR,0.0,0.0,0.0
Monaco,THSN,4718.0,4241.0,4479.5
Mongolia,TFN,7495.0,7014.0,7254.5
Montenegro,TCEN,8916.0,0.0,4458.0
Morocco,TFN,37813.0,0.0,18906.5
Myanmar,TFN,27962.0,25867.0,26914.5
Namibia,TFN,0.0,0.0,0.0
Nepal,TFN,38408.0,38972.0,38690.0
New Caledonia,TFR,23025.0,25732.0,24378.5
New Zealand,VFR,1494541.0,1537988.0,1516264.5
Nicaragua,TFN,3102.0,2896.0,2999.0
Nigeria,VFN,0.0,0.0,0.0
Niue,TFR,0.0,0.0,0.0
North Macedonia,TCEN,9701.0,9511.0,9606.0
Northern Mariana Islands,VFN,277.0,0.0,138.5
Norway,TCER,68897.0,68857.0,68877.0
Oman,VFR,11753.0,0.0,5876.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,632.0,0.0,316.0
Panama,VFR,4879.0,0.0,2439.5
Papua New Guinea,VFR,105264.0,103440.0,104352.0
Paraguay,TFN,358.0,0.0,179.0
Peru,TFR,39565.0,0.0,19782.5
Philippines,TFR,279828.0,286170.0,282999.0
Poland,TCER,35667.0,0.0,17833.5
Portugal,TCER,145890.0,153736.0,149813.0
Qatar,VFN,49513.0,55047.0,52280.0
Reunion,TFR,0.0,0.0,0.0
Romania,TCER,14025.0,15652.0,14838.5
Russian Federation,VFN,65935.0,0.0,32967.5
Rwanda,VFN,0.0,0.0,0.0
Samoa,VFR,36653.0,40170.0,38411.5
San Marino,VFN,1221.0,0.0,610.5
Saudi Arabia,TFN,18637.0,11944.0,15290.5
Serbia,TCEN,14799.0,14351.0,14575.0
Seychelles,TFR,1877.0,1779.0,1828.0
Sierra Leone,TFR,1896.0,0.0,948.0
Singapore,VFR,1107224.0,1143336.0,1125280.0
Slovakia,TCEN,9319.0,10517.0,9918.0
Slovenia,TCEN,49978.0,53741.0,51859.5
Solomon Islands,TFR,10206.0,10998.0,10602.0
South Africa,TFR,115846.0,111439.0,113642.5
Sri Lanka,TFR,110928.0,92674.0,101801.0
Sudan,TFN,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,45443.0,0.0,22721.5
Switzerland,TCER,189826.0,189645.0,189735.5
Syrian Arab Republic,VFN,4048.0,4288.0,4168.0
Taiwan Province of China,TCER,87561.0,93024.0,90292.5
Tajikistan,VFR,708.0,0.0,354.0
"Tanzania, United Republic of",VFR,16071.0,0.0,8035.5
Thailand,TFR,802234.0,0.0,401117.0
Timor-Leste,TFR,11509.0,10562.0,11035.5
Togo,THSR,496.0,3998.0,2247.0
Tonga,TFR,11839.0,0.0,5919.5
Trinidad and Tobago,TFN,1145.0,969.0,1057.0
Tunisia,TFN,1847.0,1739.0,1793.0
Turkey,TFN,90252.0,0.0,45126.0
Turkmenistan,TFN,0.0,0.0,0.0
Tuvalu,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,7365.0,0.0,3682.5
United Arab Emirates,THSN,293371.0,283685.0,288528.0
United Kingdom,VFR,1039029.0,1063404.0,1051216.5
United States of America,TFR,1362431.0,1319238.0,1340834.5
United States Virgin Islands,THSN,58.0,117.0,87.5
Uruguay,VFN,6037.0,0.0,3018.5
Uzbekistan,VFR,2410.0,0.0,1205.0
Vanuatu,TFR,60616.0,63122.0,61869.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,386934.0,383511.0,385222.5
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,11059.0,0.0,5529.5
Zimbabwe,VFR,31196.0,0.0,15598.0
