Destination,SERIES,2018,2019,Average
Albania,VFN,33217.0,37318.0,35267.5
Algeria,VFN,2379.0,1286.0,1832.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,195.0,251.0,223.0
Anguilla,TFR,65.0,99.0,82.0
Antigua and Barbuda,TFR,392.0,0.0,196.0
Argentina,TFR,13796.0,0.0,6898.0
Armenia,TFR,5202.0,0.0,2601.0
Aruba,TFR,767.0,0.0,383.5
Australia,VFR,18970.0,0.0,9485.0
Azerbaijan,VFR,2829.0,3286.0,3057.5
Bahamas,TFR,2175.0,2085.0,2130.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,870.0,0.0,435.0
Belarus,VFN,7070.0,7859.0,7464.5
Belgium,TCER,55341.0,0.0,27670.5
Benin,TFR,310.0,0.0,155.0
Bermuda,TFR,190.0,0.0,95.0
Bhutan,TFN,506.0,594.0,550.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,26560.0,0.0,13280.0
Botswana,TFR,3233.0,0.0,1616.5
Brazil,TFR,29643.0,22051.0,25847.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,158.0,84.0,121.0
Bulgaria,TCER,49362.0,47831.0,48596.5
Cabo Verde,THSR,3234.0,7240.0,5237.0
Cambodia,TFR,11374.0,0.0,5687.0
Canada,TFR,38653.0,0.0,19326.5
Cayman Islands,TFR,282.0,0.0,141.0
Chile,TFN,8493.0,8534.0,8513.5
China,VFN,70279.0,0.0,35139.5
Colombia,TFR,7381.0,0.0,3690.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,329.0,346.0,337.5
Costa Rica,TFN,8089.0,8322.0,8205.5
Croatia,TCER,1369709.0,1385004.0,1377356.5
Cuba,VFR,19645.0,0.0,9822.5
Curaçao,TFR,1066.0,0.0,533.0
Cyprus,TFR,45888.0,0.0,22944.0
Czech Republic,TCEN,299106.0,285457.0,292281.5
Denmark,TCER,76621.0,75992.0,76306.5
Dominica,TFR,99.0,0.0,49.5
Dominican Republic,TFR,11567.0,11539.0,11553.0
Ecuador,VFR,3342.0,0.0,1671.0
Egypt,VFN,164696.0,0.0,82348.0
El Salvador,TFN,320.0,285.0,302.5
Estonia,TCER,12017.0,0.0,6008.5
Ethiopia,TFR,4444.0,0.0,2222.0
Fiji,TFR,959.0,791.0,875.0
Finland,TCER,29645.0,33108.0,31376.5
France,TFR,546328.0,0.0,273164.0
French Polynesia,TFR,775.0,818.0,796.5
Gambia,TFN,719.0,0.0,359.5
Georgia,THSR,10459.0,0.0,5229.5
Germany,TCER,2063835.0,2115910.0,2089872.5
Greece,TFR,520814.0,582962.0,551888.0
Grenada,TFN,278.0,266.0,272.0
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,64.0,65.0,64.5
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,22968.0,16077.0,19522.5
Hungary,TFN,1439936.0,1196852.0,1318394.0
Iceland,TFN,15120.0,16915.0,16017.5
India,TFN,33200.0,0.0,16600.0
Indonesia,VFN,29492.0,28476.0,28984.0
"Iran, Islamic Republic of",VFN,9191.0,0.0,4595.5
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,68000.0,0.0,34000.0
Israel,TFR,38645.0,0.0,19322.5
Italy,TFN,4019846.0,4308778.0,4164312.0
Jamaica,TFR,2904.0,2328.0,2616.0
Japan,VFN,24187.0,27530.0,25858.5
