Destination,SERIES,2018,2019,Average
Albania,VFN,635.0,715.0,675.0
Angola,TFR,242.0,78.0,160.0
Armenia,TFR,14.0,0.0,7.0
Australia,VFR,510.0,0.0,255.0
Bahamas,TFR,59.0,31.0,45.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,6.0,0.0,3.0
Belarus,VFN,21524.0,24285.0,22904.5
Belgium,TCER,1393.0,0.0,696.5
Bhutan,TFN,1.0,0.0,0.5
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,2444.0,1886.0,2165.0
Canada,TFR,906.0,0.0,453.0
Cayman Islands,TFR,2.0,0.0,1.0
Chile,TFN,18.0,36.0,27.0
China,VFN,14166.0,0.0,7083.0
Colombia,TFR,75.0,0.0,37.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,17.0,33.0,25.0
Dominica,TFR,1.0,0.0,0.5
Ecuador,VFR,34.0,0.0,17.0
Egypt,VFN,3440.0,0.0,1720.0
Finland,TCER,504.0,644.0,574.0
Georgia,THSR,128299.0,0.0,64149.5
Grenada,TFN,0.0,1.0,0.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,6.0,16.0,11.0
India,TFN,1551.0,0.0,775.5
Indonesia,VFN,1233.0,1445.0,1339.0
"Iran, Islamic Republic of",VFN,1609620.0,0.0,804810.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,2993.0,0.0,1496.5
Italy,TFN,18097.0,5014.0,11555.5
Japan,VFN,727.0,1028.0,877.5
Jordan,TFN,621.0,0.0,310.5
Kazakhstan,VFR,98330.0,94007.0,96168.5
"Korea, Republic of",VFN,1028.0,1315.0,1171.5
Kuwait,VFN,1185.0,0.0,592.5
Kyrgyzstan,VFR,8495.0,0.0,4247.5
Latvia,TCER,2988.0,2121.0,2554.5
Lebanon,TFN,529.0,430.0,479.5
Libya,VFN,0.0,0.0,0.0
Malaysia,TFN,1157.0,1323.0,1240.0
Maldives,TFN,667.0,0.0,333.5
Mali,TFR,6.0,0.0,3.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,94.0,123.0,108.5
Mexico,TFR,385.0,0.0,192.5
"Moldova, Republic of",TCEN,740.0,814.0,777.0
Mongolia,TFN,177.0,143.0,160.0
Montenegro,TCEN,1725.0,0.0,862.5
Morocco,TFN,467.0,0.0,233.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,94.0,45.0,69.5
Nicaragua,TFN,4.0,9.0,6.5
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,341.0,0.0,170.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,14.0,0.0,7.0
Paraguay,TFN,3.0,0.0,1.5
Poland,TCER,2135.0,0.0,1067.5
Russian Federation,VFN,893384.0,0.0,446692.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,30715.0,18165.0,24440.0
Seychelles,TFR,155.0,160.0,157.5
Sierra Leone,TFR,10.0,0.0,5.0
South Africa,TFR,142.0,141.0,141.5
Sri Lanka,TFR,512.0,516.0,514.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,369.0,0.0,184.5
"Tanzania, United Republic of",VFR,154.0,0.0,77.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,21.0,17.0,19.0
Turkey,TFN,855231.0,0.0,427615.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,93757.0,0.0,46878.5
United Arab Emirates,THSN,6370.0,16072.0,11221.0
United States of America,TFR,7183.0,7777.0,7480.0
Uzbekistan,VFR,10465.0,0.0,5232.5
