Destination,SERIES,2018,2019,Average
Albania,VFN,11.0,6.0,8.5
Angola,TFR,0.0,1.0,0.5
Antigua and Barbuda,TFR,295.0,0.0,147.5
Armenia,TFR,3.0,0.0,1.5
Australia,VFR,350.0,0.0,175.0
Azerbaijan,VFR,13.0,6.0,9.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1591.0,0.0,795.5
Belarus,VFN,3.0,1.0,2.0
Belgium,TCER,367.0,0.0,183.5
Bhutan,TFN,1.0,0.0,0.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,41.0,0.0,20.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,10.0,18.0,14.0
Canada,TFR,15987.0,0.0,7993.5
Cayman Islands,TFR,1028.0,0.0,514.0
Chile,TFN,191.0,91.0,141.0
China,VFN,1106.0,0.0,553.0
Colombia,TFR,533.0,0.0,266.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,355.0,367.0,361.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,95.0,0.0,47.5
Dominican Republic,TFR,0.0,0.0,0.0
Ecuador,VFR,211.0,0.0,105.5
Egypt,VFN,72.0,0.0,36.0
El Salvador,TFN,76.0,143.0,109.5
Finland,TCER,62.0,52.0,57.0
Grenada,TFN,108.0,89.0,98.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,482.0,432.0,457.0
Haiti,TFR,0.0,537.0,268.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,195.0,0.0,97.5
Indonesia,VFN,114.0,172.0,143.0
"Iran, Islamic Republic of",VFN,0.0,0.0,0.0
Israel,TFR,208.0,0.0,104.0
Italy,TFN,2546.0,0.0,1273.0
Jamaica,TFR,5925.0,6217.0,6071.0
Japan,VFN,231.0,315.0,273.0
Jordan,TFN,15.0,0.0,7.5
Kazakhstan,VFR,4.0,1.0,2.5
"Korea, Republic of",VFN,131.0,142.0,136.5
Kuwait,VFN,9.0,0.0,4.5
Lebanon,TFN,6.0,4.0,5.0
Malaysia,TFN,101.0,79.0,90.0
Maldives,TFN,10.0,0.0,5.0
Mali,TFR,13.0,0.0,6.5
Mauritius,TFR,40.0,17.0,28.5
Mexico,TFR,840.0,0.0,420.0
Mongolia,TFN,1.0,0.0,0.5
Morocco,TFN,149.0,0.0,74.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,148.0,92.0,120.0
Nicaragua,TFN,26.0,44.0,35.0
Nigeria,VFN,0.0,0.0,0.0
Panama,VFR,1233.0,0.0,616.5
Paraguay,TFN,11.0,0.0,5.5
Poland,TCER,111.0,0.0,55.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,297.0,0.0,148.5
Saudi Arabia,TFN,0.0,17.0,8.5
Seychelles,TFR,7.0,4.0,5.5
Sierra Leone,TFR,168.0,0.0,84.0
South Africa,TFR,196.0,287.0,241.5
Sri Lanka,TFR,48.0,14.0,31.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,2.0,0.0,1.0
"Tanzania, United Republic of",VFR,184.0,0.0,92.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,6.0,45.0,25.5
Trinidad and Tobago,TFN,1119.0,1227.0,1173.0
Turkey,TFN,134.0,0.0,67.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,14.0,0.0,7.0
United Arab Emirates,THSN,264.0,1005.0,634.5
United States of America,TFR,274674.0,301586.0,288130.0
United States Virgin Islands,THSN,35.0,50.0,42.5
Uzbekistan,VFR,1.0,0.0,0.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
