Destination,SERIES,2018,2019,Average
Albania,VFN,93.0,136.0,114.5
Antigua and Barbuda,TFR,2.0,0.0,1.0
Armenia,TFR,430.0,0.0,215.0
Australia,VFR,1800.0,0.0,900.0
Azerbaijan,VFR,11392.0,8059.0,9725.5
Bahamas,TFR,25.0,30.0,27.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,9.0,0.0,4.5
Belarus,VFN,276.0,375.0,325.5
Belgium,TCER,1475.0,0.0,737.5
Bhutan,TFN,3.0,9.0,6.0
Bosnia and Herzegovina,TCER,7084.0,0.0,3542.0
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,39.0,31.0,35.0
Bulgaria,TCER,124.0,129.0,126.5
Canada,TFR,1851.0,0.0,925.5
Cayman Islands,TFR,1.0,0.0,0.5
Chile,TFN,32.0,25.0,28.5
China,VFN,2919.0,0.0,1459.5
Colombia,TFR,26.0,0.0,13.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,21.0,31.0,26.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,2207.0,0.0,1103.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,36.0,0.0,18.0
Egypt,VFN,31680.0,0.0,15840.0
Finland,TCER,224.0,317.0,270.5
Guinea,TFR,0.0,0.0,0.0
"Hong Kong, China",TFR,1045.0,885.0,965.0
India,TFN,13915.0,0.0,6957.5
Indonesia,VFN,2324.0,2631.0,2477.5
"Iran, Islamic Republic of",VFN,78592.0,0.0,39296.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,34.0,0.0,17.0
Italy,TFN,2258.0,1888.0,2073.0
Japan,VFN,669.0,817.0,743.0
Jordan,TFN,24624.0,0.0,12312.0
Kazakhstan,VFR,57.0,117.0,87.0
"Korea, Republic of",VFN,764.0,798.0,781.0
Kuwait,VFN,231964.0,0.0,115982.0
Latvia,TCER,30.0,58.0,44.0
Lebanon,TFN,7956.0,8653.0,8304.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,4289.0,3822.0,4055.5
Maldives,TFN,800.0,0.0,400.0
Mali,TFR,2.0,0.0,1.0
Mauritius,TFR,215.0,172.0,193.5
Mexico,TFR,253.0,0.0,126.5
Mongolia,TFN,28.0,18.0,23.0
Morocco,TFN,4717.0,0.0,2358.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,441.0,488.0,464.5
Nicaragua,TFN,0.0,5.0,2.5
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,42131.0,0.0,21065.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,10.0,0.0,5.0
Philippines,TFR,3638.0,3296.0,3467.0
Poland,TCER,455.0,0.0,227.5
Qatar,VFN,19595.0,22378.0,20986.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,574350.0,485878.0,530114.0
Seychelles,TFR,405.0,421.0,413.0
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,237.0,232.0,234.5
Sri Lanka,TFR,2858.0,2285.0,2571.5
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,8841.0,22120.0,15480.5
"Tanzania, United Republic of",VFR,385.0,0.0,192.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,1.0,0.5
Tunisia,TFN,852.0,919.0,885.5
Turkey,TFN,77065.0,0.0,38532.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,493.0,0.0,246.5
United Arab Emirates,THSN,127011.0,135317.0,131164.0
United Kingdom,VFR,36151.0,41763.0,38957.0
United States of America,TFR,9914.0,9315.0,9614.5
Uzbekistan,VFR,62.0,0.0,31.0
Yemen,TFN,0.0,0.0,0.0
