Destination,SERIES,2018,2019,Average
Albania,VFN,94.0,188.0,141.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,123.0,139.0,131.0
Antigua and Barbuda,TFR,37.0,0.0,18.5
Armenia,TFR,35.0,0.0,17.5
Australia,VFR,18850.0,0.0,9425.0
Azerbaijan,VFR,1233.0,1404.0,1318.5
Bahamas,TFR,20.0,28.0,24.0
Barbados,TFR,22.0,0.0,11.0
Belarus,VFN,162.0,229.0,195.5
Belgium,TCER,1030.0,0.0,515.0
Benin,TFR,35.0,0.0,17.5
Bhutan,TFN,0.0,13016.0,6508.0
Botswana,TFR,192.0,0.0,96.0
Brazil,TFR,1070.0,600.0,835.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,3878.0,3281.0,3579.5
Bulgaria,TCER,183.0,279.0,231.0
Cambodia,TFR,3206.0,0.0,1603.0
Canada,TFR,9951.0,0.0,4975.5
Cayman Islands,TFR,2.0,0.0,1.0
Chile,TFN,110.0,59.0,84.5
China,VFN,101622.0,0.0,50811.0
Colombia,TFR,55.0,0.0,27.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,58.0,101.0,79.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,7.0,0.0,3.5
Ecuador,VFR,158.0,0.0,79.0
Egypt,VFN,7666.0,0.0,3833.0
El Salvador,TFN,22.0,20.0,21.0
Finland,TCER,372.0,624.0,498.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,2256675.0,0.0,1128337.5
Indonesia,VFN,56564.0,59777.0,58170.5
"Iran, Islamic Republic of",VFN,1629.0,0.0,814.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,36.0,0.0,18.0
Italy,TFN,9981.0,11072.0,10526.5
Japan,VFN,13971.0,15174.0,14572.5
Jordan,TFN,2375.0,0.0,1187.5
Kazakhstan,VFR,233.0,211.0,222.0
"Korea, Republic of",VFN,16151.0,17952.0,17051.5
Kuwait,VFN,165360.0,0.0,82680.0
Lao People's Democratic Republic,VFN,0.0,0.0,0.0
Latvia,TCER,121.0,135.0,128.0
Lebanon,TFN,14320.0,12977.0,13648.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,81.0,0.0,40.5
Malaysia,TFN,150054.0,179000.0,164527.0
Maldives,TFN,3644.0,0.0,1822.0
Mali,TFR,307.0,0.0,153.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,1195.0,935.0,1065.0
Mexico,TFR,378.0,0.0,189.0
Mongolia,TFN,170.0,189.0,179.5
Morocco,TFN,1235.0,0.0,617.5
Myanmar,TFN,4195.0,4289.0,4242.0
Nepal,TFN,25959.0,25849.0,25904.0
New Zealand,VFR,1033.0,1223.0,1128.0
Nicaragua,TFN,12.0,4.0,8.0
Nigeria,VFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Oman,VFR,137.0,0.0,68.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,10.0,0.0,5.0
Panama,VFR,95.0,0.0,47.5
Paraguay,TFN,27.0,0.0,13.5
Philippines,TFR,5495.0,6630.0,6062.5
Poland,TCER,1198.0,0.0,599.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,325.0,0.0,162.5
Saudi Arabia,TFN,360447.0,304806.0,332626.5
Seychelles,TFR,213.0,161.0,187.0
Sierra Leone,TFR,132.0,0.0,66.0
Singapore,VFR,126314.0,136986.0,131650.0
South Africa,TFR,5770.0,5813.0,5791.5
Sri Lanka,TFR,10487.0,8261.0,9374.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,52.0,0.0,26.0
"Tanzania, United Republic of",VFR,359.0,0.0,179.5
Thailand,TFR,125809.0,0.0,62904.5
Timor-Leste,TFR,0.0,0.0,0.0
Togo,THSR,0.0,30.0,15.0
Trinidad and Tobago,TFN,69.0,96.0,82.5
Turkey,TFN,17862.0,0.0,8931.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,758.0,0.0,379.0
United Arab Emirates,THSN,47702.0,94618.0,71160.0
United Kingdom,VFR,0.0,0.0,0.0
United States of America,TFR,35655.0,36611.0,36133.0
Uzbekistan,VFR,409.0,0.0,204.5
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
