Destination,SERIES,2018,2019,Average
Albania,VFN,63.0,10.0,36.5
Angola,TFR,7.0,3.0,5.0
Antigua and Barbuda,TFR,2931.0,0.0,1465.5
Australia,VFR,360.0,0.0,180.0
Azerbaijan,VFR,2.0,8.0,5.0
Bahamas,TFR,1016.0,853.0,934.5
Bangladesh,TFN,0.0,0.0,0.0
Belarus,VFN,3.0,3.0,3.0
Belgium,TCER,1380.0,0.0,690.0
Bhutan,TFN,1.0,1.0,1.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,87.0,0.0,43.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,31.0,36.0,33.5
Canada,TFR,14569.0,0.0,7284.5
Cayman Islands,TFR,654.0,0.0,327.0
Chile,TFN,90.0,91.0,90.5
China,VFN,765.0,0.0,382.5
Colombia,TFR,514.0,0.0,257.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,208.0,217.0,212.5
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,267.0,0.0,133.5
Dominica,TFR,1892.0,0.0,946.0
Ecuador,VFR,61.0,0.0,30.5
Egypt,VFN,31.0,0.0,15.5
El Salvador,TFN,70.0,70.0,70.0
Finland,TCER,28.0,40.0,34.0
Grenada,TFN,3155.0,2873.0,3014.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,6930.0,6709.0,6819.5
Haiti,TFR,0.0,52.0,26.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,448.0,0.0,224.0
Indonesia,VFN,105.0,103.0,104.0
Israel,TFR,66.0,0.0,33.0
Italy,TFN,608.0,0.0,304.0
Jamaica,TFR,4686.0,5051.0,4868.5
Japan,VFN,159.0,240.0,199.5
Jordan,TFN,22.0,0.0,11.0
Kazakhstan,VFR,9.0,2.0,5.5
"Korea, Republic of",VFN,151.0,106.0,128.5
Kuwait,VFN,6.0,0.0,3.0
Latvia,TCER,8.0,12.0,10.0
Lebanon,TFN,31.0,23.0,27.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,65.0,76.0,70.5
Maldives,TFN,15.0,0.0,7.5
Mali,TFR,1.0,0.0,0.5
Martinique,TFR,1669.0,0.0,834.5
Mauritius,TFR,8.0,12.0,10.0
Mexico,TFR,531.0,0.0,265.5
Mongolia,TFN,1.0,2.0,1.5
Morocco,TFN,503.0,0.0,251.5
New Zealand,VFR,94.0,97.0,95.5
Nicaragua,TFN,21.0,18.0,19.5
Nigeria,VFN,0.0,0.0,0.0
Panama,VFR,1366.0,0.0,683.0
Paraguay,TFN,9.0,0.0,4.5
Poland,TCER,101.0,0.0,50.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,8255.0,0.0,4127.5
Saint Vincent and the Grenadines,TFR,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,3163.0,58.0,1610.5
Seychelles,TFR,4.0,2.0,3.0
Sierra Leone,TFR,110.0,0.0,55.0
Sint Maarten (Dutch part),TFN,141.0,0.0,70.5
South Africa,TFR,213.0,223.0,218.0
Sri Lanka,TFR,18.0,17.0,17.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,56.0,0.0,28.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,10847.0,11268.0,11057.5
Turkey,TFN,112.0,0.0,56.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,4.0,0.0,2.0
United Arab Emirates,THSN,153.0,211.0,182.0
United States of America,TFR,60556.0,63742.0,62149.0
United States Virgin Islands,THSN,36.0,125.0,80.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
