Destination,SERIES,2018,2019,Average
Albania,VFN,5844.0,8242.0,7043.0
Angola,TFR,294.0,400.0,347.0
Armenia,TFR,8656.0,0.0,4328.0
Australia,VFR,600.0,0.0,300.0
Azerbaijan,VFR,13000.0,14841.0,13920.5
Bahamas,TFR,54.0,22.0,38.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,49.0,0.0,24.5
Belgium,TCER,5809.0,0.0,2904.5
Bhutan,TFN,6.0,15.0,10.5
Botswana,TFR,30.0,0.0,15.0
Bulgaria,TCER,33428.0,34327.0,33877.5
Canada,TFR,1746.0,0.0,873.0
Cayman Islands,TFR,3.0,0.0,1.5
Chile,TFN,0.0,238.0,119.0
China,VFN,24745.0,0.0,12372.5
Colombia,TFR,110.0,0.0,55.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,139.0,170.0,154.5
Croatia,TCER,14740.0,16463.0,15601.5
Cyprus,TFR,18476.0,0.0,9238.0
Dominica,TFR,3.0,0.0,1.5
Ecuador,VFR,250.0,0.0,125.0
Egypt,VFN,273987.0,0.0,136993.5
El Salvador,TFN,10.0,13.0,11.5
Finland,TCER,3289.0,3080.0,3184.5
Georgia,THSR,20579.0,0.0,10289.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,25.0,22.0,23.5
India,TFN,6707.0,0.0,3353.5
Indonesia,VFN,4821.0,6644.0,5732.5
Israel,TFR,27344.0,0.0,13672.0
Italy,TFN,123805.0,91550.0,107677.5
Japan,VFN,2204.0,2506.0,2355.0
Jordan,TFN,1546.0,0.0,773.0
Kazakhstan,VFR,76031.0,88117.0,82074.0
"Korea, Republic of",VFN,1872.0,2133.0,2002.5
Kuwait,VFN,715.0,0.0,357.5
Kyrgyzstan,VFR,4591.0,0.0,2295.5
Latvia,TCER,38373.0,39977.0,39175.0
Lebanon,TFN,3379.0,3129.0,3254.0
Lithuania,TFR,443000.0,0.0,221500.0
Madagascar,TFN,38.0,0.0,19.0
Malaysia,TFN,3014.0,3318.0,3166.0
Maldives,TFN,2150.0,0.0,1075.0
Mali,TFR,45.0,0.0,22.5
Mauritius,TFR,509.0,725.0,617.0
Mexico,TFR,1545.0,0.0,772.5
"Moldova, Republic of",TCEN,2114.0,1862.0,1988.0
Mongolia,TFN,2210.0,2902.0,2556.0
Montenegro,TCEN,27970.0,0.0,13985.0
Morocco,TFN,1508.0,0.0,754.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,166.0,162.0,164.0
Nicaragua,TFN,25.0,19.0,22.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,549.0,371.0,460.0
Norway,TCER,3947.0,4394.0,4170.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,296.0,0.0,148.0
Paraguay,TFN,0.0,0.0,0.0
Peru,TFR,553.0,0.0,276.5
Poland,TCER,160573.0,0.0,80286.5
Russian Federation,VFN,149514.0,0.0,74757.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,4060.0,0.0,2030.0
Saudi Arabia,TFN,208.0,496.0,352.0
Serbia,TCEN,3468.0,3677.0,3572.5
Seychelles,TFR,436.0,579.0,507.5
Sierra Leone,TFR,204.0,0.0,102.0
Slovakia,TCEN,7990.0,9710.0,8850.0
Slovenia,TCEN,0.0,0.0,0.0
South Africa,TFR,466.0,581.0,523.5
Sri Lanka,TFR,4621.0,4796.0,4708.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,1979.0,0.0,989.5
"Tanzania, United Republic of",VFR,821.0,0.0,410.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,4.0,7.0,5.5
Turkey,TFN,245145.0,0.0,122572.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,2664239.0,0.0,1332119.5
United Arab Emirates,THSN,9036.0,24046.0,16541.0
United States of America,TFR,20183.0,20729.0,20456.0
Uzbekistan,VFR,5609.0,0.0,2804.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
