Destination,SERIES,2018,2019,Average
Albania,VFN,28223.0,32728.0,30475.5
Algeria,VFN,8128.0,7851.0,7989.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,1698.0,940.0,1319.0
Anguilla,TFR,80.0,186.0,133.0
Antigua and Barbuda,TFR,233.0,0.0,116.5
Argentina,TFR,19228.0,0.0,9614.0
Armenia,TFR,8223.0,0.0,4111.5
Aruba,TFR,3057.0,0.0,1528.5
Australia,VFR,23000.0,0.0,11500.0
Austria,TCER,586977.0,600444.0,593710.5
Azerbaijan,VFR,1995.0,2412.0,2203.5
Bahamas,TFR,1656.0,1641.0,1648.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,753.0,0.0,376.5
Belarus,VFN,4647.0,4962.0,4804.5
Belize,TFN,1683.0,0.0,841.5
Benin,TFR,5612.0,0.0,2806.0
Bhutan,TFN,557.0,579.0,568.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,6566.0,0.0,3283.0
Botswana,TFR,5382.0,0.0,2691.0
Brazil,TFR,31004.0,28178.0,29591.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,125.0,176.0,150.5
Bulgaria,TCER,60802.0,56815.0,58808.5
Burkina Faso,THSR,2292.0,0.0,1146.0
Cabo Verde,THSR,76798.0,80030.0,78414.0
Cambodia,TFR,18499.0,0.0,9249.5
Cameroon,THSN,22814.0,0.0,11407.0
Canada,TFR,72539.0,0.0,36269.5
Cayman Islands,TFR,179.0,0.0,89.5
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,12587.0,12938.0,12762.5
China,VFN,69248.0,0.0,34624.0
Colombia,TFR,12006.0,0.0,6003.0
Comoros,TFN,0.0,0.0,0.0
Congo,THSR,1412.0,0.0,706.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,89.0,94.0,91.5
Costa Rica,TFN,12381.0,12256.0,12318.5
Croatia,TCER,210193.0,211155.0,210674.0
Cuba,VFR,20588.0,0.0,10294.0
Curaçao,TFR,7401.0,0.0,3700.5
Cyprus,TFR,28231.0,0.0,14115.5
Czech Republic,TCEN,110125.0,109126.0,109625.5
Dominica,TFR,89.0,0.0,44.5
Dominican Republic,TFR,34883.0,32897.0,33890.0
Ecuador,VFR,7669.0,0.0,3834.5
Egypt,VFN,136891.0,0.0,68445.5
El Salvador,TFN,458.0,517.0,487.5
Estonia,TCER,10514.0,0.0,5257.0
Ethiopia,TFR,8505.0,0.0,4252.5
Fiji,TFR,0.0,0.0,0.0
Finland,TCER,36796.0,39625.0,38210.5
French Polynesia,TFR,1243.0,1502.0,1372.5
Gambia,TFN,8531.0,0.0,4265.5
Georgia,THSR,8066.0,0.0,4033.0
Germany,TCER,1439671.0,1477280.0,1458475.5
Ghana,TFN,0.0,0.0,0.0
Greece,TFR,586658.0,587718.0,587188.0
Grenada,TFN,116.0,100.0,108.0
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,193.0,190.0,191.5
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,24397.0,21446.0,22921.5
Iceland,TFN,21028.0,20582.0,20805.0
India,TFN,44086.0,0.0,22043.0
Indonesia,VFN,50050.0,46780.0,48415.0
"Iran, Islamic Republic of",VFN,4653.0,0.0,2326.5
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,128000.0,0.0,64000.0
Israel,TFR,40717.0,0.0,20358.5
Italy,TFN,1301309.0,1268932.0,1285120.5
Jamaica,TFR,6324.0,5076.0,5700.0
Japan,VFN,34387.0,39245.0,36816.0
Jordan,TFN,7515.0,0.0,3757.5
Kazakhstan,VFR,3137.0,4189.0,3663.0
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,12499.0,14539.0,13519.0
Kuwait,VFN,2412.0,0.0,1206.0
Kyrgyzstan,VFR,2540.0,0.0,1270.0
Lao People's Democratic Republic,VFN,5322.0,6099.0,5710.5
Latvia,TCER,17864.0,16661.0,17262.5
Lebanon,TFN,18346.0,18618.0,18482.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,1231.0,1345.0,1288.0
Lithuania,TFR,33000.0,0.0,16500.0
Luxembourg,TCER,208422.0,0.0,104211.0
Madagascar,TFN,3432.0,0.0,1716.0
Malaysia,TFN,20624.0,22082.0,21353.0
Maldives,TFN,6492.0,0.0,3246.0
Mali,TFR,1928.0,0.0,964.0
Malta,TFR,70191.0,70886.0,70538.5
Mauritius,TFR,15727.0,16959.0,16343.0
Mexico,TFR,37403.0,0.0,18701.5
"Moldova, Republic of",TCEN,1126.0,1281.0,1203.5
Monaco,THSN,6760.0,6282.0,6521.0
Mongolia,TFN,1505.0,1436.0,1470.5
Montenegro,TCEN,18722.0,0.0,9361.0
Montserrat,TFR,0.0,0.0,0.0
Morocco,TFN,273535.0,0.0,136767.5
Myanmar,TFN,6087.0,5733.0,5910.0
Namibia,TFN,10747.0,8605.0,9676.0
Nepal,TFN,7392.0,6762.0,7077.0
Netherlands,TCER,2398000.0,0.0,1199000.0
New Zealand,VFR,7840.0,7649.0,7744.5
Nicaragua,TFN,2054.0,1241.0,1647.5
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,9966.0,9698.0,9832.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
