Destination,SERIES,2018,2019,Average
Albania,VFN,4.0,2.0,3.0
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,115.0,0.0,57.5
Australia,VFR,50.0,0.0,25.0
Azerbaijan,VFR,9.0,10.0,9.5
Bahamas,TFR,157.0,167.0,162.0
Barbados,TFR,503.0,0.0,251.5
Belarus,VFN,0.0,3.0,1.5
Belgium,TCER,539.0,0.0,269.5
Bhutan,TFN,1.0,0.0,0.5
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,8.0,3.0,5.5
Canada,TFR,1776.0,0.0,888.0
Cayman Islands,TFR,143.0,0.0,71.5
Chile,TFN,170.0,148.0,159.0
China,VFN,2731.0,0.0,1365.5
Colombia,TFR,425.0,0.0,212.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,964.0,1103.0,1033.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,19.0,0.0,9.5
Ecuador,VFR,88.0,0.0,44.0
El Salvador,TFN,1582.0,1358.0,1470.0
Finland,TCER,146.0,44.0,95.0
Grenada,TFN,73.0,118.0,95.5
Guatemala,VFR,58369.0,0.0,29184.5
Guyana,TFR,210.0,246.0,228.0
Haiti,TFR,0.0,7.0,3.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,535.0,0.0,267.5
Indonesia,VFN,46.0,51.0,48.5
Israel,TFR,71.0,0.0,35.5
Italy,TFN,114.0,0.0,57.0
Jamaica,TFR,740.0,772.0,756.0
Japan,VFN,81.0,108.0,94.5
Jordan,TFN,19.0,0.0,9.5
Kazakhstan,VFR,3.0,0.0,1.5
"Korea, Republic of",VFN,41.0,61.0,51.0
Kuwait,VFN,133.0,0.0,66.5
Latvia,TCER,5.0,12.0,8.5
Lebanon,TFN,295.0,330.0,312.5
Malaysia,TFN,84.0,81.0,82.5
Maldives,TFN,8.0,0.0,4.0
Mali,TFR,4.0,0.0,2.0
Mauritius,TFR,7.0,6.0,6.5
Mexico,TFR,4461.0,0.0,2230.5
Mongolia,TFN,5.0,6.0,5.5
Morocco,TFN,23.0,0.0,11.5
New Zealand,VFR,23.0,11.0,17.0
Nicaragua,TFN,316.0,445.0,380.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,2198.0,0.0,1099.0
Paraguay,TFN,49.0,0.0,24.5
Poland,TCER,153.0,0.0,76.5
Russian Federation,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,125.0,0.0,62.5
Saudi Arabia,TFN,19.0,53.0,36.0
Seychelles,TFR,3.0,2.0,2.5
South Africa,TFR,58.0,67.0,62.5
Sri Lanka,TFR,16.0,25.0,20.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,185.0,0.0,92.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,628.0,561.0,594.5
Turkey,TFN,265.0,0.0,132.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,6.0,0.0,3.0
United Arab Emirates,THSN,375.0,1129.0,752.0
United States of America,TFR,26646.0,28692.0,27669.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
