Destination,SERIES,2018,2019,Average
Angola,TFR,111.0,33.0,72.0
Antigua and Barbuda,TFR,1.0,0.0,0.5
Armenia,TFR,28.0,0.0,14.0
Australia,VFR,20.0,0.0,10.0
Azerbaijan,VFR,14.0,9.0,11.5
Bahamas,TFR,7.0,16.0,11.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,7.0,12.0,9.5
Belgium,TCER,550.0,0.0,275.0
Bhutan,TFN,0.0,0.0,0.0
Botswana,TFR,64.0,0.0,32.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,17.0,12.0,14.5
Burkina Faso,THSR,7488.0,0.0,3744.0
Canada,TFR,1168.0,0.0,584.0
Central African Republic,TFN,0.0,0.0,0.0
China,VFN,4503.0,0.0,2251.5
Colombia,TFR,27.0,0.0,13.5
Congo,THSR,1221.0,0.0,610.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,6.0,9.0,7.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,12.0,0.0,6.0
Egypt,VFN,485.0,0.0,242.5
El Salvador,TFN,2.0,2.0,2.0
Finland,TCER,21.0,16.0,18.5
Ghana,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
India,TFN,322.0,0.0,161.0
Indonesia,VFN,214.0,153.0,183.5
Israel,TFR,361.0,0.0,180.5
Italy,TFN,270.0,1.0,135.5
Japan,VFN,208.0,268.0,238.0
Jordan,TFN,21.0,0.0,10.5
Kazakhstan,VFR,7.0,7.0,7.0
"Korea, Republic of",VFN,132.0,138.0,135.0
Kuwait,VFN,1232.0,0.0,616.0
Latvia,TCER,0.0,0.0,0.0
Lebanon,TFN,731.0,1096.0,913.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,125.0,0.0,62.5
Malaysia,TFN,118.0,125.0,121.5
Maldives,TFN,4.0,0.0,2.0
Mali,TFR,2499.0,0.0,1249.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,119.0,95.0,107.0
Mexico,TFR,36.0,0.0,18.0
Mongolia,TFN,3.0,7.0,5.0
Morocco,TFN,1786.0,0.0,893.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,19.0,27.0,23.0
Nicaragua,TFN,0.0,1.0,0.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,11.0,0.0,5.5
Paraguay,TFN,2.0,0.0,1.0
Poland,TCER,38.0,0.0,19.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,4574.0,1006.0,2790.0
Senegal,THSN,0.0,0.0,0.0
Seychelles,TFR,8.0,18.0,13.0
Sierra Leone,TFR,125.0,0.0,62.5
South Africa,TFR,1520.0,1841.0,1680.5
Sri Lanka,TFR,11.0,7.0,9.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,411.0,0.0,205.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,36469.0,65753.0,51111.0
Trinidad and Tobago,TFN,1.0,4.0,2.5
Turkey,TFN,1028.0,0.0,514.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,17.0,0.0,8.5
United Arab Emirates,THSN,162.0,1312.0,737.0
United States of America,TFR,2151.0,2150.0,2150.5
Uzbekistan,VFR,1.0,0.0,0.5
