Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,224.0,0.0,112.0
Australia,VFR,780.0,0.0,390.0
Bahamas,TFR,896.0,774.0,835.0
Barbados,TFR,1120.0,0.0,560.0
Belarus,VFN,0.0,0.0,0.0
Belgium,TCER,155.0,0.0,77.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,17.0,0.0,8.5
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,18376.0,0.0,9188.0
Cayman Islands,TFR,815.0,0.0,407.5
Chile,TFN,0.0,0.0,0.0
China,VFN,33.0,0.0,16.5
Colombia,TFR,104.0,0.0,52.0
Costa Rica,TFN,344.0,339.0,341.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,34.0,0.0,17.0
Ecuador,VFR,140.0,0.0,70.0
Finland,TCER,27.0,22.0,24.5
Grenada,TFN,95.0,64.0,79.5
Guyana,TFR,113.0,124.0,118.5
Haiti,TFR,0.0,18.0,9.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,1.0,0.0,0.5
Indonesia,VFN,0.0,0.0,0.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Jamaica,TFR,2624.0,2664.0,2644.0
Kazakhstan,VFR,2.0,3.0,2.5
"Korea, Republic of",VFN,0.0,0.0,0.0
Kuwait,VFN,1.0,0.0,0.5
Mali,TFR,1.0,0.0,0.5
Mauritius,TFR,30.0,21.0,25.5
Mexico,TFR,518.0,0.0,259.0
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,27.0,0.0,13.5
New Zealand,VFR,310.0,246.0,278.0
Nicaragua,TFN,2.0,2.0,2.0
Panama,VFR,64.0,0.0,32.0
Poland,TCER,180.0,0.0,90.0
Russian Federation,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,285.0,0.0,142.5
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,14.0,23.0,18.5
South Africa,TFR,5.0,2.0,3.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,91.0,0.0,45.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,189.0,219.0,204.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,82.0,0.0,41.0
United States of America,TFR,80675.0,84108.0,82391.5
