Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,0.0,0.0,0.0
Australia,VFR,1170.0,0.0,585.0
Azerbaijan,VFR,10.0,17.0,13.5
Bahamas,TFR,4.0,7.0,5.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,1.0,13.0,7.0
Belgium,TCER,538.0,0.0,269.0
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,4.0,4.0,4.0
Cambodia,TFR,174.0,0.0,87.0
Canada,TFR,201.0,0.0,100.5
Cayman Islands,TFR,2.0,0.0,1.0
Chile,TFN,8.0,20.0,14.0
China,VFN,1075.0,0.0,537.5
Colombia,TFR,22.0,0.0,11.0
Costa Rica,TFN,5.0,9.0,7.0
Cuba,VFR,0.0,0.0,0.0
Ecuador,VFR,4.0,0.0,2.0
Egypt,VFN,17.0,0.0,8.5
Finland,TCER,33.0,25.0,29.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,26470.0,0.0,13235.0
Indonesia,VFN,674.0,867.0,770.5
Israel,TFR,79.0,0.0,39.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,947.0,736.0,841.5
Kazakhstan,VFR,20.0,22.0,21.0
"Korea, Republic of",VFN,510.0,562.0,536.0
Kuwait,VFN,1921.0,0.0,960.5
Lebanon,TFN,61.0,56.0,58.5
Malaysia,TFN,925.0,948.0,936.5
Maldives,TFN,64.0,0.0,32.0
Mali,TFR,5.0,0.0,2.5
Mauritius,TFR,10.0,11.0,10.5
Mexico,TFR,372.0,0.0,186.0
Mongolia,TFN,60.0,64.0,62.0
Morocco,TFN,0.0,0.0,0.0
Nepal,TFN,0.0,11676.0,5838.0
New Zealand,VFR,104.0,47.0,75.5
Pakistan,TFN,0.0,0.0,0.0
Poland,TCER,47.0,0.0,23.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,2.0,5.0,3.5
Seychelles,TFR,0.0,4.0,2.0
South Africa,TFR,24.0,33.0,28.5
Sri Lanka,TFR,679.0,343.0,511.0
"Tanzania, United Republic of",VFR,36.0,0.0,18.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,27.0,0.0,13.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,4.0,0.0,2.0
United Arab Emirates,THSN,339.0,561.0,450.0
United States of America,TFR,803.0,874.0,838.5
Uzbekistan,VFR,14.0,0.0,7.0
