Destination,SERIES,2018,2019,Average
Albania,VFN,54.0,168.0,111.0
Angola,TFR,94.0,84.0,89.0
Antigua and Barbuda,TFR,40.0,0.0,20.0
Argentina,TFR,548066.0,0.0,274033.0
Australia,VFR,310.0,0.0,155.0
Azerbaijan,VFR,79.0,85.0,82.0
Bahamas,TFR,185.0,168.0,176.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,13.0,0.0,6.5
Belarus,VFN,51.0,34.0,42.5
Belgium,TCER,958.0,0.0,479.0
Benin,TFR,21.0,0.0,10.5
Bhutan,TFN,1.0,10.0,5.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,9.0,0.0,4.5
Brazil,TFR,126253.0,132069.0,129161.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,175.0,163.0,169.0
Canada,TFR,1646.0,0.0,823.0
Cayman Islands,TFR,48.0,0.0,24.0
Chile,TFN,541294.0,467699.0,504496.5
China,VFN,7785.0,0.0,3892.5
Colombia,TFR,21262.0,0.0,10631.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,2181.0,2638.0,2409.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,32.0,0.0,16.0
Dominican Republic,TFR,13085.0,14210.0,13647.5
Ecuador,VFR,5987.0,0.0,2993.5
Egypt,VFN,692.0,0.0,346.0
El Salvador,TFN,1185.0,1239.0,1212.0
Finland,TCER,87.0,80.0,83.5
French Polynesia,TFR,0.0,0.0,0.0
Grenada,TFN,18.0,15.0,16.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,44.0,40.0,42.0
Haiti,TFR,0.0,37.0,18.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,713.0,0.0,356.5
Indonesia,VFN,462.0,484.0,473.0
Israel,TFR,903.0,0.0,451.5
Italy,TFN,10748.0,1226.0,5987.0
Jamaica,TFR,202.0,270.0,236.0
Japan,VFN,789.0,1020.0,904.5
Jordan,TFN,60.0,0.0,30.0
Kazakhstan,VFR,10.0,10.0,10.0
"Korea, Republic of",VFN,670.0,717.0,693.5
Kuwait,VFN,90.0,0.0,45.0
Latvia,TCER,50.0,37.0,43.5
Lebanon,TFN,111.0,99.0,105.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,8.0,0.0,4.0
Malaysia,TFN,464.0,441.0,452.5
Maldives,TFN,83.0,0.0,41.5
Mali,TFR,4.0,0.0,2.0
Mauritius,TFR,23.0,22.0,22.5
Mongolia,TFN,19.0,24.0,21.5
Morocco,TFN,422.0,0.0,211.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,145.0,127.0,136.0
Nicaragua,TFN,379.0,409.0,394.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,11292.0,0.0,5646.0
Paraguay,TFN,13991.0,0.0,6995.5
Peru,TFR,158974.0,0.0,79487.0
Poland,TCER,209.0,0.0,104.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,101.0,50.5
Seychelles,TFR,10.0,10.0,10.0
Sierra Leone,TFR,5.0,0.0,2.5
South Africa,TFR,379.0,368.0,373.5
Sri Lanka,TFR,81.0,30.0,55.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,114.0,0.0,57.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,0.0,98.0,49.0
Trinidad and Tobago,TFN,120.0,84.0,102.0
Turkey,TFN,1721.0,0.0,860.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,158.0,0.0,79.0
United Arab Emirates,THSN,325.0,2125.0,1225.0
United States of America,TFR,70688.0,72781.0,71734.5
United States Virgin Islands,THSN,7.0,18.0,12.5
Uruguay,VFN,6285.0,0.0,3142.5
Uzbekistan,VFR,18.0,0.0,9.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
