Destination,SERIES,2018,2019,Average
Albania,VFN,32992.0,37830.0,35411.0
Angola,TFR,88.0,31.0,59.5
Armenia,TFR,245.0,0.0,122.5
Australia,VFR,900.0,0.0,450.0
Azerbaijan,VFR,314.0,354.0,334.0
Bahamas,TFR,100.0,90.0,95.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,4.0,0.0,2.0
Belarus,VFN,735.0,1005.0,870.0
Belgium,TCER,2285.0,0.0,1142.5
Benin,TFR,55.0,0.0,27.5
Bhutan,TFN,3.0,5.0,4.0
Botswana,TFR,26.0,0.0,13.0
Bulgaria,TCER,4119.0,4389.0,4254.0
Canada,TFR,1339.0,0.0,669.5
Cayman Islands,TFR,4.0,0.0,2.0
Chile,TFN,62.0,115.0,88.5
China,VFN,4037.0,0.0,2018.5
Colombia,TFR,128.0,0.0,64.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,43.0,52.0,47.5
Croatia,TCER,395469.0,433467.0,414468.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,1.0,0.0,0.5
Ecuador,VFR,28.0,0.0,14.0
Egypt,VFN,3896.0,0.0,1948.0
El Salvador,TFN,0.0,0.0,0.0
Finland,TCER,373.0,413.0,393.0
Grenada,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,5.0,12.0,8.5
India,TFN,1378.0,0.0,689.0
Indonesia,VFN,1057.0,1354.0,1205.5
"Iran, Islamic Republic of",VFN,352.0,0.0,176.0
Israel,TFR,626.0,0.0,313.0
Italy,TFN,376295.0,397298.0,386796.5
Japan,VFN,383.0,420.0,401.5
Jordan,TFN,0.0,0.0,0.0
Kazakhstan,VFR,103.0,116.0,109.5
"Korea, Republic of",VFN,181.0,371.0,276.0
Kuwait,VFN,1265.0,0.0,632.5
Latvia,TCER,316.0,320.0,318.0
Lebanon,TFN,338.0,282.0,310.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,816.0,855.0,835.5
Maldives,TFN,582.0,0.0,291.0
Mali,TFR,23.0,0.0,11.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,67.0,114.0,90.5
Mexico,TFR,3339.0,0.0,1669.5
"Moldova, Republic of",TCEN,109.0,267.0,188.0
Mongolia,TFN,16.0,14.0,15.0
Montenegro,TCEN,193587.0,0.0,96793.5
Morocco,TFN,803.0,0.0,401.5
New Zealand,VFR,44.0,40.0,42.0
Nicaragua,TFN,5.0,1.0,3.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,8508.0,9698.0,9103.0
Norway,TCER,1396.0,739.0,1067.5
Oman,VFR,273.0,0.0,136.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,82.0,0.0,41.0
Paraguay,TFN,7.0,0.0,3.5
Poland,TCER,3382.0,0.0,1691.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,3416.0,0.0,1708.0
Saudi Arabia,TFN,2967.0,2929.0,2948.0
Serbia,TCEN,121384.0,136184.0,128784.0
Seychelles,TFR,104.0,111.0,107.5
Sierra Leone,TFR,15.0,0.0,7.5
Slovakia,TCEN,2195.0,3678.0,2936.5
Slovenia,TCEN,66927.0,72049.0,69488.0
South Africa,TFR,219.0,248.0,233.5
Sri Lanka,TFR,261.0,216.0,238.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,26.0,0.0,13.0
"Tanzania, United Republic of",VFR,331.0,0.0,165.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,6.0,10.0,8.0
Turkey,TFN,120199.0,0.0,60099.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,2668.0,0.0,1334.0
United Arab Emirates,THSN,2382.0,7457.0,4919.5
United States of America,TFR,8457.0,8453.0,8455.0
Uzbekistan,VFR,87.0,0.0,43.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
