Destination,SERIES,2018,2019,Average
Albania,VFN,1.0,1473.0,737.0
Angola,TFR,145.0,47.0,96.0
Antigua and Barbuda,TFR,8.0,0.0,4.0
Armenia,TFR,3.0,0.0,1.5
Australia,VFR,790.0,0.0,395.0
Azerbaijan,VFR,14.0,18.0,16.0
Bahamas,TFR,25.0,35.0,30.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,15.0,0.0,7.5
Belarus,VFN,7.0,1.0,4.0
Belgium,TCER,179.0,0.0,89.5
Benin,TFR,87.0,0.0,43.5
Bhutan,TFN,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,9.0,18.0,13.5
Canada,TFR,402.0,0.0,201.0
Cayman Islands,TFR,1.0,0.0,0.5
China,VFN,2974.0,0.0,1487.0
Colombia,TFR,17.0,0.0,8.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,10.0,8.0,9.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,7.0,0.0,3.5
Egypt,VFN,358.0,0.0,179.0
Eritrea,VFN,0.0,0.0,0.0
Finland,TCER,40.0,54.0,47.0
Grenada,TFN,18.0,9.0,13.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,1246.0,0.0,623.0
Indonesia,VFN,304.0,382.0,343.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Japan,VFN,264.0,312.0,288.0
Jordan,TFN,14.0,0.0,7.0
Kazakhstan,VFR,15.0,3.0,9.0
"Korea, Republic of",VFN,261.0,201.0,231.0
Kuwait,VFN,44.0,0.0,22.0
Lebanon,TFN,10.0,30.0,20.0
Lesotho,VFR,6916.0,8791.0,7853.5
Madagascar,TFN,61.0,0.0,30.5
Malaysia,TFN,285.0,319.0,302.0
Maldives,TFN,30.0,0.0,15.0
Mali,TFR,32.0,0.0,16.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,1070.0,1514.0,1292.0
Mexico,TFR,70.0,0.0,35.0
Mongolia,TFN,0.0,1.0,0.5
Morocco,TFN,352.0,0.0,176.0
Namibia,TFN,50056.0,67290.0,58673.0
New Zealand,VFR,182.0,146.0,164.0
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,137.0,0.0,68.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,13.0,0.0,6.5
Paraguay,TFN,7.0,0.0,3.5
Poland,TCER,114.0,0.0,57.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,65.0,0.0,32.5
Saudi Arabia,TFN,158.0,92.0,125.0
Seychelles,TFR,332.0,283.0,307.5
Sierra Leone,TFR,32.0,0.0,16.0
South Africa,TFR,688566.0,668315.0,678440.5
Sri Lanka,TFR,48.0,37.0,42.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,2013.0,0.0,1006.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,90.0,233.0,161.5
Trinidad and Tobago,TFN,19.0,27.0,23.0
Turkey,TFN,262.0,0.0,131.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,25.0,0.0,12.5
United Arab Emirates,THSN,139.0,2350.0,1244.5
United States of America,TFR,2347.0,2566.0,2456.5
Uzbekistan,VFR,0.0,0.0,0.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
Zimbabwe,VFR,123183.0,0.0,61591.5
