Destination,SERIES,2018,2019,Average
Albania,VFN,3484.0,5732.0,4608.0
Algeria,VFN,1088.0,816.0,952.0
Angola,TFR,18501.0,14638.0,16569.5
Antigua and Barbuda,TFR,249.0,0.0,124.5
Argentina,TFR,1318148.0,0.0,659074.0
Armenia,TFR,1457.0,0.0,728.5
Aruba,TFR,14409.0,0.0,7204.5
Australia,VFR,57860.0,0.0,28930.0
Austria,TCER,77943.0,79911.0,78927.0
Azerbaijan,VFR,1722.0,2100.0,1911.0
Bahamas,TFR,8236.0,10643.0,9439.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1216.0,0.0,608.0
Belarus,VFN,2956.0,2315.0,2635.5
Belgium,TCER,68328.0,0.0,34164.0
Benin,TFR,350.0,0.0,175.0
Bhutan,TFN,810.0,681.0,745.5
"Bolivia, Plurinational State of",TFN,88509.0,0.0,44254.5
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,3980.0,0.0,1990.0
Botswana,TFR,1253.0,0.0,626.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,5128.0,5173.0,5150.5
Cambodia,TFR,12937.0,0.0,6468.5
Canada,TFR,193772.0,0.0,96886.0
Cayman Islands,TFR,933.0,0.0,466.5
Chile,TFN,589172.0,542094.0,565633.0
China,VFN,118828.0,0.0,59414.0
Colombia,TFR,196829.0,0.0,98414.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,22329.0,26815.0,24572.0
Croatia,TCER,65070.0,77508.0,71289.0
Cuba,VFR,45723.0,0.0,22861.5
Curaçao,TFR,13230.0,0.0,6615.0
Czech Republic,TCEN,57685.0,61048.0,59366.5
Denmark,TCER,21701.0,27094.0,24397.5
Dominica,TFR,36.0,0.0,18.0
Dominican Republic,TFR,130004.0,107102.0,118553.0
Ecuador,VFR,21775.0,0.0,10887.5
Egypt,VFN,26160.0,0.0,13080.0
El Salvador,TFN,6354.0,5326.0,5840.0
Estonia,TCER,2803.0,0.0,1401.5
Finland,TCER,11984.0,12732.0,12358.0
French Guiana,TFR,0.0,0.0,0.0
French Polynesia,TFR,1788.0,1871.0,1829.5
Georgia,THSR,1356.0,0.0,678.0
Germany,TCER,288694.0,313504.0,301099.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,249.0,259.0,254.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,10259.0,9859.0,10059.0
Haiti,TFR,0.0,397.0,198.5
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,29873.0,28717.0,29295.0
India,TFN,26579.0,0.0,13289.5
Indonesia,VFN,26503.0,30232.0,28367.5
"Iran, Islamic Republic of",VFN,1681.0,0.0,840.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,62706.0,0.0,31353.0
Italy,TFN,559953.0,637688.0,598820.5
Jamaica,TFR,5287.0,5302.0,5294.5
Japan,VFN,44201.0,47575.0,45888.0
Jordan,TFN,9585.0,0.0,4792.5
Kazakhstan,VFR,1295.0,1516.0,1405.5
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,19745.0,23788.0,21766.5
Kuwait,VFN,1593.0,0.0,796.5
Latvia,TCER,3591.0,2829.0,3210.0
Lebanon,TFN,25014.0,27966.0,26490.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,449.0,637.0,543.0
Luxembourg,TCER,5340.0,0.0,2670.0
Madagascar,TFN,347.0,0.0,173.5
Malaysia,TFN,13608.0,14220.0,13914.0
Maldives,TFN,7702.0,0.0,3851.0
Mali,TFR,149.0,0.0,74.5
Mauritius,TFR,3743.0,3521.0,3632.0
Mexico,TFR,351373.0,0.0,175686.5
Monaco,THSN,2413.0,2456.0,2434.5
Mongolia,TFN,758.0,872.0,815.0
Montenegro,TCEN,1658.0,0.0,829.0
Morocco,TFN,50681.0,0.0,25340.5
Namibia,TFN,3047.0,3482.0,3264.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,19017.0,16566.0,17791.5
Nicaragua,TFN,3127.0,2633.0,2880.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,871.0,1387.0,1129.0
Norway,TCER,28325.0,27867.0,28096.0
Oman,VFR,204.0,0.0,102.0
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,72.0,0.0,36.0
Panama,VFR,84426.0,0.0,42213.0
Paraguay,TFN,189747.0,0.0,94873.5
Peru,TFR,177711.0,0.0,88855.5
Philippines,TFR,7364.0,10035.0,8699.5
Poland,TCER,15437.0,0.0,7718.5
Portugal,TCER,1116799.0,1287260.0,1202029.5
Romania,TCER,7298.0,6383.0,6840.5
Russian Federation,VFN,68925.0,0.0,34462.5
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
San Marino,VFN,2990.0,0.0,1495.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,3023.0,3636.0,3329.5
Serbia,TCEN,2579.0,3981.0,3280.0
Seychelles,TFR,1198.0,1264.0,1231.0
Sierra Leone,TFR,203.0,0.0,101.5
Singapore,VFR,0.0,0.0,0.0
Sint Maarten (Dutch part),TFN,708.0,0.0,354.0
Slovakia,TCEN,6503.0,8026.0,7264.5
Slovenia,TCEN,14097.0,16743.0,15420.0
South Africa,TFR,70539.0,77261.0,73900.0
Spain,TFR,560907.5489527495,564854.2443758274,562880.8966642884
Sri Lanka,TFR,2774.0,2964.0,2869.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,19257.0,0.0,9628.5
Switzerland,TCER,109710.0,114982.0,112346.0
Syrian Arab Republic,VFN,1504.0,1668.0,1586.0
Taiwan Province of China,TCER,4281.0,4535.0,4408.0
Tajikistan,VFR,208.0,0.0,104.0
"Tanzania, United Republic of",VFR,3454.0,0.0,1727.0
Thailand,TFR,57105.0,0.0,28552.5
Timor-Leste,TFR,661.0,479.0,570.0
Togo,THSR,818.0,1980.0,1399.0
Trinidad and Tobago,TFN,1833.0,2031.0,1932.0
Tunisia,TFN,2201.0,2630.0,2415.5
Turkey,TFN,75457.0,0.0,37728.5
Turkmenistan,TFN,0.0,0.0,0.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,6506.0,0.0,3253.0
United Arab Emirates,THSN,15823.0,69436.0,42629.5
United Kingdom,VFR,287701.0,290562.0,289131.5
United States of America,TFR,2209372.0,2104617.0,2156994.5
United States Virgin Islands,THSN,107.0,56.0,81.5
Uruguay,VFN,466673.0,0.0,233336.5
Uzbekistan,VFR,473.0,0.0,236.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Zimbabwe,VFR,5096.0,0.0,2548.0
