Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,1310.0,0.0,655.0
Australia,VFR,0.0,0.0,0.0
Bahamas,TFR,267.0,275.0,271.0
Barbados,TFR,1326.0,0.0,663.0
Belgium,TCER,0.0,0.0,0.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,0.0,0.0,0.0
Canada,TFR,653.0,0.0,326.5
Cayman Islands,TFR,134.0,0.0,67.0
China,VFN,3.0,0.0,1.5
Colombia,TFR,10.0,0.0,5.0
Costa Rica,TFN,1.0,0.0,0.5
Dominica,TFR,970.0,0.0,485.0
Ecuador,VFR,37.0,0.0,18.5
Egypt,VFN,301.0,0.0,150.5
Finland,TCER,8.0,8.0,8.0
Grenada,TFN,177.0,123.0,150.0
Guyana,TFR,912.0,916.0,914.0
India,TFN,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Jamaica,TFR,1244.0,1353.0,1298.5
"Korea, Republic of",VFN,3.0,1.0,2.0
Malaysia,TFN,0.0,0.0,0.0
Mexico,TFR,27.0,0.0,13.5
Mongolia,TFN,0.0,0.0,0.0
New Zealand,VFR,10.0,34.0,22.0
Panama,VFR,11.0,0.0,5.5
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,580.0,0.0,290.0
Saudi Arabia,TFN,0.0,3.0,1.5
South Africa,TFR,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Togo,THSR,6.0,0.0,3.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,24.0,99.0,61.5
United States of America,TFR,24753.0,30811.0,27782.0
United States Virgin Islands,THSN,7968.0,5775.0,6871.5
Uzbekistan,VFR,1.0,0.0,0.5
