Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,1.0,0.0,0.5
Australia,VFR,7120.0,0.0,3560.0
Azerbaijan,VFR,41.0,17.0,29.0
Bahamas,TFR,0.0,0.0,0.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,0.0,1.0,0.5
Belgium,TCER,206.0,0.0,103.0
Benin,TFR,0.0,0.0,0.0
Bhutan,TFN,26.0,15.0,20.5
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,11.0,14.0,12.5
Cambodia,TFR,790.0,0.0,395.0
Canada,TFR,622.0,0.0,311.0
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,13.0,57.0,35.0
China,VFN,9081.0,0.0,4540.5
Colombia,TFR,15.0,0.0,7.5
Costa Rica,TFN,1.0,3.0,2.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,1.0,0.0,0.5
Ecuador,VFR,9.0,0.0,4.5
Finland,TCER,58.0,53.0,55.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,833.0,0.0,416.5
Indonesia,VFN,17279.0,19278.0,18278.5
Israel,TFR,107.0,0.0,53.5
Italy,TFN,278.0,0.0,139.0
Japan,VFN,3626.0,4866.0,4246.0
Jordan,TFN,460.0,0.0,230.0
Kazakhstan,VFR,20.0,21.0,20.5
"Korea, Republic of",VFN,4876.0,6795.0,5835.5
Kuwait,VFN,21.0,0.0,10.5
Lao People's Democratic Republic,VFN,278.0,389.0,333.5
Lebanon,TFN,63.0,90.0,76.5
Malaysia,TFN,1382031.0,1216123.0,1299077.0
Maldives,TFN,128.0,0.0,64.0
Mali,TFR,1.0,0.0,0.5
Mauritius,TFR,12.0,15.0,13.5
Mexico,TFR,279.0,0.0,139.5
Mongolia,TFN,9.0,38.0,23.5
Morocco,TFN,178.0,0.0,89.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,1154.0,1001.0,1077.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,546.0,0.0,273.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,0.0,0.0,0.0
Paraguay,TFN,6.0,0.0,3.0
Philippines,TFR,9533.0,8126.0,8829.5
Poland,TCER,76.0,0.0,38.0
Russian Federation,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,6662.0,3331.0
Seychelles,TFR,2.0,1.0,1.5
Singapore,VFR,74960.0,72604.0,73782.0
South Africa,TFR,33.0,59.0,46.0
Sri Lanka,TFR,91.0,40.0,65.5
"Tanzania, United Republic of",VFR,116.0,0.0,58.0
Thailand,TFR,18460.0,0.0,9230.0
Trinidad and Tobago,TFN,2.0,0.0,1.0
Turkey,TFN,912.0,0.0,456.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,15.0,0.0,7.5
United Arab Emirates,THSN,390.0,1625.0,1007.5
United States of America,TFR,1382.0,1416.0,1399.0
Uzbekistan,VFR,13.0,0.0,6.5
Viet Nam,VFR,0.0,0.0,0.0
