Destination,SERIES,2018,2019,Average
Albania,VFN,40445.0,45813.0,43129.0
Angola,TFR,655.0,324.0,489.5
Antigua and Barbuda,TFR,46.0,0.0,23.0
Argentina,TFR,2378.0,0.0,1189.0
Armenia,TFR,2471.0,0.0,1235.5
Australia,VFR,2390.0,0.0,1195.0
Austria,TCER,84552.0,84963.0,84757.5
Azerbaijan,VFR,2552.0,2494.0,2523.0
Bahamas,TFR,586.0,465.0,525.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,182.0,0.0,91.0
Belarus,VFN,6385.0,6426.0,6405.5
Belgium,TCER,27827.0,0.0,13913.5
Bhutan,TFN,96.0,52.0,74.0
Bosnia and Herzegovina,TCER,6685.0,0.0,3342.5
Botswana,TFR,331.0,0.0,165.5
Brazil,TFR,2898.0,3252.0,3075.0
British Virgin Islands,TFR,0.0,0.0,0.0
Cambodia,TFR,2817.0,0.0,1408.5
Canada,TFR,6111.0,0.0,3055.5
Cayman Islands,TFR,36.0,0.0,18.0
Chile,TFN,928.0,980.0,954.0
China,VFN,20637.0,0.0,10318.5
Colombia,TFR,1123.0,0.0,561.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,941.0,940.0,940.5
Croatia,TCER,63415.0,65056.0,64235.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,24742.0,0.0,12371.0
Czech Republic,TCEN,38882.0,42276.0,40579.0
Dominica,TFR,6.0,0.0,3.0
Dominican Republic,TFR,2206.0,2593.0,2399.5
Ecuador,VFR,471.0,0.0,235.5
Egypt,VFN,20622.0,0.0,10311.0
El Salvador,TFN,46.0,34.0,40.0
Estonia,TCER,2323.0,0.0,1161.5
Finland,TCER,3074.0,3652.0,3363.0
Georgia,THSR,4443.0,0.0,2221.5
Germany,TCER,115887.0,121795.0,118841.0
Greece,TFR,3135327.0,3882891.0,3509109.0
Grenada,TFN,18.0,21.0,19.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,38.0,46.0,42.0
Honduras,TFN,0.0,0.0,0.0
Hungary,TFN,624958.0,417093.0,521025.5
India,TFN,5824.0,0.0,2912.0
Indonesia,VFN,8405.0,7652.0,8028.5
"Iran, Islamic Republic of",VFN,796.0,0.0,398.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,16418.0,0.0,8209.0
Italy,TFN,266294.0,326406.0,296350.0
Japan,VFN,5106.0,6324.0,5715.0
Jordan,TFN,2605.0,0.0,1302.5
Kazakhstan,VFR,1982.0,2320.0,2151.0
"Korea, Republic of",VFN,6079.0,6536.0,6307.5
Kuwait,VFN,5797.0,0.0,2898.5
Latvia,TCER,4384.0,3271.0,3827.5
Lebanon,TFN,3638.0,3629.0,3633.5
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,228.0,104.0,166.0
Luxembourg,TCER,1922.0,0.0,961.0
Madagascar,TFN,71.0,0.0,35.5
Malaysia,TFN,3672.0,3629.0,3650.5
Maldives,TFN,5510.0,0.0,2755.0
Mali,TFR,47.0,0.0,23.5
Malta,TFR,15574.0,15078.0,15326.0
Mauritius,TFR,1913.0,2040.0,1976.5
Mexico,TFR,4254.0,0.0,2127.0
"Moldova, Republic of",TCEN,2076.0,2013.0,2044.5
Mongolia,TFN,177.0,174.0,175.5
Montenegro,TCEN,11155.0,0.0,5577.5
Morocco,TFN,11481.0,0.0,5740.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,646.0,917.0,781.5
Nicaragua,TFN,175.0,117.0,146.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,52659.0,55880.0,54269.5
Norway,TCER,4339.0,5593.0,4966.0
Oman,VFR,887.0,0.0,443.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,819.0,0.0,409.5
Paraguay,TFN,124.0,0.0,62.0
Peru,TFR,1714.0,0.0,857.0
Poland,TCER,15172.0,0.0,7586.0
Portugal,TCER,26095.0,27126.0,26610.5
Romania,TCER,66340.0,67277.0,66808.5
Russian Federation,VFN,29010.0,0.0,14505.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,6500.0,0.0,3250.0
Saudi Arabia,TFN,2342.0,6372.0,4357.0
Serbia,TCEN,99527.0,100344.0,99935.5
Seychelles,TFR,1285.0,1583.0,1434.0
Sierra Leone,TFR,41.0,0.0,20.5
Slovakia,TCEN,14122.0,14826.0,14474.0
Slovenia,TCEN,40784.0,37996.0,39390.0
South Africa,TFR,2144.0,2358.0,2251.0
Sri Lanka,TFR,2664.0,2674.0,2669.0
Sudan,TFN,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,5768.0,0.0,2884.0
Switzerland,TCER,16910.0,15578.0,16244.0
Syrian Arab Republic,VFN,527.0,605.0,566.0
Tajikistan,VFR,134.0,0.0,67.0
"Tanzania, United Republic of",VFR,1946.0,0.0,973.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,0.0,173.0,86.5
Trinidad and Tobago,TFN,124.0,82.0,103.0
Tunisia,TFN,3034.0,6566.0,4800.0
Turkey,TFN,2382877.0,0.0,1191438.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,44892.0,0.0,22446.0
United Arab Emirates,THSN,5974.0,13898.0,9936.0
