Destination,SERIES,2018,2019,Average
Angola,TFR,121.0,87.0,104.0
Antigua and Barbuda,TFR,2.0,0.0,1.0
Armenia,TFR,44.0,0.0,22.0
Australia,VFR,60.0,0.0,30.0
Azerbaijan,VFR,8.0,32.0,20.0
Bahamas,TFR,10.0,22.0,16.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,12.0,9.0,10.5
Belgium,TCER,944.0,0.0,472.0
Benin,TFR,14960.0,0.0,7480.0
Bhutan,TFN,0.0,5.0,2.5
Botswana,TFR,107.0,0.0,53.5
Bulgaria,TCER,28.0,45.0,36.5
Canada,TFR,1322.0,0.0,661.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,7871.0,0.0,3935.5
Colombia,TFR,25.0,0.0,12.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,7.0,16.0,11.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,9.0,0.0,4.5
Egypt,VFN,826.0,0.0,413.0
Finland,TCER,9.0,31.0,20.0
Ghana,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
India,TFN,385.0,0.0,192.5
Indonesia,VFN,227.0,188.0,207.5
Israel,TFR,406.0,0.0,203.0
Italy,TFN,808.0,1030.0,919.0
Japan,VFN,298.0,401.0,349.5
Jordan,TFN,64.0,0.0,32.0
Kazakhstan,VFR,8.0,12.0,10.0
"Korea, Republic of",VFN,113.0,111.0,112.0
Kuwait,VFN,420.0,0.0,210.0
Lebanon,TFN,686.0,712.0,699.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,144.0,0.0,72.0
Malaysia,TFN,128.0,89.0,108.5
Maldives,TFN,1.0,0.0,0.5
Mali,TFR,6523.0,0.0,3261.5
Mauritius,TFR,78.0,96.0,87.0
Mexico,TFR,101.0,0.0,50.5
Mongolia,TFN,6.0,1.0,3.5
Morocco,TFN,4453.0,0.0,2226.5
New Zealand,VFR,43.0,25.0,34.0
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,15.0,0.0,7.5
Paraguay,TFN,5.0,0.0,2.5
Poland,TCER,121.0,0.0,60.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,115.0,0.0,57.5
Saudi Arabia,TFN,6634.0,1895.0,4264.5
Senegal,THSN,0.0,0.0,0.0
Seychelles,TFR,9.0,18.0,13.5
Sierra Leone,TFR,104.0,0.0,52.0
South Africa,TFR,707.0,791.0,749.0
Sri Lanka,TFR,19.0,12.0,15.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,353.0,0.0,176.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,16788.0,31643.0,24215.5
Trinidad and Tobago,TFN,1.0,0.0,0.5
Turkey,TFN,2307.0,0.0,1153.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,28.0,0.0,14.0
United Arab Emirates,THSN,184.0,1658.0,921.0
United States of America,TFR,4015.0,4156.0,4085.5
