Destination,SERIES,2018,2019,Average
Angola,TFR,546.0,62.0,304.0
Antigua and Barbuda,TFR,0.0,0.0,0.0
Armenia,TFR,4.0,0.0,2.0
Australia,VFR,40.0,0.0,20.0
Azerbaijan,VFR,11.0,6.0,8.5
Bahamas,TFR,0.0,2.0,1.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,9.0,0.0,4.5
Belarus,VFN,1.0,1.0,1.0
Belgium,TCER,726.0,0.0,363.0
Benin,TFR,231.0,0.0,115.5
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,20.0,0.0,10.0
Bulgaria,TCER,48.0,27.0,37.5
Canada,TFR,644.0,0.0,322.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,2388.0,0.0,1194.0
Colombia,TFR,8.0,0.0,4.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1.0,11.0,6.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,1.0,0.0,0.5
Egypt,VFN,602.0,0.0,301.0
Finland,TCER,15.0,24.0,19.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,401.0,0.0,200.5
Indonesia,VFN,36.0,54.0,45.0
Israel,TFR,99.0,0.0,49.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,85.0,76.0,80.5
Jordan,TFN,25.0,0.0,12.5
Kazakhstan,VFR,8.0,9.0,8.5
"Korea, Republic of",VFN,156.0,148.0,152.0
Kuwait,VFN,710.0,0.0,355.0
Lebanon,TFN,61.0,55.0,58.0
Madagascar,TFN,109.0,0.0,54.5
Malaysia,TFN,45.0,22.0,33.5
Maldives,TFN,4.0,0.0,2.0
Mali,TFR,291.0,0.0,145.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,84.0,110.0,97.0
Mexico,TFR,41.0,0.0,20.5
Mongolia,TFN,4.0,13.0,8.5
Morocco,TFN,325.0,0.0,162.5
New Zealand,VFR,0.0,9.0,4.5
Nicaragua,TFN,0.0,1.0,0.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,2.0,0.0,1.0
Paraguay,TFN,1.0,0.0,0.5
Poland,TCER,25.0,0.0,12.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,143.0,61.0,102.0
Seychelles,TFR,33.0,51.0,42.0
Sierra Leone,TFR,105.0,0.0,52.5
South Africa,TFR,816.0,936.0,876.0
Sri Lanka,TFR,18.0,3.0,10.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,76445.0,0.0,38222.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,470.0,1388.0,929.0
Trinidad and Tobago,TFN,10.0,6.0,8.0
Turkey,TFN,362.0,0.0,181.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,6.0,0.0,3.0
United Arab Emirates,THSN,259.0,1803.0,1031.0
United States of America,TFR,1662.0,1232.0,1447.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
