Destination,SERIES,2018,2019,Average
Albania,VFN,6.0,67.0,36.5
Angola,TFR,544.0,707.0,625.5
Antigua and Barbuda,TFR,1.0,0.0,0.5
Armenia,TFR,1.0,0.0,0.5
Australia,VFR,0.0,0.0,0.0
Azerbaijan,VFR,5.0,3.0,4.0
Bahamas,TFR,1.0,0.0,0.5
Barbados,TFR,3.0,0.0,1.5
Belarus,VFN,5.0,0.0,2.5
Belgium,TCER,222.0,0.0,111.0
Benin,TFR,323.0,0.0,161.5
Botswana,TFR,0.0,0.0,0.0
Brazil,TFR,1970.0,1871.0,1920.5
Bulgaria,TCER,148.0,52.0,100.0
Canada,TFR,85.0,0.0,42.5
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,16.0,16.0,16.0
China,VFN,873.0,0.0,436.5
Colombia,TFR,27.0,0.0,13.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,13.0,11.0,12.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,451.0,0.0,225.5
El Salvador,TFN,27.0,24.0,25.5
Finland,TCER,4.0,20.0,12.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,35.0,0.0,17.5
Indonesia,VFN,149.0,189.0,169.0
Israel,TFR,56.0,0.0,28.0
Italy,TFN,1251.0,38.0,644.5
Japan,VFN,45.0,68.0,56.5
Jordan,TFN,3.0,0.0,1.5
Kazakhstan,VFR,60.0,28.0,44.0
"Korea, Republic of",VFN,35.0,27.0,31.0
Kuwait,VFN,1.0,0.0,0.5
Latvia,TCER,0.0,0.0,0.0
Lebanon,TFN,19.0,13.0,16.0
Malaysia,TFN,65.0,46.0,55.5
Maldives,TFN,10.0,0.0,5.0
Mali,TFR,90.0,0.0,45.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,10.0,26.0,18.0
Mexico,TFR,4155.0,0.0,2077.5
Mongolia,TFN,2.0,2.0,2.0
Morocco,TFN,1857.0,0.0,928.5
New Zealand,VFR,0.0,3.0,1.5
Nicaragua,TFN,10.0,7.0,8.5
Nigeria,VFN,0.0,0.0,0.0
Panama,VFR,17.0,0.0,8.5
Paraguay,TFN,5.0,0.0,2.5
Poland,TCER,30.0,0.0,15.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Seychelles,TFR,13.0,12.0,12.5
Sierra Leone,TFR,5.0,0.0,2.5
South Africa,TFR,367.0,371.0,369.0
Sri Lanka,TFR,6.0,6.0,6.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,93.0,0.0,46.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,818.0,773.0,795.5
Trinidad and Tobago,TFN,3.0,0.0,1.5
Turkey,TFN,137.0,0.0,68.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,113.0,0.0,56.5
United Arab Emirates,THSN,37.0,541.0,289.0
United States of America,TFR,4785.0,4766.0,4775.5
