Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,4.0,2.0
Antigua and Barbuda,TFR,1.0,0.0,0.5
Armenia,TFR,24.0,0.0,12.0
Australia,VFR,12330.0,0.0,6165.0
Azerbaijan,VFR,18.0,40.0,29.0
Bahamas,TFR,10.0,7.0,8.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,20.0,54.0,37.0
Belgium,TCER,517.0,0.0,258.5
Bhutan,TFN,30.0,114.0,72.0
Botswana,TFR,27.0,0.0,13.5
Brunei Darussalam,TFN,420.0,463.0,441.5
Bulgaria,TCER,23.0,82.0,52.5
Canada,TFR,1393.0,0.0,696.5
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,22.0,19.0,20.5
China,VFN,101645.0,0.0,50822.5
Colombia,TFR,18.0,0.0,9.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,19.0,31.0,25.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,25.0,0.0,12.5
Egypt,VFN,177.0,0.0,88.5
Finland,TCER,50.0,217.0,133.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,7507.0,0.0,3753.5
Indonesia,VFN,8875.0,13843.0,11359.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,477.0,0.0,238.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,21696.0,28492.0,25094.0
Jordan,TFN,90.0,0.0,45.0
Kazakhstan,VFR,20.0,30.0,25.0
"Korea, Republic of",VFN,33395.0,41734.0,37564.5
Kuwait,VFN,187.0,0.0,93.5
Lao People's Democratic Republic,VFN,18908.0,28342.0,23625.0
Lebanon,TFN,249.0,249.0,249.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,90113.0,97097.0,93605.0
Maldives,TFN,846.0,0.0,423.0
Mali,TFR,21.0,0.0,10.5
Mauritius,TFR,49.0,43.0,46.0
Mexico,TFR,48.0,0.0,24.0
Mongolia,TFN,142.0,137.0,139.5
Morocco,TFN,510.0,0.0,255.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,2110.0,2283.0,2196.5
Nicaragua,TFN,2.0,8.0,5.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,20.0,0.0,10.0
Paraguay,TFN,0.0,0.0,0.0
Philippines,TFR,4154.0,5988.0,5071.0
Poland,TCER,132.0,0.0,66.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,1296.0,257.0,776.5
Seychelles,TFR,9.0,6.0,7.5
Sierra Leone,TFR,3.0,0.0,1.5
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,85.0,89.0,87.0
Sri Lanka,TFR,771.0,2841.0,1806.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,391.0,0.0,195.5
Thailand,TFR,950980.0,0.0,475490.0
Trinidad and Tobago,TFN,1.0,1.0,1.0
Turkey,TFN,318.0,0.0,159.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,48.0,0.0,24.0
United Arab Emirates,THSN,1198.0,1444.0,1321.0
United States of America,TFR,5681.0,6966.0,6323.5
Uzbekistan,VFR,12.0,0.0,6.0
Viet Nam,VFR,202954.0,227910.0,215432.0
