Destination,SERIES,2018,2019,Average
Albania,VFN,65.0,59.0,62.0
Angola,TFR,358.0,245.0,301.5
Antigua and Barbuda,TFR,0.0,0.0,0.0
Armenia,TFR,0.0,0.0,0.0
Australia,VFR,140.0,0.0,70.0
Azerbaijan,VFR,50.0,67.0,58.5
Bahamas,TFR,15.0,55.0,35.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,10.0,0.0,5.0
Belarus,VFN,166.0,240.0,203.0
Belgium,TCER,2335.0,0.0,1167.5
Benin,TFR,8390.0,0.0,4195.0
Bhutan,TFN,0.0,10.0,5.0
Botswana,TFR,156.0,0.0,78.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,100.0,105.0,102.5
Cambodia,TFR,258.0,0.0,129.0
Canada,TFR,2799.0,0.0,1399.5
Cayman Islands,TFR,0.0,0.0,0.0
Central African Republic,TFN,0.0,0.0,0.0
China,VFN,9802.0,0.0,4901.0
Colombia,TFR,81.0,0.0,40.5
Congo,THSR,7438.0,0.0,3719.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,60.0,68.0,64.0
Dominica,TFR,6.0,0.0,3.0
Ecuador,VFR,727.0,0.0,363.5
Egypt,VFN,2053.0,0.0,1026.5
El Salvador,TFN,7.0,13.0,10.0
Finland,TCER,69.0,104.0,86.5
Grenada,TFN,3.0,4.0,3.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,2186.0,0.0,1093.0
Indonesia,VFN,266.0,242.0,254.0
Israel,TFR,738.0,0.0,369.0
Italy,TFN,33.0,94.0,63.5
Japan,VFN,812.0,1031.0,921.5
Jordan,TFN,130.0,0.0,65.0
Kazakhstan,VFR,22.0,44.0,33.0
"Korea, Republic of",VFN,935.0,758.0,846.5
Kuwait,VFN,2256.0,0.0,1128.0
Latvia,TCER,40.0,66.0,53.0
Lebanon,TFN,624.0,812.0,718.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,368.0,0.0,184.0
Malaysia,TFN,443.0,359.0,401.0
Maldives,TFN,44.0,0.0,22.0
Mali,TFR,1868.0,0.0,934.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,445.0,473.0,459.0
Mexico,TFR,464.0,0.0,232.0
Mongolia,TFN,9.0,6.0,7.5
Morocco,TFN,3886.0,0.0,1943.0
New Zealand,VFR,5.0,30.0,17.5
Nicaragua,TFN,1.0,7.0,4.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,205.0,0.0,102.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,36.0,0.0,18.0
Paraguay,TFN,5.0,0.0,2.5
Poland,TCER,548.0,0.0,274.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,6266.0,2573.0,4419.5
Seychelles,TFR,113.0,141.0,127.0
Sierra Leone,TFR,68.0,0.0,34.0
South Africa,TFR,5098.0,5103.0,5100.5
Sri Lanka,TFR,24.0,12.0,18.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,1458.0,0.0,729.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,10163.0,14693.0,12428.0
Trinidad and Tobago,TFN,25.0,27.0,26.0
Turkey,TFN,8009.0,0.0,4004.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,859.0,0.0,429.5
United Arab Emirates,THSN,3447.0,19372.0,11409.5
United States of America,TFR,9777.0,7836.0,8806.5
Uzbekistan,VFR,15.0,0.0,7.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
