Destination,SERIES,2018,2019,Average
Albania,VFN,21237.0,21547.0,21392.0
Algeria,VFN,6173.0,4690.0,5431.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,1110.0,1070.0,1090.0
Anguilla,TFR,2047.0,4113.0,3080.0
Antigua and Barbuda,TFR,38087.0,0.0,19043.5
Argentina,TFR,60492.0,0.0,30246.0
Armenia,TFR,6468.0,0.0,3234.0
Aruba,TFR,50888.0,0.0,25444.0
Australia,VFR,182100.0,0.0,91050.0
Austria,TCER,120396.0,134394.0,127395.0
Azerbaijan,VFR,4101.0,4639.0,4370.0
Bahamas,TFR,126333.0,133958.0,130145.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,86622.0,0.0,43311.0
Belarus,VFN,3904.0,4134.0,4019.0
Belgium,TCER,68529.0,0.0,34264.5
Belize,TFN,35190.0,0.0,17595.0
Benin,TFR,5490.0,0.0,2745.0
Bermuda,TFR,27637.0,27748.0,27692.5
Bhutan,TFN,1807.0,1870.0,1838.5
"Bolivia, Plurinational State of",TFN,11840.0,0.0,5920.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,6799.0,0.0,3399.5
Botswana,TFR,10029.0,0.0,5014.5
Brazil,TFR,71160.0,77043.0,74101.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,2256.0,2322.0,2289.0
Bulgaria,TCER,10865.0,11666.0,11265.5
Burkina Faso,THSR,1969.0,0.0,984.5
Cambodia,TFR,61551.0,0.0,30775.5
Cameroon,THSN,10222.0,0.0,5111.0
Cayman Islands,TFR,26603.0,0.0,13301.5
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,42881.0,43329.0,43105.0
China,VFN,849941.0,0.0,424970.5
Colombia,TFR,63502.0,0.0,31751.0
Congo,THSR,403.0,0.0,201.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,3446.0,2735.0,3090.5
Costa Rica,TFN,217006.0,234621.0,225813.5
Croatia,TCER,172712.0,187145.0,179928.5
Cuba,VFR,1109339.0,0.0,554669.5
Curaçao,TFR,21173.0,0.0,10586.5
Cyprus,TFR,10049.0,0.0,5024.5
Czech Republic,TCEN,96673.0,95611.0,96142.0
Denmark,TCER,112959.0,128023.0,120491.0
Dominica,TFR,1841.0,0.0,920.5
Dominican Republic,TFR,904460.0,891976.0,898218.0
Ecuador,VFR,37511.0,0.0,18755.5
Egypt,VFN,85370.0,0.0,42685.0
El Salvador,TFN,29470.0,28633.0,29051.5
Eritrea,VFN,0.0,0.0,0.0
Estonia,TCER,7649.0,0.0,3824.5
Ethiopia,TFR,21214.0,0.0,10607.0
Fiji,TFR,13220.0,13269.0,13244.5
Finland,TCER,17870.0,19324.0,18597.0
France,TFR,1188545.0,0.0,594272.5
French Polynesia,TFR,7846.0,7958.0,7902.0
Gambia,TFN,0.0,0.0,0.0
Georgia,THSR,2100.0,0.0,1050.0
Germany,TCER,312895.0,321097.0,316996.0
Ghana,TFN,0.0,0.0,0.0
Greece,TFR,345839.0,320995.0,333417.0
Grenada,TFN,13784.0,14539.0,14161.5
Guadeloupe,TFR,0.0,0.0,0.0
Guam,TFR,0.0,0.0,0.0
Guatemala,VFR,55485.0,0.0,27742.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,23977.0,22423.0,23200.0
Haiti,TFR,37331.0,20923.0,29127.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,260508.0,211850.0,236179.0
Iceland,TFN,99715.0,69946.0,84830.5
India,TFN,351040.0,0.0,175520.0
Indonesia,VFN,97908.0,103616.0,100762.0
