Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,90.0,0.0,45.0
Australia,VFR,50.0,0.0,25.0
Azerbaijan,VFR,0.0,0.0,0.0
Bahamas,TFR,1595.0,1690.0,1642.5
Barbados,TFR,583.0,0.0,291.5
Belarus,VFN,0.0,1.0,0.5
Belgium,TCER,653.0,0.0,326.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,8250.0,0.0,4125.0
China,VFN,33.0,0.0,16.5
Colombia,TFR,151.0,0.0,75.5
Costa Rica,TFN,41.0,45.0,43.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,20.0,0.0,10.0
Ecuador,VFR,44.0,0.0,22.0
Finland,TCER,29.0,13.0,21.0
Grenada,TFN,35.0,30.0,32.5
Guyana,TFR,149.0,188.0,168.5
Haiti,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,9.0,0.0,4.5
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,959.0,479.5
Jamaica,TFR,18701.0,21513.0,20107.0
Kazakhstan,VFR,1.0,1.0,1.0
"Korea, Republic of",VFN,0.0,0.0,0.0
Malaysia,TFN,0.0,0.0,0.0
Mali,TFR,2.0,0.0,1.0
Mauritius,TFR,5.0,5.0,5.0
Mexico,TFR,155.0,0.0,77.5
Mongolia,TFN,0.0,0.0,0.0
New Zealand,VFR,284.0,268.0,276.0
Nicaragua,TFN,14.0,13.0,13.5
Panama,VFR,55.0,0.0,27.5
Poland,TCER,74.0,0.0,37.0
Russian Federation,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Seychelles,TFR,7.0,3.0,5.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,69.0,80.0,74.5
Turkey,TFN,0.0,0.0,0.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,82.0,0.0,41.0
United States of America,TFR,48779.0,70885.0,59832.0
