Destination,SERIES,2018,2019,Average
Angola,TFR,43.0,25.0,34.0
Armenia,TFR,12.0,0.0,6.0
Australia,VFR,0.0,0.0,0.0
Azerbaijan,VFR,109.0,2.0,55.5
Bahamas,TFR,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,3.0,5.0,4.0
Belgium,TCER,214.0,0.0,107.0
Benin,TFR,997.0,0.0,498.5
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,4.0,11.0,7.5
Canada,TFR,606.0,0.0,303.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,643.0,0.0,321.5
Colombia,TFR,13.0,0.0,6.5
Congo,THSR,1570.0,0.0,785.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1.0,3.0,2.0
Ecuador,VFR,37.0,0.0,18.5
Egypt,VFN,233.0,0.0,116.5
Finland,TCER,36.0,31.0,33.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,47.0,0.0,23.5
Indonesia,VFN,14.0,170.0,92.0
Israel,TFR,84.0,0.0,42.0
Italy,TFN,233.0,0.0,116.5
Japan,VFN,20.0,43.0,31.5
Jordan,TFN,9.0,0.0,4.5
Kazakhstan,VFR,5.0,2.0,3.5
"Korea, Republic of",VFN,33.0,24.0,28.5
Kuwait,VFN,38.0,0.0,19.0
Latvia,TCER,24.0,27.0,25.5
Lebanon,TFN,36.0,46.0,41.0
Madagascar,TFN,35.0,0.0,17.5
Malaysia,TFN,18.0,4.0,11.0
Maldives,TFN,0.0,0.0,0.0
Mali,TFR,294.0,0.0,147.0
Mauritius,TFR,19.0,30.0,24.5
Mexico,TFR,1293.0,0.0,646.5
Mongolia,TFN,2.0,2.0,2.0
Morocco,TFN,1290.0,0.0,645.0
New Zealand,VFR,2.0,1.0,1.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Panama,VFR,3.0,0.0,1.5
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,198.0,0.0,99.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,47.0,23.5
Seychelles,TFR,8.0,7.0,7.5
Sierra Leone,TFR,1.0,0.0,0.5
South Africa,TFR,167.0,165.0,166.0
Sri Lanka,TFR,1.0,0.0,0.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,87.0,0.0,43.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,934.0,1073.0,1003.5
Trinidad and Tobago,TFN,3.0,7.0,5.0
Turkey,TFN,226.0,0.0,113.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,4.0,0.0,2.0
United Arab Emirates,THSN,76.0,999.0,537.5
United States of America,TFR,426.0,786.0,606.0
Zambia,TFR,0.0,0.0,0.0
