Destination,SERIES,2018,2019,Average
Angola,TFR,155.0,69.0,112.0
Armenia,TFR,45.0,0.0,22.5
Australia,VFR,360.0,0.0,180.0
Azerbaijan,VFR,15.0,7.0,11.0
Bahamas,TFR,2.0,8.0,5.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,0.0,3.0,1.5
Belgium,TCER,196.0,0.0,98.0
Benin,TFR,1411.0,0.0,705.5
Bhutan,TFN,1.0,5.0,3.0
Botswana,TFR,15.0,0.0,7.5
Bulgaria,TCER,5.0,5.0,5.0
Canada,TFR,141.0,0.0,70.5
Cayman Islands,TFR,0.0,0.0,0.0
Central African Republic,TFN,0.0,0.0,0.0
China,VFN,1407.0,0.0,703.5
Colombia,TFR,14.0,0.0,7.0
Congo,THSR,324.0,0.0,162.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,4.0,3.0,3.5
Ecuador,VFR,39.0,0.0,19.5
Egypt,VFN,10580.0,0.0,5290.0
Ethiopia,TFR,7246.0,0.0,3623.0
Finland,TCER,4.0,13.0,8.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
India,TFN,211.0,0.0,105.5
Indonesia,VFN,95.0,122.0,108.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,80.0,0.0,40.0
Italy,TFN,317.0,0.0,158.5
Japan,VFN,36.0,52.0,44.0
Jordan,TFN,161.0,0.0,80.5
Kazakhstan,VFR,7.0,4.0,5.5
"Korea, Republic of",VFN,36.0,38.0,37.0
Kuwait,VFN,1340.0,0.0,670.0
Lebanon,TFN,58.0,54.0,56.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,37.0,0.0,18.5
Malaysia,TFN,203.0,154.0,178.5
Maldives,TFN,5.0,0.0,2.5
Mali,TFR,689.0,0.0,344.5
Mauritius,TFR,31.0,47.0,39.0
Mexico,TFR,18.0,0.0,9.0
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,1415.0,0.0,707.5
New Zealand,VFR,27.0,70.0,48.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,4.0,0.0,2.0
Poland,TCER,58.0,0.0,29.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,10563.0,5015.0,7789.0
Seychelles,TFR,7.0,20.0,13.5
Sierra Leone,TFR,10.0,0.0,5.0
South Africa,TFR,328.0,376.0,352.0
Sri Lanka,TFR,4.0,6.0,5.0
"Tanzania, United Republic of",VFR,101.0,0.0,50.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,4073.0,1478.0,2775.5
Trinidad and Tobago,TFN,0.0,1.0,0.5
Turkey,TFN,1237.0,0.0,618.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,7.0,0.0,3.5
United Arab Emirates,THSN,241.0,2818.0,1529.5
United States of America,TFR,666.0,718.0,692.0
Uzbekistan,VFR,1.0,0.0,0.5
