Destination,SERIES,2018,2019,Average
Albania,VFN,735.0,1079.0,907.0
Angola,TFR,291.0,159.0,225.0
Antigua and Barbuda,TFR,53.0,0.0,26.5
Argentina,TFR,1087246.0,0.0,543623.0
Armenia,TFR,171.0,0.0,85.5
Aruba,TFR,11242.0,0.0,5621.0
Australia,VFR,30870.0,0.0,15435.0
Azerbaijan,VFR,118.0,160.0,139.0
Bahamas,TFR,1947.0,1727.0,1837.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,277.0,0.0,138.5
Belarus,VFN,346.0,358.0,352.0
Belgium,TCER,11929.0,0.0,5964.5
Benin,TFR,15.0,0.0,7.5
Bhutan,TFN,130.0,103.0,116.5
"Bolivia, Plurinational State of",TFN,79485.0,0.0,39742.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,338.0,0.0,169.0
Brazil,TFR,387470.0,391689.0,389579.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,663.0,1028.0,845.5
Cambodia,TFR,7838.0,0.0,3919.0
Canada,TFR,31508.0,0.0,15754.0
Cayman Islands,TFR,237.0,0.0,118.5
China,VFN,25521.0,0.0,12760.5
Colombia,TFR,143057.0,0.0,71528.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,18297.0,21235.0,19766.0
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,875.0,0.0,437.5
Dominica,TFR,22.0,0.0,11.0
Dominican Republic,TFR,114418.0,114492.0,114455.0
Ecuador,VFR,56203.0,0.0,28101.5
Egypt,VFN,5084.0,0.0,2542.0
El Salvador,TFN,2241.0,2156.0,2198.5
Finland,TCER,2200.0,3026.0,2613.0
French Polynesia,TFR,2018.0,2456.0,2237.0
Georgia,THSR,123.0,0.0,61.5
Grenada,TFN,43.0,123.0,83.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,143.0,144.0,143.5
Haiti,TFR,0.0,154.0,77.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,7212.0,0.0,3606.0
Indonesia,VFN,11008.0,10029.0,10518.5
"Iran, Islamic Republic of",VFN,177.0,0.0,88.5
Israel,TFR,9122.0,0.0,4561.0
Italy,TFN,85257.0,85224.0,85240.5
Jamaica,TFR,5480.0,5366.0,5423.0
Japan,VFN,14089.0,13370.0,13729.5
Jordan,TFN,2485.0,0.0,1242.5
Kazakhstan,VFR,225.0,265.0,245.0
"Korea, Republic of",VFN,5149.0,5944.0,5546.5
Kuwait,VFN,134.0,0.0,67.0
Latvia,TCER,474.0,416.0,445.0
Lebanon,TFN,756.0,978.0,867.0
Madagascar,TFN,49.0,0.0,24.5
Malaysia,TFN,5396.0,4568.0,4982.0
Maldives,TFN,682.0,0.0,341.0
Mali,TFR,54.0,0.0,27.0
Mauritius,TFR,447.0,412.0,429.5
Mexico,TFR,184175.0,0.0,92087.5
Mongolia,TFN,216.0,193.0,204.5
Montenegro,TCEN,442.0,0.0,221.0
Morocco,TFN,10391.0,0.0,5195.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,9398.0,8740.0,9069.0
Nicaragua,TFN,1493.0,1311.0,1402.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,7.0,0.0,3.5
Panama,VFR,23751.0,0.0,11875.5
Papua New Guinea,VFR,32.0,46.0,39.0
Paraguay,TFN,15828.0,0.0,7914.0
Peru,TFR,1159188.0,0.0,579594.0
Poland,TCER,2740.0,0.0,1370.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,10214.0,0.0,5107.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,35.0,0.0,17.5
Saudi Arabia,TFN,0.0,370.0,185.0
Seychelles,TFR,171.0,192.0,181.5
Sierra Leone,TFR,122.0,0.0,61.0
Singapore,VFR,0.0,0.0,0.0
Sint Maarten (Dutch part),TFN,0.0,0.0,0.0
South Africa,TFR,6631.0,5944.0,6287.5
Spain,TFR,154207.82177008834,213656.26650348387,183932.0441367861
Sri Lanka,TFR,1002.0,938.0,970.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,19.0,0.0,9.5
"Tanzania, United Republic of",VFR,2477.0,0.0,1238.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,103.0,165.0,134.0
Trinidad and Tobago,TFN,288.0,328.0,308.0
Turkey,TFN,13798.0,0.0,6899.0
Turkmenistan,TFN,0.0,0.0,0.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,1334.0,0.0,667.0
United Arab Emirates,THSN,2852.0,15292.0,9072.0
United Kingdom,VFR,62078.0,61197.0,61637.5
United States of America,TFR,364622.0,383908.0,374265.0
United States Virgin Islands,THSN,26.0,33.0,29.5
Uruguay,VFN,61369.0,0.0,30684.5
Uzbekistan,VFR,139.0,0.0,69.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
