Destination,SERIES,2018,2019,Average
Albania,VFN,17525.0,22231.0,19878.0
Algeria,VFN,47142.0,39437.0,43289.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,20418.0,17193.0,18805.5
Antigua and Barbuda,TFR,869.0,0.0,434.5
Argentina,TFR,71959.0,0.0,35979.5
Armenia,TFR,9189.0,0.0,4594.5
Australia,VFR,1432190.0,0.0,716095.0
Austria,TCER,972998.0,1033502.0,1003250.0
Azerbaijan,VFR,15719.0,25524.0,20621.5
Bahamas,TFR,3491.0,3673.0,3582.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1585.0,0.0,792.5
Belarus,VFN,30680.0,46952.0,38816.0
Belgium,TCER,193143.0,0.0,96571.5
Benin,TFR,10233.0,0.0,5116.5
Bhutan,TFN,6878.0,7564.0,7221.0
Bosnia and Herzegovina,TCER,58235.0,0.0,29117.5
Botswana,TFR,3465.0,0.0,1732.5
Brazil,TFR,56333.0,68578.0,62455.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,63694.0,69056.0,66375.0
Bulgaria,TCER,36503.0,42533.0,39518.0
Burkina Faso,THSR,2765.0,0.0,1382.5
Cambodia,TFR,2024443.0,0.0,1012221.5
Canada,TFR,737379.0,0.0,368689.5
Cayman Islands,TFR,230.0,0.0,115.0
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,34583.0,36170.0,35376.5
Colombia,TFR,15664.0,0.0,7832.0
Congo,THSR,1941.0,0.0,970.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,631.0,678.0,654.5
Costa Rica,TFN,15249.0,16847.0,16048.0
Croatia,TCER,233630.0,279118.0,256374.0
Cuba,VFR,49781.0,0.0,24890.5
Cyprus,TFR,5032.0,0.0,2516.0
Czech Republic,TCEN,617935.0,609727.0,613831.0
Denmark,TCER,109392.0,129623.0,119507.5
Dominica,TFR,755.0,0.0,377.5
Dominican Republic,TFR,3859.0,5631.0,4745.0
Ecuador,VFR,18794.0,0.0,9397.0
Egypt,VFN,234747.0,0.0,117373.5
El Salvador,TFN,3314.0,4311.0,3812.5
Eritrea,VFN,0.0,0.0,0.0
Estonia,TCER,20381.0,0.0,10190.5
Ethiopia,TFR,50626.0,0.0,25313.0
Fiji,TFR,49271.0,47027.0,48149.0
Finland,TCER,202697.0,234383.0,218540.0
France,TFR,2175647.0,0.0,1087823.5
French Polynesia,TFR,5055.0,3345.0,4200.0
Georgia,THSR,55519.0,0.0,27759.5
Germany,TCER,1591555.0,1553297.0,1572426.0
Ghana,TFN,0.0,0.0,0.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,621.0,598.0,609.5
Guam,TFR,16339.0,11629.0,13984.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,19901957.0,16226642.0,18064299.5
Iceland,TFN,89495.0,99253.0,94374.0
India,TFN,281768.0,0.0,140884.0
Indonesia,VFN,2139161.0,2072079.0,2105620.0
"Iran, Islamic Republic of",VFN,54789.0,0.0,27394.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,104455.0,0.0,52227.5
Italy,TFN,320620.0,413022.0,366821.0
Jamaica,TFR,3431.0,3663.0,3547.0
Japan,VFN,8380034.0,9594394.0,8987214.0
Jordan,TFN,18871.0,0.0,9435.5
Kazakhstan,VFR,51418.0,77621.0,64519.5
"Korea, Republic of",VFN,4789512.0,6023021.0,5406266.5
Kuwait,VFN,35231.0,0.0,17615.5
Kyrgyzstan,VFR,30749.0,0.0,15374.5
Lao People's Democratic Republic,VFN,805833.0,1022727.0,914280.0
Latvia,TCER,22738.0,20233.0,21485.5
Lebanon,TFN,9467.0,10823.0,10145.0
Lesotho,VFR,6099.0,7971.0,7035.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,1654.0,2117.0,1885.5
Lithuania,TFR,0.0,0.0,0.0
Luxembourg,TCER,31750.0,0.0,15875.0
"Macao, China",THSR,9642616.0,9824014.0,9733315.0
Madagascar,TFN,6285.0,0.0,3142.5
Malaysia,TFN,2943792.0,3113915.0,3028853.5
Maldives,TFN,283116.0,0.0,141558.0
Mali,TFR,4567.0,0.0,2283.5
Malta,TFR,0.0,0.0,0.0
Marshall Islands,TFR,0.0,0.0,0.0
Mauritius,TFR,65736.0,42740.0,54238.0
Mexico,TFR,103171.0,0.0,51585.5
"Micronesia, Federated States of",TFR,0.0,0.0,0.0
"Moldova, Republic of",TCEN,1508.0,2279.0,1893.5
Monaco,THSN,3670.0,5044.0,4357.0
Mongolia,TFN,163979.0,168298.0,166138.5
Montenegro,TCEN,42715.0,0.0,21357.5
Morocco,TFN,132081.0,0.0,66040.5
Myanmar,TFN,963190.0,1463054.0,1213122.0
Namibia,TFN,14596.0,18411.0,16503.5
Nepal,TFN,153602.0,169543.0,161572.5
New Caledonia,TFR,1153.0,805.0,979.0
New Zealand,VFR,448189.0,407141.0,427665.0
Nicaragua,TFN,742.0,1097.0,919.5
Nigeria,VFN,0.0,0.0,0.0
Niue,TFR,0.0,0.0,0.0
North Macedonia,TCEN,13724.0,13635.0,13679.5
Northern Mariana Islands,VFN,215892.0,0.0,107946.0
Norway,TCER,252660.0,259202.0,255931.0
Oman,VFR,4301.0,0.0,2150.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,41317.0,0.0,20658.5
Panama,VFR,26735.0,0.0,13367.5
Papua New Guinea,VFR,12732.0,14755.0,13743.5
Paraguay,TFN,602.0,0.0,301.0
Peru,TFR,37740.0,0.0,18870.0
Philippines,TFR,1257962.0,1743309.0,1500635.5
Poland,TCER,136067.0,0.0,68033.5
Portugal,TCER,324902.0,383655.0,354278.5
Qatar,VFN,62988.0,62786.0,62887.0
Reunion,TFR,0.0,0.0,0.0
Romania,TCER,37047.0,41873.0,39460.0
Russian Federation,VFN,1690186.0,0.0,845093.0
Rwanda,VFN,0.0,0.0,0.0
Samoa,VFR,2903.0,3551.0,3227.0
San Marino,VFN,13322.0,0.0,6661.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,62834.0,74586.0,68710.0
Serbia,TCEN,0.0,0.0,0.0
Seychelles,TFR,9050.0,5973.0,7511.5
Sierra Leone,TFR,2014.0,0.0,1007.0
Singapore,VFR,3417604.0,3627120.0,3522362.0
Sint Maarten (Dutch part),TFN,417.0,0.0,208.5
Slovakia,TCEN,66961.0,57936.0,62448.5
Slovenia,TCEN,87171.0,98958.0,93064.5
Solomon Islands,TFR,1284.0,1440.0,1362.0
South Africa,TFR,96915.0,93171.0,95043.0
Spain,TFR,646367.8979495172,700747.6144790751,673557.7562142962
Sri Lanka,TFR,265965.0,167863.0,216914.0
Sudan,TFN,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,172989.0,0.0,86494.5
Syrian Arab Republic,VFN,1657.0,2335.0,1996.0
Taiwan Province of China,TCER,2415344.0,2473590.0,2444467.0
Tajikistan,VFR,8059.0,0.0,4029.5
"Tanzania, United Republic of",VFR,32773.0,0.0,16386.5
Thailand,TFR,10625167.0,0.0,5312583.5
Timor-Leste,TFR,6673.0,7455.0,7064.0
Togo,THSR,6490.0,7913.0,7201.5
Tonga,TFR,1205.0,0.0,602.5
Trinidad and Tobago,TFN,2373.0,2535.0,2454.0
Tunisia,TFN,26726.0,28969.0,27847.5
Turkey,TFN,391431.0,0.0,195715.5
Turkmenistan,TFN,0.0,0.0,0.0
Tuvalu,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,41061.0,0.0,20530.5
United Arab Emirates,THSN,1481040.0,1631433.0,1556236.5
United Kingdom,VFR,859602.0,883073.0,871337.5
United States of America,TFR,2991813.0,2829970.0,2910891.5
Uzbekistan,VFR,32444.0,0.0,16222.0
Vanuatu,TFR,4007.0,4671.0,4339.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,4966468.0,5806425.0,5386446.5
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,27796.0,0.0,13898.0
