Destination,SERIES,2018,2019,Average
Albania,VFN,931.0,1248.0,1089.5
Angola,TFR,366.0,402.0,384.0
Antigua and Barbuda,TFR,154.0,0.0,77.0
Argentina,TFR,170651.0,0.0,85325.5
Armenia,TFR,232.0,0.0,116.0
Aruba,TFR,36873.0,0.0,18436.5
Australia,VFR,19060.0,0.0,9530.0
Azerbaijan,VFR,759.0,579.0,669.0
Bahamas,TFR,2535.0,2628.0,2581.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,913.0,0.0,456.5
Belarus,VFN,816.0,202.0,509.0
Belgium,TCER,15318.0,0.0,7659.0
Benin,TFR,35.0,0.0,17.5
Bhutan,TFN,57.0,71.0,64.0
"Bolivia, Plurinational State of",TFN,34356.0,0.0,17178.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,93.0,0.0,46.5
Brazil,TFR,131596.0,126595.0,129095.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,1395.0,1199.0,1297.0
Cambodia,TFR,7605.0,0.0,3802.5
Canada,TFR,37482.0,0.0,18741.0
Cayman Islands,TFR,186.0,0.0,93.0
Chile,TFN,132515.0,131818.0,132166.5
China,VFN,40165.0,0.0,20082.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,46723.0,44557.0,45640.0
Cuba,VFR,47519.0,0.0,23759.5
Curaçao,TFR,23594.0,0.0,11797.0
Dominica,TFR,181.0,0.0,90.5
Dominican Republic,TFR,105884.0,106366.0,106125.0
Ecuador,VFR,292204.0,0.0,146102.0
Egypt,VFN,7824.0,0.0,3912.0
El Salvador,TFN,17390.0,16052.0,16721.0
Finland,TCER,1565.0,2124.0,1844.5
French Polynesia,TFR,0.0,0.0,0.0
Grenada,TFN,68.0,132.0,100.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,884.0,1077.0,980.5
Haiti,TFR,0.0,384.0,192.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,7405.0,0.0,3702.5
Indonesia,VFN,5445.0,6304.0,5874.5
"Iran, Islamic Republic of",VFN,160.0,0.0,80.0
Israel,TFR,16017.0,0.0,8008.5
Italy,TFN,54036.0,83567.0,68801.5
Jamaica,TFR,3081.0,3898.0,3489.5
Japan,VFN,9966.0,11745.0,10855.5
Jordan,TFN,2186.0,0.0,1093.0
Kazakhstan,VFR,575.0,1289.0,932.0
"Korea, Republic of",VFN,5876.0,7384.0,6630.0
Kuwait,VFN,2770.0,0.0,1385.0
Latvia,TCER,524.0,369.0,446.5
Lebanon,TFN,2296.0,2488.0,2392.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,138.0,0.0,69.0
Malaysia,TFN,1913.0,1879.0,1896.0
Maldives,TFN,858.0,0.0,429.0
Mali,TFR,44.0,0.0,22.0
Mauritius,TFR,124.0,136.0,130.0
Mexico,TFR,494206.0,0.0,247103.0
Mongolia,TFN,93.0,154.0,123.5
Morocco,TFN,5873.0,0.0,2936.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,1892.0,2061.0,1976.5
Nicaragua,TFN,5079.0,5172.0,5125.5
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,477.0,0.0,238.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,224965.0,0.0,112482.5
Paraguay,TFN,14374.0,0.0,7187.0
Peru,TFR,219452.0,0.0,109726.0
Philippines,TFR,2389.0,3386.0,2887.5
Poland,TCER,2348.0,0.0,1174.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,38536.0,0.0,19268.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
San Marino,VFN,260.0,0.0,130.0
Saudi Arabia,TFN,1097.0,2103.0,1600.0
Seychelles,TFR,67.0,80.0,73.5
Sierra Leone,TFR,0.0,0.0,0.0
Singapore,VFR,0.0,0.0,0.0
Sint Maarten (Dutch part),TFN,866.0,0.0,433.0
South Africa,TFR,2347.0,2318.0,2332.5
Sri Lanka,TFR,702.0,713.0,707.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,18.0,0.0,9.0
"Tanzania, United Republic of",VFR,1053.0,0.0,526.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,284.0,570.0,427.0
Trinidad and Tobago,TFN,2497.0,2746.0,2621.5
Turkey,TFN,54653.0,0.0,27326.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,615.0,0.0,307.5
United Arab Emirates,THSN,10463.0,53367.0,31915.0
United Kingdom,VFR,0.0,0.0,0.0
United States of America,TFR,942617.0,944013.0,943315.0
United States Virgin Islands,THSN,16.0,74.0,45.0
Uzbekistan,VFR,193.0,0.0,96.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
