Destination,SERIES,2018,2019,Average
Albania,VFN,15.0,5.0,10.0
Angola,TFR,0.0,0.0,0.0
Armenia,TFR,32.0,0.0,16.0
Australia,VFR,10.0,0.0,5.0
Azerbaijan,VFR,2706.0,2173.0,2439.5
Bahamas,TFR,2.0,0.0,1.0
Bangladesh,TFN,0.0,0.0,0.0
Belarus,VFN,8.0,3.0,5.5
Belgium,TCER,80.0,0.0,40.0
Benin,TFR,221.0,0.0,110.5
Bhutan,TFN,0.0,0.0,0.0
Botswana,TFR,27.0,0.0,13.5
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,244.0,0.0,122.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,1704.0,0.0,852.0
Colombia,TFR,14.0,0.0,7.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,2.0,0.0,1.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,41.0,0.0,20.5
Egypt,VFN,627.0,0.0,313.5
Finland,TCER,11.0,7.0,9.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,1583.0,0.0,791.5
Indonesia,VFN,203.0,304.0,253.5
Israel,TFR,0.0,0.0,0.0
Japan,VFN,57.0,91.0,74.0
Jordan,TFN,41.0,0.0,20.5
Kazakhstan,VFR,22.0,31.0,26.5
"Korea, Republic of",VFN,51.0,41.0,46.0
Kuwait,VFN,657.0,0.0,328.5
Lebanon,TFN,100.0,68.0,84.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,6084.0,0.0,3042.0
Malaysia,TFN,288.0,296.0,292.0
Maldives,TFN,55.0,0.0,27.5
Mali,TFR,29.0,0.0,14.5
Mauritius,TFR,956.0,1305.0,1130.5
Mexico,TFR,5.0,0.0,2.5
Mongolia,TFN,2.0,0.0,1.0
Morocco,TFN,1602.0,0.0,801.0
New Zealand,VFR,18.0,9.0,13.5
Nicaragua,TFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,8.0,0.0,4.0
Paraguay,TFN,1.0,0.0,0.5
Poland,TCER,13.0,0.0,6.5
Reunion,TFR,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,3669.0,2794.0,3231.5
Seychelles,TFR,96.0,123.0,109.5
Sierra Leone,TFR,17.0,0.0,8.5
South Africa,TFR,295.0,373.0,334.0
Sri Lanka,TFR,191.0,128.0,159.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,9924.0,0.0,4962.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,193.0,75.0,134.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,1203.0,0.0,601.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,103.0,0.0,51.5
United Arab Emirates,THSN,23236.0,72025.0,47630.5
United States of America,TFR,149.0,120.0,134.5
Yemen,TFN,0.0,0.0,0.0
