Destination,SERIES,2018,2019,Average
Albania,VFN,0.0,0.0,0.0
Angola,TFR,1441.0,1455.0,1448.0
Antigua and Barbuda,TFR,0.0,0.0,0.0
Armenia,TFR,80.0,0.0,40.0
Australia,VFR,90.0,0.0,45.0
Azerbaijan,VFR,17.0,32.0,24.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,191.0,249.0,220.0
Belgium,TCER,3712.0,0.0,1856.0
Benin,TFR,1215.0,0.0,607.5
Botswana,TFR,553.0,0.0,276.5
Bulgaria,TCER,0.0,6.0,3.0
Canada,TFR,2561.0,0.0,1280.5
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,0.0,0.0,0.0
China,VFN,5464.0,0.0,2732.0
Colombia,TFR,73.0,0.0,36.5
Congo,THSR,15546.0,0.0,7773.0
Costa Rica,TFN,9.0,26.0,17.5
Ecuador,VFR,25.0,0.0,12.5
Egypt,VFN,1047.0,0.0,523.5
Finland,TCER,25.0,42.0,33.5
Grenada,TFN,2.0,6.0,4.0
Guinea,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,0.0,0.0,0.0
Indonesia,VFN,186.0,158.0,172.0
Israel,TFR,792.0,0.0,396.0
Italy,TFN,754.0,2172.0,1463.0
Japan,VFN,452.0,655.0,553.5
Kazakhstan,VFR,1.0,6.0,3.5
"Korea, Republic of",VFN,626.0,451.0,538.5
Kuwait,VFN,71.0,0.0,35.5
Latvia,TCER,11.0,17.0,14.0
Lebanon,TFN,9.0,0.0,4.5
Libya,VFN,0.0,0.0,0.0
Maldives,TFN,18.0,0.0,9.0
Mali,TFR,9657.0,0.0,4828.5
Mauritius,TFR,0.0,0.0,0.0
Mexico,TFR,741.0,0.0,370.5
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,0.0,0.0,0.0
New Zealand,VFR,5.0,49.0,27.0
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Panama,VFR,16.0,0.0,8.0
Poland,TCER,72.0,0.0,36.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,161.0,188.0,174.5
South Africa,TFR,35356.0,33105.0,34230.5
Sri Lanka,TFR,33.0,33.0,33.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,13887.0,0.0,6943.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,1328.0,4868.0,3098.0
Trinidad and Tobago,TFN,17.0,11.0,14.0
Turkey,TFN,7720.0,0.0,3860.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,308.0,0.0,154.0
United Arab Emirates,THSN,350.0,899.0,624.5
United States of America,TFR,7673.0,7483.0,7578.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
Zimbabwe,VFR,66418.0,0.0,33209.0
