Destination,SERIES,2018,2019,Average
Albania,VFN,10.0,39.0,24.5
Angola,TFR,1324.0,1322.0,1323.0
Antigua and Barbuda,TFR,1.0,0.0,0.5
Australia,VFR,140.0,0.0,70.0
Azerbaijan,VFR,14.0,18.0,16.0
Bahamas,TFR,19.0,15.0,17.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,7.0,0.0,3.5
Belarus,VFN,20.0,64.0,42.0
Belgium,TCER,2113.0,0.0,1056.5
Benin,TFR,8042.0,0.0,4021.0
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,97.0,0.0,48.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,26.0,69.0,47.5
Cambodia,TFR,305.0,0.0,152.5
Canada,TFR,478.0,0.0,239.0
Cayman Islands,TFR,0.0,0.0,0.0
Central African Republic,TFN,0.0,0.0,0.0
China,VFN,17339.0,0.0,8669.5
Colombia,TFR,6.0,0.0,3.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,2.0,1.0,1.5
Dominica,TFR,1.0,0.0,0.5
Ecuador,VFR,39.0,0.0,19.5
Egypt,VFN,393.0,0.0,196.5
El Salvador,TFN,24.0,13.0,18.5
Finland,TCER,41.0,48.0,44.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,350.0,0.0,175.0
Indonesia,VFN,42.0,82.0,62.0
Israel,TFR,114.0,0.0,57.0
Italy,TFN,2173.0,1.0,1087.0
Japan,VFN,95.0,97.0,96.0
Jordan,TFN,15.0,0.0,7.5
Kazakhstan,VFR,47.0,35.0,41.0
"Korea, Republic of",VFN,65.0,60.0,62.5
Kuwait,VFN,2.0,0.0,1.0
Latvia,TCER,13.0,75.0,44.0
Lebanon,TFN,557.0,102.0,329.5
Madagascar,TFN,603.0,0.0,301.5
Malaysia,TFN,38.0,186.0,112.0
Maldives,TFN,21.0,0.0,10.5
Mali,TFR,0.0,0.0,0.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,603.0,753.0,678.0
Mexico,TFR,144.0,0.0,72.0
Mongolia,TFN,24.0,14.0,19.0
Morocco,TFN,10779.0,0.0,5389.5
New Zealand,VFR,21.0,26.0,23.5
Nicaragua,TFN,2.0,7.0,4.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,16.0,0.0,8.0
Paraguay,TFN,7.0,0.0,3.5
Poland,TCER,234.0,0.0,117.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,225.0,1779.0,1002.0
Seychelles,TFR,73.0,86.0,79.5
Sierra Leone,TFR,61.0,0.0,30.5
South Africa,TFR,2716.0,2376.0,2546.0
Sri Lanka,TFR,7.0,3.0,5.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,1525.0,0.0,762.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,2642.0,4358.0,3500.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,830.0,0.0,415.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,297.0,0.0,148.5
United Arab Emirates,THSN,540.0,7708.0,4124.0
United States of America,TFR,1376.0,1200.0,1288.0
Uzbekistan,VFR,10.0,0.0,5.0
