Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Australia,VFR,2430.0,0.0,1215.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,2.0,0.0,1.0
Belgium,TCER,17.0,0.0,8.5
Botswana,TFR,0.0,0.0,0.0
Canada,TFR,80.0,0.0,40.0
Cayman Islands,TFR,0.0,0.0,0.0
Costa Rica,TFN,0.0,0.0,0.0
Ecuador,VFR,1.0,0.0,0.5
Finland,TCER,8.0,13.0,10.5
French Polynesia,TFR,243.0,456.0,349.5
India,TFN,0.0,0.0,0.0
Indonesia,VFN,1.0,0.0,0.5
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Kuwait,VFN,1.0,0.0,0.5
Mauritius,TFR,2.0,3.0,2.5
Mexico,TFR,159.0,0.0,79.5
Mongolia,TFN,0.0,0.0,0.0
New Zealand,VFR,12075.0,14036.0,13055.5
Northern Mariana Islands,VFN,0.0,0.0,0.0
Panama,VFR,1.0,0.0,0.5
Samoa,VFR,30.0,75.0,52.5
South Africa,TFR,0.0,1.0,0.5
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,7.0,0.0,3.5
United States of America,TFR,73.0,79.0,76.0
