Destination,SERIES,2018,2019,Average
Angola,TFR,272.0,13.0,142.5
Antigua and Barbuda,TFR,105.0,0.0,52.5
Argentina,TFR,13775.0,0.0,6887.5
Australia,VFR,890.0,0.0,445.0
Azerbaijan,VFR,88.0,75.0,81.5
Bahamas,TFR,558.0,571.0,564.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,227.0,0.0,113.5
Belarus,VFN,123.0,85.0,104.0
Belgium,TCER,3432.0,0.0,1716.0
Bhutan,TFN,45.0,26.0,35.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,36.0,0.0,18.0
Brazil,TFR,11118.0,11676.0,11397.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,973.0,499.0,736.0
Cambodia,TFR,1490.0,0.0,745.0
Canada,TFR,11269.0,0.0,5634.5
Cayman Islands,TFR,266.0,0.0,133.0
Chile,TFN,9977.0,10098.0,10037.5
China,VFN,7842.0,0.0,3921.0
Colombia,TFR,49042.0,0.0,24521.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,16.0,0.0,8.0
Dominican Republic,TFR,12003.0,12638.0,12320.5
Ecuador,VFR,8600.0,0.0,4300.0
Egypt,VFN,1504.0,0.0,752.0
El Salvador,TFN,36112.0,36653.0,36382.5
Finland,TCER,659.0,712.0,685.5
Grenada,TFN,27.0,31.0,29.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,117.0,161.0,139.0
Haiti,TFR,0.0,56.0,28.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,1757.0,0.0,878.5
Indonesia,VFN,855.0,899.0,877.0
Israel,TFR,3519.0,0.0,1759.5
Italy,TFN,20874.0,12155.0,16514.5
Jamaica,TFR,1262.0,1376.0,1319.0
Japan,VFN,2860.0,3232.0,3046.0
Jordan,TFN,999.0,0.0,499.5
Kazakhstan,VFR,186.0,153.0,169.5
"Korea, Republic of",VFN,1241.0,1488.0,1364.5
Kuwait,VFN,162.0,0.0,81.0
Latvia,TCER,286.0,209.0,247.5
Lebanon,TFN,251.0,308.0,279.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,1.0,0.0,0.5
Malaysia,TFN,958.0,916.0,937.0
Maldives,TFN,108.0,0.0,54.0
Mali,TFR,11.0,0.0,5.5
Mauritius,TFR,25.0,33.0,29.0
Mexico,TFR,158192.0,0.0,79096.0
Mongolia,TFN,53.0,140.0,96.5
Morocco,TFN,1076.0,0.0,538.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,255.0,305.0,280.0
Nicaragua,TFN,127614.0,137494.0,132554.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,70386.0,0.0,35193.0
Paraguay,TFN,1050.0,0.0,525.0
Peru,TFR,17387.0,0.0,8693.5
Poland,TCER,976.0,0.0,488.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,24.0,85.0,54.5
Seychelles,TFR,25.0,18.0,21.5
Sierra Leone,TFR,15.0,0.0,7.5
South Africa,TFR,583.0,643.0,613.0
Sri Lanka,TFR,132.0,143.0,137.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,2.0,0.0,1.0
"Tanzania, United Republic of",VFR,285.0,0.0,142.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,0.0,60.0,30.0
Trinidad and Tobago,TFN,681.0,713.0,697.0
Turkey,TFN,3387.0,0.0,1693.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,186.0,0.0,93.0
United Arab Emirates,THSN,960.0,4275.0,2617.5
United States of America,TFR,316102.0,334591.0,325346.5
United States Virgin Islands,THSN,16.0,18.0,17.0
Uzbekistan,VFR,8.0,0.0,4.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
