Destination,SERIES,2018,2019,Average
Albania,VFN,34531.0,41302.0,37916.5
Angola,TFR,1245.0,504.0,874.5
Argentina,TFR,2209.0,0.0,1104.5
Armenia,TFR,601.0,0.0,300.5
Australia,VFR,3330.0,0.0,1665.0
Austria,TCER,135228.0,147568.0,141398.0
Azerbaijan,VFR,1050.0,1866.0,1458.0
Bahamas,TFR,503.0,402.0,452.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,113.0,0.0,56.5
Belarus,VFN,2705.0,2648.0,2676.5
Belgium,TCER,13616.0,0.0,6808.0
Bhutan,TFN,24.0,49.0,36.5
Bosnia and Herzegovina,TCER,116823.0,0.0,58411.5
Botswana,TFR,118.0,0.0,59.0
Brazil,TFR,2053.0,2883.0,2468.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,13329.0,17179.0,15254.0
Cambodia,TFR,2363.0,0.0,1181.5
Canada,TFR,6254.0,0.0,3127.0
Cayman Islands,TFR,19.0,0.0,9.5
Chile,TFN,874.0,988.0,931.0
China,VFN,22267.0,0.0,11133.5
Colombia,TFR,1030.0,0.0,515.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,543.0,577.0,560.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,0.0,0.0,0.0
Czech Republic,TCEN,54155.0,52389.0,53272.0
Dominica,TFR,7.0,0.0,3.5
Ecuador,VFR,516.0,0.0,258.0
Egypt,VFN,6237.0,0.0,3118.5
El Salvador,TFN,69.0,49.0,59.0
Estonia,TCER,1672.0,0.0,836.0
Finland,TCER,3284.0,3803.0,3543.5
Germany,TCER,117561.0,129632.0,123596.5
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,52.0,154.0,103.0
Honduras,TFN,0.0,0.0,0.0
Hungary,TFN,35481.0,48782.0,42131.5
India,TFN,4059.0,0.0,2029.5
Indonesia,VFN,4115.0,5257.0,4686.0
Israel,TFR,7327.0,0.0,3663.5
Italy,TFN,275064.0,314017.0,294540.5
Japan,VFN,3407.0,4099.0,3753.0
Jordan,TFN,1410.0,0.0,705.0
Kazakhstan,VFR,1373.0,1191.0,1282.0
"Korea, Republic of",VFN,6083.0,5962.0,6022.5
Kuwait,VFN,1482.0,0.0,741.0
Latvia,TCER,2778.0,2773.0,2775.5
Lebanon,TFN,1697.0,1555.0,1626.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,198.0,123.0,160.5
Luxembourg,TCER,1393.0,0.0,696.5
Madagascar,TFN,59.0,0.0,29.5
Malaysia,TFN,2603.0,2883.0,2743.0
Maldives,TFN,1579.0,0.0,789.5
Mali,TFR,28.0,0.0,14.0
Malta,TFR,4055.0,6497.0,5276.0
Mauritius,TFR,823.0,992.0,907.5
Mexico,TFR,2711.0,0.0,1355.5
"Moldova, Republic of",TCEN,396.0,331.0,363.5
Mongolia,TFN,102.0,84.0,93.0
Montenegro,TCEN,33398.0,0.0,16699.0
Morocco,TFN,5861.0,0.0,2930.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,766.0,760.0,763.0
Nicaragua,TFN,101.0,63.0,82.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,23829.0,25553.0,24691.0
Norway,TCER,9184.0,6883.0,8033.5
Oman,VFR,546.0,0.0,273.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,963.0,0.0,481.5
Paraguay,TFN,64.0,0.0,32.0
Peru,TFR,1101.0,0.0,550.5
Poland,TCER,15662.0,0.0,7831.0
Russian Federation,VFN,28453.0,0.0,14226.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,11352.0,0.0,5676.0
Saudi Arabia,TFN,1239.0,2438.0,1838.5
Serbia,TCEN,93953.0,103807.0,98880.0
Seychelles,TFR,688.0,913.0,800.5
Sierra Leone,TFR,58.0,0.0,29.0
Slovakia,TCEN,18451.0,21527.0,19989.0
Slovenia,TCEN,218896.0,234980.0,226938.0
South Africa,TFR,1771.0,1274.0,1522.5
Sri Lanka,TFR,2181.0,1922.0,2051.5
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,8176.0,0.0,4088.0
Switzerland,TCER,15490.0,15820.0,15655.0
Tajikistan,VFR,35.0,0.0,17.5
"Tanzania, United Republic of",VFR,1412.0,0.0,706.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,19.0,285.0,152.0
Trinidad and Tobago,TFN,47.0,70.0,58.5
Tunisia,TFN,1829.0,1999.0,1914.0
Turkey,TFN,43340.0,0.0,21670.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,7663.0,0.0,3831.5
United Arab Emirates,THSN,4446.0,10620.0,7533.0
United Kingdom,VFR,57124.0,77812.0,67468.0
United States of America,TFR,25219.0,26922.0,26070.5
Uzbekistan,VFR,215.0,0.0,107.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
