Destination,SERIES,2018,2019,Average
Albania,VFN,117.0,636.0,376.5
Angola,TFR,4145.0,5116.0,4630.5
Antigua and Barbuda,TFR,227.0,0.0,113.5
Argentina,TFR,5023.0,0.0,2511.5
Armenia,TFR,80.0,0.0,40.0
Australia,VFR,390.0,0.0,195.0
Azerbaijan,VFR,103.0,278.0,190.5
Bahamas,TFR,476.0,447.0,461.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,353.0,0.0,176.5
Belarus,VFN,311.0,556.0,433.5
Belgium,TCER,527.0,0.0,263.5
Benin,TFR,66.0,0.0,33.0
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,116.0,0.0,58.0
Brazil,TFR,4917.0,3395.0,4156.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,259.0,313.0,286.0
Canada,TFR,10657.0,0.0,5328.5
Cayman Islands,TFR,928.0,0.0,464.0
Chile,TFN,2827.0,2243.0,2535.0
China,VFN,5849.0,0.0,2924.5
Colombia,TFR,11585.0,0.0,5792.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,3149.0,3042.0,3095.5
Dominica,TFR,213.0,0.0,106.5
Dominican Republic,TFR,21226.0,19389.0,20307.5
Ecuador,VFR,4175.0,0.0,2087.5
Egypt,VFN,434.0,0.0,217.0
El Salvador,TFN,1812.0,1654.0,1733.0
Finland,TCER,171.0,192.0,181.5
Grenada,TFN,225.0,185.0,205.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,74209.0,73719.0,73964.0
Haiti,TFR,0.0,15148.0,7574.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,413.0,0.0,206.5
Indonesia,VFN,526.0,764.0,645.0
"Iran, Islamic Republic of",VFN,73.0,0.0,36.5
Israel,TFR,269.0,0.0,134.5
Italy,TFN,25051.0,26854.0,25952.5
Jamaica,TFR,3740.0,3182.0,3461.0
Japan,VFN,634.0,701.0,667.5
Jordan,TFN,15.0,0.0,7.5
Kazakhstan,VFR,152.0,224.0,188.0
"Korea, Republic of",VFN,187.0,315.0,251.0
Kuwait,VFN,91.0,0.0,45.5
Latvia,TCER,15.0,46.0,30.5
Lebanon,TFN,249.0,197.0,223.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,2.0,0.0,1.0
Malaysia,TFN,283.0,321.0,302.0
Maldives,TFN,65.0,0.0,32.5
Mali,TFR,39.0,0.0,19.5
Mauritius,TFR,21.0,12.0,16.5
Mexico,TFR,125677.0,0.0,62838.5
Mongolia,TFN,58.0,49.0,53.5
Morocco,TFN,219.0,0.0,109.5
New Zealand,VFR,42.0,41.0,41.5
Nicaragua,TFN,586.0,44077.0,22331.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,51710.0,0.0,25855.0
Paraguay,TFN,253.0,0.0,126.5
Peru,TFR,9724.0,0.0,4862.0
Poland,TCER,150.0,0.0,75.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,26944.0,0.0,13472.0
Rwanda,VFN,0.0,0.0,0.0
Saint Lucia,TFR,271.0,0.0,135.5
San Marino,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,49.0,80.0,64.5
Seychelles,TFR,65.0,52.0,58.5
Sierra Leone,TFR,135.0,0.0,67.5
South Africa,TFR,936.0,1002.0,969.0
Sri Lanka,TFR,52.0,41.0,46.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,3.0,0.0,1.5
"Tanzania, United Republic of",VFR,190.0,0.0,95.0
Thailand,TFR,0.0,0.0,0.0
Timor-Leste,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,4248.0,3416.0,3832.0
Turkey,TFN,3035.0,0.0,1517.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,539.0,0.0,269.5
United Arab Emirates,THSN,422.0,1406.0,914.0
United States of America,TFR,116437.0,106432.0,111434.5
Uzbekistan,VFR,25.0,0.0,12.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
