Destination,SERIES,2018,2019,Average
Antigua and Barbuda,TFR,122.0,0.0,61.0
Aruba,TFR,0.0,0.0,0.0
Australia,VFR,340.0,0.0,170.0
Bahamas,TFR,177.0,160.0,168.5
Barbados,TFR,141.0,0.0,70.5
Belgium,TCER,143.0,0.0,71.5
Bonaire,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,946.0,0.0,473.0
Colombia,TFR,523.0,0.0,261.5
Dominica,TFR,46.0,0.0,23.0
Dominican Republic,TFR,3251.0,1632.0,2441.5
Ecuador,VFR,310.0,0.0,155.0
Grenada,TFN,87.0,77.0,82.0
Guyana,TFR,150.0,179.0,164.5
Haiti,TFR,0.0,149.0,74.5
Honduras,TFN,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Jamaica,TFR,466.0,451.0,458.5
Kuwait,VFN,1.0,0.0,0.5
Malaysia,TFN,0.0,0.0,0.0
New Zealand,VFR,35.0,25.0,30.0
Panama,VFR,103.0,0.0,51.5
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,78.0,0.0,39.0
Seychelles,TFR,0.0,2.0,1.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,10.0,33.0,21.5
United States of America,TFR,14655.0,21761.0,18208.0
