Destination,SERIES,2018,2019,Average
Albania,VFN,2299.0,2552.0,2425.5
Angola,TFR,262.0,12.0,137.0
Antigua and Barbuda,TFR,27.0,0.0,13.5
Armenia,TFR,884.0,0.0,442.0
Australia,VFR,2690.0,0.0,1345.0
Austria,TCER,16311.0,24079.0,20195.0
Azerbaijan,VFR,277.0,538.0,407.5
Bahamas,TFR,72.0,120.0,96.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,53.0,0.0,26.5
Belarus,VFN,981.0,1100.0,1040.5
Belgium,TCER,7752.0,0.0,3876.0
Bhutan,TFN,4.0,10.0,7.0
Bosnia and Herzegovina,TCER,854.0,0.0,427.0
Botswana,TFR,118.0,0.0,59.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,11398.0,12547.0,11972.5
Canada,TFR,1921.0,0.0,960.5
Cayman Islands,TFR,24.0,0.0,12.0
Chile,TFN,130.0,159.0,144.5
China,VFN,3801.0,0.0,1900.5
Colombia,TFR,194.0,0.0,97.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,136.0,151.0,143.5
Croatia,TCER,2730.0,3329.0,3029.5
Cuba,VFR,0.0,0.0,0.0
Czech Republic,TCEN,7937.0,9876.0,8906.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,53.0,0.0,26.5
Egypt,VFN,4322.0,0.0,2161.0
Estonia,TCER,1309.0,0.0,654.5
Finland,TCER,1287.0,1670.0,1478.5
Germany,TCER,24633.0,24498.0,24565.5
Greece,TFR,697984.0,800719.0,749351.5
Grenada,TFN,14.0,7.0,10.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,16.0,18.0,17.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,1940.0,0.0,970.0
Indonesia,VFN,1899.0,3913.0,2906.0
"Iran, Islamic Republic of",VFN,204.0,0.0,102.0
Israel,TFR,8393.0,0.0,4196.5
Italy,TFN,8157.0,6920.0,7538.5
Japan,VFN,1469.0,1982.0,1725.5
Jordan,TFN,3410.0,0.0,1705.0
Kazakhstan,VFR,282.0,368.0,325.0
"Korea, Republic of",VFN,889.0,990.0,939.5
Kuwait,VFN,891.0,0.0,445.5
Latvia,TCER,1962.0,2423.0,2192.5
Lebanon,TFN,11650.0,12298.0,11974.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,107.0,61.0,84.0
Luxembourg,TCER,599.0,0.0,299.5
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,885.0,921.0,903.0
Maldives,TFN,713.0,0.0,356.5
Mali,TFR,11.0,0.0,5.5
Malta,TFR,5574.0,7398.0,6486.0
Mauritius,TFR,289.0,296.0,292.5
Mexico,TFR,811.0,0.0,405.5
"Moldova, Republic of",TCEN,326.0,369.0,347.5
Mongolia,TFN,33.0,47.0,40.0
Montenegro,TCEN,805.0,0.0,402.5
Morocco,TFN,1168.0,0.0,584.0
New Zealand,VFR,425.0,475.0,450.0
Nicaragua,TFN,13.0,15.0,14.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,1360.0,1209.0,1284.5
Norway,TCER,1837.0,1966.0,1901.5
Oman,VFR,341.0,0.0,170.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,102.0,0.0,51.0
Paraguay,TFN,12.0,0.0,6.0
Poland,TCER,4706.0,0.0,2353.0
Romania,TCER,8622.0,7895.0,8258.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,150.0,0.0,75.0
Saudi Arabia,TFN,451.0,1429.0,940.0
Serbia,TCEN,6576.0,7331.0,6953.5
Seychelles,TFR,229.0,288.0,258.5
Sierra Leone,TFR,1.0,0.0,0.5
Slovakia,TCEN,2664.0,4606.0,3635.0
Slovenia,TCEN,1473.0,1225.0,1349.0
South Africa,TFR,1660.0,1663.0,1661.5
Sri Lanka,TFR,672.0,709.0,690.5
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,1834.0,0.0,917.0
Switzerland,TCER,7170.0,6809.0,6989.5
Syrian Arab Republic,VFN,416.0,474.0,445.0
"Tanzania, United Republic of",VFR,670.0,0.0,335.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,17.0,18.0,17.5
Turkey,TFN,8800.0,0.0,4400.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,5976.0,0.0,2988.0
United Arab Emirates,THSN,3947.0,5485.0,4716.0
United Kingdom,VFR,101656.0,123930.0,112793.0
United States of America,TFR,11885.0,12591.0,12238.0
Uzbekistan,VFR,72.0,0.0,36.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
