Destination,SERIES,2018,2019,Average
Albania,VFN,24249.0,28026.0,26137.5
Angola,TFR,170.0,102.0,136.0
Antigua and Barbuda,TFR,158.0,0.0,79.0
Argentina,TFR,5317.0,0.0,2658.5
Armenia,TFR,3828.0,0.0,1914.0
Australia,VFR,10260.0,0.0,5130.0
Austria,TCER,948227.0,1026110.0,987168.5
Azerbaijan,VFR,2189.0,2384.0,2286.5
Bahamas,TFR,678.0,647.0,662.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,335.0,0.0,167.5
Belarus,VFN,11560.0,11740.0,11650.0
Belgium,TCER,45021.0,0.0,22510.5
Bhutan,TFN,285.0,279.0,282.0
Bosnia and Herzegovina,TCER,5942.0,0.0,2971.0
Botswana,TFR,1321.0,0.0,660.5
Brazil,TFR,5597.0,7442.0,6519.5
Brunei Darussalam,TFN,160.0,253.0,206.5
Bulgaria,TCER,124061.0,125762.0,124911.5
Cambodia,TFR,7000.0,0.0,3500.0
Canada,TFR,20858.0,0.0,10429.0
Cayman Islands,TFR,234.0,0.0,117.0
Chile,TFN,0.0,0.0,0.0
China,VFN,33367.0,0.0,16683.5
Colombia,TFR,2647.0,0.0,1323.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,3909.0,3723.0,3816.0
Croatia,TCER,755104.0,742248.0,748676.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,20823.0,0.0,10411.5
Dominican Republic,TFR,7687.0,7649.0,7668.0
Ecuador,VFR,1618.0,0.0,809.0
Egypt,VFN,268632.0,0.0,134316.0
El Salvador,TFN,276.0,190.0,233.0
Estonia,TCER,8252.0,0.0,4126.0
Finland,TCER,17592.0,20089.0,18840.5
Gambia,TFN,357.0,0.0,178.5
Georgia,THSR,7587.0,0.0,3793.5
Germany,TCER,623817.0,653345.0,638581.0
Greece,TFR,368076.0,402081.0,385078.5
Grenada,TFN,104.0,117.0,110.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,71.0,44.0,57.5
Honduras,TFN,0.0,0.0,0.0
Hungary,TFN,843879.0,757309.0,800594.0
India,TFN,13413.0,0.0,6706.5
Indonesia,VFN,22848.0,23941.0,23394.5
"Iran, Islamic Republic of",VFN,1925.0,0.0,962.5
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,0.0,0.0,0.0
Israel,TFR,31716.0,0.0,15858.0
Italy,TFN,1104777.0,1308598.0,1206687.5
Jamaica,TFR,1451.0,1332.0,1391.5
Japan,VFN,12255.0,14356.0,13305.5
Jordan,TFN,4905.0,0.0,2452.5
Kazakhstan,VFR,4348.0,4101.0,4224.5
"Korea, Republic of",VFN,10759.0,11527.0,11143.0
Kuwait,VFN,1912.0,0.0,956.0
Kyrgyzstan,VFR,2127.0,0.0,1063.5
Latvia,TCER,11514.0,13339.0,12426.5
Lebanon,TFN,3248.0,3362.0,3305.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,1138.0,1265.0,1201.5
Lithuania,TFR,15500.0,0.0,7750.0
Luxembourg,TCER,3522.0,0.0,1761.0
Madagascar,TFN,177.0,0.0,88.5
Malaysia,TFN,11481.0,12235.0,11858.0
Maldives,TFN,13229.0,0.0,6614.5
Mali,TFR,18.0,0.0,9.0
Malta,TFR,22872.0,23421.0,23146.5
Mauritius,TFR,14254.0,14729.0,14491.5
Mexico,TFR,12776.0,0.0,6388.0
"Moldova, Republic of",TCEN,1279.0,1203.0,1241.0
Mongolia,TFN,1116.0,1068.0,1092.0
Montenegro,TCEN,18562.0,0.0,9281.0
Morocco,TFN,20501.0,0.0,10250.5
Nepal,TFN,3320.0,4145.0,3732.5
New Zealand,VFR,5582.0,5476.0,5529.0
Nicaragua,TFN,911.0,526.0,718.5
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,5105.0,6268.0,5686.5
Norway,TCER,52050.0,54441.0,53245.5
Oman,VFR,54639.0,0.0,27319.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,184.0,0.0,92.0
Panama,VFR,2620.0,0.0,1310.0
Paraguay,TFN,260.0,0.0,130.0
Peru,TFR,5509.0,0.0,2754.5
Poland,TCER,146171.0,0.0,73085.5
Romania,TCER,29330.0,29482.0,29406.0
Russian Federation,VFN,44415.0,0.0,22207.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,20167.0,0.0,10083.5
Saudi Arabia,TFN,1076.0,2581.0,1828.5
Serbia,TCEN,17535.0,17934.0,17734.5
Seychelles,TFR,4269.0,5553.0,4911.0
Sierra Leone,TFR,25.0,0.0,12.5
Singapore,VFR,0.0,0.0,0.0
Slovakia,TCEN,701642.0,777283.0,739462.5
Slovenia,TCEN,160079.0,189802.0,174940.5
South Africa,TFR,8044.0,7751.0,7897.5
Sri Lanka,TFR,17600.0,19204.0,18402.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,31987.0,0.0,15993.5
Switzerland,TCER,60569.0,63528.0,62048.5
Tajikistan,VFR,35.0,0.0,17.5
"Tanzania, United Republic of",VFR,8506.0,0.0,4253.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,0.0,75.0,37.5
Trinidad and Tobago,TFN,143.0,320.0,231.5
Tunisia,TFN,93883.0,107584.0,100733.5
Turkey,TFN,226564.0,0.0,113282.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,78518.0,0.0,39259.0
United Arab Emirates,THSN,35681.0,91324.0,63502.5
United Kingdom,VFR,360292.0,413526.0,386909.0
United States of America,TFR,119433.0,127022.0,123227.5
Uzbekistan,VFR,1384.0,0.0,692.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
