Destination,SERIES,2018,2019,Average
Albania,VFN,37.0,25.0,31.0
Angola,TFR,327.0,327.0,327.0
Armenia,TFR,12.0,0.0,6.0
Australia,VFR,100.0,0.0,50.0
Azerbaijan,VFR,10.0,31.0,20.5
Bahamas,TFR,9.0,18.0,13.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,5.0,0.0,2.5
Belarus,VFN,112.0,95.0,103.5
Belgium,TCER,1286.0,0.0,643.0
Benin,TFR,12140.0,0.0,6070.0
Bhutan,TFN,0.0,5.0,2.5
Botswana,TFR,78.0,0.0,39.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,19.0,44.0,31.5
Burkina Faso,THSR,16715.0,0.0,8357.5
Canada,TFR,2891.0,0.0,1445.5
Cayman Islands,TFR,1.0,0.0,0.5
Central African Republic,TFN,0.0,0.0,0.0
China,VFN,10094.0,0.0,5047.0
Colombia,TFR,55.0,0.0,27.5
Congo,THSR,2317.0,0.0,1158.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,23.0,33.0,28.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,119.0,0.0,59.5
Egypt,VFN,1304.0,0.0,652.0
El Salvador,TFN,89.0,82.0,85.5
Finland,TCER,59.0,94.0,76.5
Ghana,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,2337.0,0.0,1168.5
Indonesia,VFN,834.0,729.0,781.5
Israel,TFR,2242.0,0.0,1121.0
Italy,TFN,671.0,3319.0,1995.0
Japan,VFN,393.0,574.0,483.5
Jordan,TFN,35.0,0.0,17.5
Kazakhstan,VFR,31.0,23.0,27.0
"Korea, Republic of",VFN,478.0,502.0,490.0
Kuwait,VFN,3418.0,0.0,1709.0
Lebanon,TFN,2720.0,2881.0,2800.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,338.0,0.0,169.0
Malaysia,TFN,412.0,401.0,406.5
Maldives,TFN,36.0,0.0,18.0
Mali,TFR,15731.0,0.0,7865.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,494.0,557.0,525.5
Mexico,TFR,811.0,0.0,405.5
Mongolia,TFN,5.0,3.0,4.0
Morocco,TFN,31267.0,0.0,15633.5
New Zealand,VFR,39.0,34.0,36.5
Nicaragua,TFN,0.0,7.0,3.5
Nigeria,VFN,0.0,0.0,0.0
Panama,VFR,44.0,0.0,22.0
Paraguay,TFN,1.0,0.0,0.5
Poland,TCER,131.0,0.0,65.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,5613.0,1801.0,3707.0
Senegal,THSN,0.0,0.0,0.0
Seychelles,TFR,128.0,130.0,129.0
Sierra Leone,TFR,25.0,0.0,12.5
South Africa,TFR,2696.0,2788.0,2742.0
Sri Lanka,TFR,20.0,34.0,27.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,413.0,0.0,206.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,37404.0,55478.0,46441.0
Trinidad and Tobago,TFN,14.0,18.0,16.0
Turkey,TFN,3566.0,0.0,1783.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,306.0,0.0,153.0
United Arab Emirates,THSN,360.0,3064.0,1712.0
United States of America,TFR,8298.0,8605.0,8451.5
Uzbekistan,VFR,4.0,0.0,2.0
