Destination,SERIES,2018,2019,Average
Albania,VFN,8718.0,13335.0,11026.5
Algeria,VFN,1390.0,966.0,1178.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,371.0,375.0,373.0
Antigua and Barbuda,TFR,244.0,0.0,122.0
Argentina,TFR,10731.0,0.0,5365.5
Armenia,TFR,2541.0,0.0,1270.5
Aruba,TFR,533.0,0.0,266.5
Australia,VFR,30560.0,0.0,15280.0
Austria,TCER,367698.0,385182.0,376440.0
Azerbaijan,VFR,1503.0,1980.0,1741.5
Bahamas,TFR,1598.0,1533.0,1565.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,984.0,0.0,492.0
Belarus,VFN,3276.0,3518.0,3397.0
Belgium,TCER,64833.0,0.0,32416.5
Belize,TFN,1412.0,0.0,706.0
Benin,TFR,82.0,0.0,41.0
Bhutan,TFN,263.0,416.0,339.5
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,5713.0,0.0,2856.5
Botswana,TFR,1951.0,0.0,975.5
Brazil,TFR,16778.0,17701.0,17239.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,165.0,205.0,185.0
Bulgaria,TCER,32759.0,28873.0,30816.0
Cambodia,TFR,12688.0,0.0,6344.0
Canada,TFR,43918.0,0.0,21959.0
Cayman Islands,TFR,210.0,0.0,105.0
Chile,TFN,5907.0,5738.0,5822.5
China,VFN,70023.0,0.0,35011.5
Colombia,TFR,5138.0,0.0,2569.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,368.0,270.0,319.0
Costa Rica,TFN,6574.0,7191.0,6882.5
Croatia,TCER,134164.0,136962.0,135563.0
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,746.0,0.0,373.0
Cyprus,TFR,43063.0,0.0,21531.5
Czech Republic,TCEN,101700.0,114471.0,108085.5
Dominica,TFR,86.0,0.0,43.0
Dominican Republic,TFR,4196.0,4433.0,4314.5
Ecuador,VFR,3489.0,0.0,1744.5
Egypt,VFN,82993.0,0.0,41496.5
El Salvador,TFN,1262.0,528.0,895.0
Estonia,TCER,16056.0,0.0,8028.0
Ethiopia,TFR,4132.0,0.0,2066.0
Fiji,TFR,1500.0,1677.0,1588.5
Finland,TCER,62737.0,64192.0,63464.5
France,TFR,556754.0,0.0,278377.0
French Polynesia,TFR,509.0,569.0,539.0
Gambia,TFN,2673.0,0.0,1336.5
Georgia,THSR,2134.0,0.0,1067.0
Germany,TCER,1612394.0,1647450.0,1629922.0
Greece,TFR,384543.0,307623.0,346083.0
Grenada,TFN,302.0,277.0,289.5
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,129.0,140.0,134.5
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,19915.0,16140.0,18027.5
Iceland,TFN,51019.0,49280.0,50149.5
India,TFN,28195.0,0.0,14097.5
Indonesia,VFN,46825.0,45090.0,45957.5
"Iran, Islamic Republic of",VFN,4667.0,0.0,2333.5
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,68000.0,0.0,34000.0
Israel,TFR,22458.0,0.0,11229.0
Italy,TFN,752429.0,950123.0,851276.0
Jamaica,TFR,908.0,769.0,838.5
Japan,VFN,29163.0,32893.0,31028.0
Jordan,TFN,6935.0,0.0,3467.5
Kazakhstan,VFR,1242.0,1706.0,1474.0
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,12044.0,13453.0,12748.5
Kuwait,VFN,3946.0,0.0,1973.0
Kyrgyzstan,VFR,819.0,0.0,409.5
Lao People's Democratic Republic,VFN,3892.0,3134.0,3513.0
Latvia,TCER,31036.0,31328.0,31182.0
Lebanon,TFN,18146.0,16942.0,17544.0
Lesotho,VFR,347.0,291.0,319.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,974.0,1253.0,1113.5
Lithuania,TFR,53900.0,0.0,26950.0
Luxembourg,TCER,6831.0,0.0,3415.5
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,23566.0,22314.0,22940.0
Maldives,TFN,11133.0,0.0,5566.5
Mali,TFR,395.0,0.0,197.5
Malta,TFR,41709.0,42717.0,42213.0
Mauritius,TFR,7418.0,7388.0,7403.0
Mexico,TFR,17033.0,0.0,8516.5
"Moldova, Republic of",TCEN,526.0,862.0,694.0
Monaco,THSN,1772.0,1937.0,1854.5
Mongolia,TFN,568.0,615.0,591.5
Montenegro,TCEN,8462.0,0.0,4231.0
Morocco,TFN,45799.0,0.0,22899.5
Myanmar,TFN,3977.0,3674.0,3825.5
Nepal,TFN,4840.0,4596.0,4718.0
Netherlands,TCER,162000.0,0.0,81000.0
New Zealand,VFR,13465.0,13804.0,13634.5
Nicaragua,TFN,1399.0,828.0,1113.5
Nigeria,VFN,0.0,0.0,0.0
Niue,TFR,0.0,0.0,0.0
North Macedonia,TCEN,4794.0,5080.0,4937.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Norway,TCER,426214.0,415127.0,420670.5
Oman,VFR,1705.0,0.0,852.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,59.0,0.0,29.5
Panama,VFR,2719.0,0.0,1359.5
Paraguay,TFN,503.0,0.0,251.5
Peru,TFR,7124.0,0.0,3562.0
Philippines,TFR,17884.0,18535.0,18209.5
Poland,TCER,94687.0,0.0,47343.5
Portugal,TCER,146612.0,147668.0,147140.0
Reunion,TFR,0.0,0.0,0.0
Romania,TCER,15753.0,15494.0,15623.5
Russian Federation,VFN,26952.0,0.0,13476.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
San Marino,VFN,4898.0,0.0,2449.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,3558.0,5388.0,4473.0
Senegal,THSN,0.0,0.0,0.0
Serbia,TCEN,7316.0,8219.0,7767.5
Seychelles,TFR,1883.0,1566.0,1724.5
Sierra Leone,TFR,540.0,0.0,270.0
Singapore,VFR,37417.0,38049.0,37733.0
Slovakia,TCEN,9652.0,10385.0,10018.5
Slovenia,TCEN,23241.0,25877.0,24559.0
South Africa,TFR,27649.0,24837.0,26243.0
Spain,TFR,1389543.530820482,1202527.053895674,1296035.292358078
Sri Lanka,TFR,19223.0,16869.0,18046.0
