Destination,SERIES,2018,2019,Average
Angola,TFR,158.0,10.0,84.0
Australia,VFR,0.0,0.0,0.0
Azerbaijan,VFR,27.0,65.0,46.0
Bahamas,TFR,0.0,0.0,0.0
Bangladesh,TFN,0.0,0.0,0.0
Belarus,VFN,1.0,1.0,1.0
Belgium,TCER,156.0,0.0,78.0
Benin,TFR,178.0,0.0,89.0
Bhutan,TFN,0.0,0.0,0.0
Botswana,TFR,29.0,0.0,14.5
Bulgaria,TCER,24.0,69.0,46.5
Canada,TFR,212.0,0.0,106.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,1600.0,0.0,800.0
Colombia,TFR,0.0,0.0,0.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1.0,0.0,0.5
Ecuador,VFR,0.0,0.0,0.0
Egypt,VFN,2961.0,0.0,1480.5
Ethiopia,TFR,11852.0,0.0,5926.0
Finland,TCER,12.0,9.0,10.5
Guinea,TFR,0.0,0.0,0.0
India,TFN,1044.0,0.0,522.0
Indonesia,VFN,50.0,54.0,52.0
Iraq,VFN,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Japan,VFN,90.0,163.0,126.5
Jordan,TFN,0.0,0.0,0.0
Kazakhstan,VFR,2.0,1.0,1.5
"Korea, Republic of",VFN,23.0,15.0,19.0
Kuwait,VFN,145.0,0.0,72.5
Lebanon,TFN,56.0,53.0,54.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,69.0,0.0,34.5
Malaysia,TFN,163.0,147.0,155.0
Maldives,TFN,9.0,0.0,4.5
Mali,TFR,50.0,0.0,25.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,90.0,95.0,92.5
Mexico,TFR,51.0,0.0,25.5
Mongolia,TFN,2.0,1.0,1.5
Morocco,TFN,702.0,0.0,351.0
New Zealand,VFR,4.0,12.0,8.0
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,0.0,0.0,0.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,47.0,0.0,23.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,1822.0,1270.0,1546.0
Seychelles,TFR,90.0,149.0,119.5
Sierra Leone,TFR,11.0,0.0,5.5
South Africa,TFR,100.0,110.0,105.0
Sri Lanka,TFR,9.0,9.0,9.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,337.0,0.0,168.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,135.0,233.0,184.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,2628.0,0.0,1314.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,7.0,0.0,3.5
United Arab Emirates,THSN,820.0,2721.0,1770.5
United States of America,TFR,289.0,244.0,266.5
Yemen,TFN,0.0,0.0,0.0
