Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,4262.0,0.0,2131.0
Australia,VFR,190.0,0.0,95.0
Azerbaijan,VFR,37.0,63.0,50.0
Bahamas,TFR,128.0,175.0,151.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,7169.0,0.0,3584.5
Belarus,VFN,41.0,85.0,63.0
Belgium,TCER,226.0,0.0,113.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,11.0,0.0,5.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,0.0,21.0,10.5
Canada,TFR,782.0,0.0,391.0
Cayman Islands,TFR,14.0,0.0,7.0
Chile,TFN,61.0,31.0,46.0
China,VFN,1041.0,0.0,520.5
Colombia,TFR,112.0,0.0,56.0
Costa Rica,TFN,53.0,47.0,50.0
Cuba,VFR,0.0,0.0,0.0
Ecuador,VFR,26.0,0.0,13.0
Egypt,VFN,885.0,0.0,442.5
El Salvador,TFN,18.0,31.0,24.5
Finland,TCER,43.0,50.0,46.5
Grenada,TFN,358.0,410.0,384.0
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,249.0,265.0,257.0
Haiti,TFR,0.0,11.0,5.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,424.0,0.0,212.0
Indonesia,VFN,171.0,282.0,226.5
Israel,TFR,57.0,0.0,28.5
Italy,TFN,0.0,0.0,0.0
Jamaica,TFR,316.0,324.0,320.0
Japan,VFN,67.0,85.0,76.0
Jordan,TFN,721.0,0.0,360.5
Kazakhstan,VFR,6.0,14.0,10.0
"Korea, Republic of",VFN,175.0,302.0,238.5
Kuwait,VFN,347.0,0.0,173.5
Lebanon,TFN,0.0,0.0,0.0
Malaysia,TFN,264.0,479.0,371.5
Maldives,TFN,74.0,0.0,37.0
Martinique,TFR,3580.0,0.0,1790.0
Mauritius,TFR,12.0,16.0,14.0
Mexico,TFR,97.0,0.0,48.5
Mongolia,TFN,8.0,6.0,7.0
Morocco,TFN,532.0,0.0,266.0
New Zealand,VFR,0.0,5.0,2.5
Nicaragua,TFN,6.0,34.0,20.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,337.0,0.0,168.5
Paraguay,TFN,2.0,0.0,1.0
Poland,TCER,99.0,0.0,49.5
Russian Federation,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,6708.0,0.0,3354.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,3.0,8.0,5.5
South Africa,TFR,42.0,61.0,51.5
Sri Lanka,TFR,49.0,62.0,55.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,686.0,0.0,343.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,1479.0,1377.0,1428.0
Turkey,TFN,3520.0,0.0,1760.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,133.0,0.0,66.5
United Arab Emirates,THSN,1170.0,5531.0,3350.5
United States of America,TFR,6725.0,7100.0,6912.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
