Destination,SERIES,2018,2019,Average
Albania,VFN,89.0,318.0,203.5
Angola,TFR,57.0,57.0,57.0
Antigua and Barbuda,TFR,902.0,0.0,451.0
Argentina,TFR,6177.0,0.0,3088.5
Aruba,TFR,1481.0,0.0,740.5
Australia,VFR,170.0,0.0,85.0
Azerbaijan,VFR,19.0,12.0,15.5
Bahamas,TFR,872.0,768.0,820.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,607.0,0.0,303.5
Belarus,VFN,10.0,32.0,21.0
Belgium,TCER,2120.0,0.0,1060.0
Benin,TFR,61.0,0.0,30.5
Bhutan,TFN,2.0,3.0,2.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,7.0,0.0,3.5
Brazil,TFR,4054.0,2997.0,3525.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,220.0,236.0,228.0
Canada,TFR,10684.0,0.0,5342.0
Cayman Islands,TFR,244.0,0.0,122.0
Chile,TFN,3322.0,2559.0,2940.5
China,VFN,4587.0,0.0,2293.5
Colombia,TFR,25631.0,0.0,12815.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,5897.0,6071.0,5984.0
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,2288.0,0.0,1144.0
Dominica,TFR,357.0,0.0,178.5
Ecuador,VFR,3546.0,0.0,1773.0
El Salvador,TFN,1777.0,2174.0,1975.5
Finland,TCER,94.0,118.0,106.0
Grenada,TFN,58.0,149.0,103.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,561.0,582.0,571.5
Haiti,TFR,1975.0,1130.0,1552.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,587.0,0.0,293.5
Indonesia,VFN,288.0,407.0,347.5
"Iran, Islamic Republic of",VFN,21.0,0.0,10.5
Israel,TFR,1873.0,0.0,936.5
Italy,TFN,8283.0,22123.0,15203.0
Jamaica,TFR,2213.0,2453.0,2333.0
Japan,VFN,2558.0,3009.0,2783.5
Jordan,TFN,401.0,0.0,200.5
Kazakhstan,VFR,14.0,19.0,16.5
"Korea, Republic of",VFN,1033.0,1389.0,1211.0
Kuwait,VFN,408.0,0.0,204.0
Latvia,TCER,27.0,42.0,34.5
Lebanon,TFN,550.0,382.0,466.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,271.0,265.0,268.0
Maldives,TFN,58.0,0.0,29.0
Mali,TFR,6.0,0.0,3.0
Mauritius,TFR,12.0,30.0,21.0
Mexico,TFR,15837.0,0.0,7918.5
Mongolia,TFN,7.0,6.0,6.5
Morocco,TFN,51.0,0.0,25.5
New Zealand,VFR,115.0,134.0,124.5
Nicaragua,TFN,1005.0,1209.0,1107.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,68.0,0.0,34.0
Panama,VFR,14787.0,0.0,7393.5
Paraguay,TFN,384.0,0.0,192.0
Peru,TFR,8882.0,0.0,4441.0
Poland,TCER,310.0,0.0,155.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saba,TFR,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,160.0,0.0,80.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,889.0,444.5
Seychelles,TFR,2.0,1.0,1.5
Sint Eustatius,TFR,0.0,0.0,0.0
Sint Maarten (Dutch part),TFN,2692.0,0.0,1346.0
Slovakia,TCEN,203.0,418.0,310.5
South Africa,TFR,194.0,185.0,189.5
Sri Lanka,TFR,45.0,111.0,78.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,1807.0,1640.0,1723.5
Turkey,TFN,1894.0,0.0,947.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,107.0,0.0,53.5
United Arab Emirates,THSN,696.0,2199.0,1447.5
United States of America,TFR,451058.0,488703.0,469880.5
United States Virgin Islands,THSN,86.0,107.0,96.5
Uzbekistan,VFR,10.0,0.0,5.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
