Destination,SERIES,2018,2019,Average
Albania,VFN,260.0,349.0,304.5
Angola,TFR,153.0,55.0,104.0
Antigua and Barbuda,TFR,10.0,0.0,5.0
Argentina,TFR,55307.0,0.0,27653.5
Armenia,TFR,45.0,0.0,22.5
Aruba,TFR,2680.0,0.0,1340.0
Australia,VFR,1430.0,0.0,715.0
Azerbaijan,VFR,148.0,87.0,117.5
Bahamas,TFR,886.0,891.0,888.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,58.0,0.0,29.0
Belarus,VFN,432.0,498.0,465.0
Belgium,TCER,2823.0,0.0,1411.5
Bhutan,TFN,3.0,10.0,6.5
"Bolivia, Plurinational State of",TFN,16333.0,0.0,8166.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,18.0,0.0,9.0
Brazil,TFR,29374.0,31040.0,30207.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,334.0,458.0,396.0
Cambodia,TFR,805.0,0.0,402.5
Canada,TFR,7577.0,0.0,3788.5
Cayman Islands,TFR,102.0,0.0,51.0
Chile,TFN,41126.0,41798.0,41462.0
China,VFN,14254.0,0.0,7127.0
Colombia,TFR,164031.0,0.0,82015.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,6280.0,6434.0,6357.0
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,2211.0,0.0,1105.5
Dominica,TFR,9.0,0.0,4.5
Dominican Republic,TFR,11343.0,11813.0,11578.0
Egypt,VFN,2355.0,0.0,1177.5
El Salvador,TFN,4265.0,3904.0,4084.5
Finland,TCER,259.0,391.0,325.0
French Polynesia,TFR,0.0,0.0,0.0
Grenada,TFN,29.0,19.0,24.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,101.0,115.0,108.0
Haiti,TFR,0.0,84.0,42.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,1700.0,0.0,850.0
Indonesia,VFN,1176.0,1397.0,1286.5
"Iran, Islamic Republic of",VFN,126.0,0.0,63.0
Israel,TFR,4727.0,0.0,2363.5
Italy,TFN,16546.0,19438.0,17992.0
Jamaica,TFR,350.0,491.0,420.5
Japan,VFN,2316.0,2406.0,2361.0
Jordan,TFN,582.0,0.0,291.0
Kazakhstan,VFR,281.0,306.0,293.5
"Korea, Republic of",VFN,2229.0,2628.0,2428.5
Kuwait,VFN,1592.0,0.0,796.0
Latvia,TCER,184.0,157.0,170.5
Lebanon,TFN,329.0,299.0,314.0
Madagascar,TFN,2.0,0.0,1.0
Malaysia,TFN,1026.0,1085.0,1055.5
Maldives,TFN,191.0,0.0,95.5
Mali,TFR,9.0,0.0,4.5
Mauritius,TFR,27.0,33.0,30.0
Mexico,TFR,86078.0,0.0,43039.0
Mongolia,TFN,19.0,27.0,23.0
Morocco,TFN,1032.0,0.0,516.0
New Zealand,VFR,315.0,299.0,307.0
Nicaragua,TFN,2343.0,2270.0,2306.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,1.0,0.0,0.5
Panama,VFR,78491.0,0.0,39245.5
Paraguay,TFN,3520.0,0.0,1760.0
Peru,TFR,293231.0,0.0,146615.5
Poland,TCER,495.0,0.0,247.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,160.0,204.0,182.0
Seychelles,TFR,11.0,13.0,12.0
Sierra Leone,TFR,4.0,0.0,2.0
South Africa,TFR,792.0,842.0,817.0
Sri Lanka,TFR,136.0,118.0,127.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,22.0,0.0,11.0
"Tanzania, United Republic of",VFR,261.0,0.0,130.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,194.0,220.0,207.0
Turkey,TFN,8154.0,0.0,4077.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,917.0,0.0,458.5
United Arab Emirates,THSN,677.0,3369.0,2023.0
United States of America,TFR,450857.0,456741.0,453799.0
United States Virgin Islands,THSN,1.0,2.0,1.5
Uzbekistan,VFR,31.0,0.0,15.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
