Destination,SERIES,2018,2019,Average
Albania,VFN,1211.0,1576.0,1393.5
Angola,TFR,906.0,1382.0,1144.0
Antigua and Barbuda,TFR,6.0,0.0,3.0
Armenia,TFR,622.0,0.0,311.0
Australia,VFR,3150.0,0.0,1575.0
Austria,TCER,0.0,0.0,0.0
Azerbaijan,VFR,3643.0,5772.0,4707.5
Bahamas,TFR,68.0,56.0,62.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,16.0,0.0,8.0
Belarus,VFN,988.0,1683.0,1335.5
Belgium,TCER,7515.0,0.0,3757.5
Benin,TFR,98.0,0.0,49.0
Bhutan,TFN,13.0,13.0,13.0
Bosnia and Herzegovina,TCER,850.0,0.0,425.0
Botswana,TFR,160.0,0.0,80.0
Brazil,TFR,1800.0,1800.0,1800.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,2228.0,3385.0,2806.5
Cambodia,TFR,846.0,0.0,423.0
Canada,TFR,14192.0,0.0,7096.0
Cayman Islands,TFR,12.0,0.0,6.0
Chile,TFN,204.0,238.0,221.0
China,VFN,85556.0,0.0,42778.0
Colombia,TFR,398.0,0.0,199.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,196.0,286.0,241.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,7736.0,0.0,3868.0
Dominica,TFR,6.0,0.0,3.0
Ecuador,VFR,280.0,0.0,140.0
El Salvador,TFN,46.0,70.0,58.0
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,6265.0,0.0,3132.5
Finland,TCER,1485.0,1397.0,1441.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,81.0,32.0,56.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,7019.0,5530.0,6274.5
India,TFN,20486.0,0.0,10243.0
Indonesia,VFN,18075.0,21354.0,19714.5
"Iran, Islamic Republic of",VFN,2055.0,0.0,1027.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,6281.0,0.0,3140.5
Italy,TFN,13718.0,36281.0,24999.5
Japan,VFN,4942.0,6345.0,5643.5
Jordan,TFN,48537.0,0.0,24268.5
Kazakhstan,VFR,935.0,1100.0,1017.5
"Korea, Republic of",VFN,7630.0,5833.0,6731.5
Kuwait,VFN,965490.0,0.0,482745.0
Latvia,TCER,915.0,703.0,809.0
Lebanon,TFN,92173.0,92533.0,92353.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,198.0,0.0,99.0
Malaysia,TFN,27909.0,29831.0,28870.0
Maldives,TFN,3530.0,0.0,1765.0
Mali,TFR,564.0,0.0,282.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,765.0,830.0,797.5
Mexico,TFR,1414.0,0.0,707.0
Mongolia,TFN,53.0,65.0,59.0
Morocco,TFN,26961.0,0.0,13480.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,381.0,382.0,381.5
Nicaragua,TFN,33.0,26.0,29.5
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,5886.0,0.0,2943.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,118.0,0.0,59.0
Paraguay,TFN,21.0,0.0,10.5
Peru,TFR,292.0,0.0,146.0
Philippines,TFR,2155.0,3210.0,2682.5
Poland,TCER,3260.0,0.0,1630.0
Portugal,TCER,0.0,0.0,0.0
Qatar,VFN,22461.0,0.0,11230.5
Russian Federation,VFN,26054.0,0.0,13027.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,43.0,0.0,21.5
Saudi Arabia,TFN,799950.0,917496.0,858723.0
Seychelles,TFR,358.0,390.0,374.0
Sierra Leone,TFR,346.0,0.0,173.0
Singapore,VFR,4368.0,5182.0,4775.0
Slovakia,TCEN,1606.0,2125.0,1865.5
South Africa,TFR,7798.0,8306.0,8052.0
Sri Lanka,TFR,3854.0,3708.0,3781.0
Sudan,TFN,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,4367.0,6668.0,5517.5
Tajikistan,VFR,86.0,0.0,43.0
"Tanzania, United Republic of",VFR,4496.0,0.0,2248.0
Thailand,TFR,18161.0,0.0,9080.5
Togo,THSR,3764.0,3412.0,3588.0
Trinidad and Tobago,TFN,75.0,82.0,78.5
Tunisia,TFN,10920.0,11182.0,11051.0
Turkey,TFN,147300.0,0.0,73650.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,11689.0,0.0,5844.5
United Arab Emirates,THSN,623548.0,709107.0,666327.5
United Kingdom,VFR,56187.0,52027.0,54107.0
United States of America,TFR,77248.0,82412.0,79830.0
Uzbekistan,VFR,646.0,0.0,323.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
Zimbabwe,VFR,503.0,0.0,251.5
