Destination,SERIES,2018,2019,Average
Albania,VFN,78.0,146.0,112.0
Angola,TFR,14.0,22.0,18.0
Antigua and Barbuda,TFR,31.0,0.0,15.5
Argentina,TFR,4457.0,0.0,2228.5
Armenia,TFR,15.0,0.0,7.5
Australia,VFR,260.0,0.0,130.0
Azerbaijan,VFR,14.0,13.0,13.5
Bahamas,TFR,179.0,303.0,241.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,58.0,0.0,29.0
Belarus,VFN,27.0,90.0,58.5
Belgium,TCER,711.0,0.0,355.5
Bhutan,TFN,6.0,5.0,5.5
Botswana,TFR,14.0,0.0,7.0
Brazil,TFR,2802.0,2668.0,2735.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,282.0,111.0,196.5
Canada,TFR,3533.0,0.0,1766.5
Cayman Islands,TFR,70.0,0.0,35.0
Chile,TFN,2547.0,2435.0,2491.0
China,VFN,2288.0,0.0,1144.0
Colombia,TFR,28082.0,0.0,14041.0
Costa Rica,TFN,76937.0,78948.0,77942.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,20.0,0.0,10.0
Dominican Republic,TFR,4736.0,4126.0,4431.0
Ecuador,VFR,4640.0,0.0,2320.0
Egypt,VFN,306.0,0.0,153.0
Finland,TCER,484.0,407.0,445.5
Grenada,TFN,8.0,18.0,13.0
Guatemala,VFR,1060962.0,0.0,530481.0
Guyana,TFR,35.0,77.0,56.0
Haiti,TFR,0.0,116.0,58.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,518.0,0.0,259.0
Indonesia,VFN,262.0,306.0,284.0
Israel,TFR,1455.0,0.0,727.5
Italy,TFN,197.0,1361.0,779.0
Jamaica,TFR,291.0,339.0,315.0
Japan,VFN,838.0,1080.0,959.0
Jordan,TFN,296.0,0.0,148.0
Kazakhstan,VFR,72.0,50.0,61.0
"Korea, Republic of",VFN,966.0,957.0,961.5
Kuwait,VFN,733.0,0.0,366.5
Lebanon,TFN,89.0,110.0,99.5
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,252.0,256.0,254.0
Maldives,TFN,63.0,0.0,31.5
Mali,TFR,30.0,0.0,15.0
Mauritius,TFR,6.0,0.0,3.0
Mexico,TFR,47105.0,0.0,23552.5
Mongolia,TFN,5.0,17.0,11.0
Morocco,TFN,208.0,0.0,104.0
New Zealand,VFR,71.0,39.0,55.0
Nicaragua,TFN,104756.0,105711.0,105233.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,27958.0,0.0,13979.0
Paraguay,TFN,570.0,0.0,285.0
Peru,TFR,5884.0,0.0,2942.0
Poland,TCER,348.0,0.0,174.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,18.0,33.0,25.5
Seychelles,TFR,1.0,3.0,2.0
Sierra Leone,TFR,5.0,0.0,2.5
South Africa,TFR,153.0,95.0,124.0
Sri Lanka,TFR,47.0,46.0,46.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,76.0,0.0,38.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,212.0,234.0,223.0
Turkey,TFN,902.0,0.0,451.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,236.0,0.0,118.0
United Arab Emirates,THSN,2119.0,11137.0,6628.0
United States of America,TFR,212263.0,230516.0,221389.5
United States Virgin Islands,THSN,0.0,0.0,0.0
Uzbekistan,VFR,3.0,0.0,1.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
