Destination,SERIES,2018,2019,Average
Angola,TFR,102.0,120.0,111.0
Antigua and Barbuda,TFR,0.0,0.0,0.0
Australia,VFR,40.0,0.0,20.0
Azerbaijan,VFR,2.0,68.0,35.0
Bahamas,TFR,13.0,0.0,6.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,1.0,0.0,0.5
Belgium,TCER,97.0,0.0,48.5
Benin,TFR,1527.0,0.0,763.5
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,4.0,5.0,4.5
Canada,TFR,37.0,0.0,18.5
China,VFN,1648.0,0.0,824.0
Colombia,TFR,8.0,0.0,4.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,3.0,14.0,8.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,37.0,0.0,18.5
Egypt,VFN,0.0,0.0,0.0
Finland,TCER,2.0,6.0,4.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,114.0,0.0,57.0
Indonesia,VFN,11.0,47.0,29.0
Israel,TFR,37.0,0.0,18.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,10.0,48.0,29.0
Kazakhstan,VFR,5.0,1.0,3.0
"Korea, Republic of",VFN,54.0,35.0,44.5
Kuwait,VFN,13.0,0.0,6.5
Lebanon,TFN,26.0,54.0,40.0
Malaysia,TFN,44.0,39.0,41.5
Maldives,TFN,1.0,0.0,0.5
Mali,TFR,79.0,0.0,39.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,7.0,14.0,10.5
Mexico,TFR,37.0,0.0,18.5
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,1134.0,0.0,567.0
New Zealand,VFR,4.0,3.0,3.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,3.0,0.0,1.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,42.0,54.0,48.0
Seychelles,TFR,8.0,8.0,8.0
Sierra Leone,TFR,25.0,0.0,12.5
South Africa,TFR,407.0,496.0,451.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,18.0,0.0,9.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,696.0,915.0,805.5
Trinidad and Tobago,TFN,7.0,14.0,10.5
Turkey,TFN,234.0,0.0,117.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,7.0,0.0,3.5
United Arab Emirates,THSN,45.0,391.0,218.0
United States of America,TFR,1427.0,1496.0,1461.5
