Destination,SERIES,2018,2019,Average
Albania,VFN,4.0,13.0,8.5
Angola,TFR,1465.0,1736.0,1600.5
Australia,VFR,50.0,0.0,25.0
Azerbaijan,VFR,32.0,62.0,47.0
Bahamas,TFR,0.0,0.0,0.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,11.0,43.0,27.0
Belgium,TCER,112.0,0.0,56.0
Benin,TFR,132.0,0.0,66.0
Botswana,TFR,11.0,0.0,5.5
Bulgaria,TCER,8.0,8.0,8.0
Canada,TFR,541.0,0.0,270.5
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,846.0,0.0,423.0
Colombia,TFR,10.0,0.0,5.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,0.0,3.0,1.5
Ecuador,VFR,37.0,0.0,18.5
Egypt,VFN,20504.0,0.0,10252.0
Ethiopia,TFR,3092.0,0.0,1546.0
Finland,TCER,42.0,37.0,39.5
Guinea,TFR,0.0,0.0,0.0
India,TFN,560.0,0.0,280.0
Indonesia,VFN,312.0,205.0,258.5
Israel,TFR,1076.0,0.0,538.0
Italy,TFN,0.0,1397.0,698.5
Japan,VFN,60.0,67.0,63.5
Jordan,TFN,274.0,0.0,137.0
Kazakhstan,VFR,1.0,3.0,2.0
"Korea, Republic of",VFN,26.0,23.0,24.5
Kuwait,VFN,863.0,0.0,431.5
Lebanon,TFN,253.0,241.0,247.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,380.0,340.0,360.0
Maldives,TFN,51.0,0.0,25.5
Mali,TFR,3.0,0.0,1.5
Mauritius,TFR,25.0,15.0,20.0
Mexico,TFR,387.0,0.0,193.5
Mongolia,TFN,0.0,2.0,1.0
Morocco,TFN,115.0,0.0,57.5
New Zealand,VFR,17.0,10.0,13.5
Nicaragua,TFN,1.0,1.0,1.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,4.0,0.0,2.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,13.0,0.0,6.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,1680.0,2301.0,1990.5
Seychelles,TFR,4.0,13.0,8.5
Sierra Leone,TFR,24.0,0.0,12.0
South Africa,TFR,680.0,663.0,671.5
Sri Lanka,TFR,71.0,42.0,56.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,105.0,0.0,52.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,6539.0,0.0,3269.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,9.0,0.0,4.5
United Arab Emirates,THSN,1501.0,12518.0,7009.5
United States of America,TFR,881.0,800.0,840.5
Uzbekistan,VFR,5.0,0.0,2.5
Yemen,TFN,0.0,0.0,0.0
