Destination,SERIES,2018,2019,Average
Albania,VFN,2645.0,2672.0,2658.5
Angola,TFR,258.0,20.0,139.0
Armenia,TFR,1583.0,0.0,791.5
Australia,VFR,4680.0,0.0,2340.0
Austria,TCER,28878.0,27215.0,28046.5
Azerbaijan,VFR,1163.0,1608.0,1385.5
Bahamas,TFR,395.0,370.0,382.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,90.0,0.0,45.0
Belarus,VFN,22483.0,24364.0,23423.5
Belgium,TCER,10316.0,0.0,5158.0
Bhutan,TFN,43.0,56.0,49.5
Bosnia and Herzegovina,TCER,559.0,0.0,279.5
Botswana,TFR,122.0,0.0,61.0
Brazil,TFR,1461.0,1648.0,1554.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,22028.0,21363.0,21695.5
Cambodia,TFR,3240.0,0.0,1620.0
Canada,TFR,3235.0,0.0,1617.5
Cayman Islands,TFR,17.0,0.0,8.5
Chile,TFN,438.0,650.0,544.0
China,VFN,5992.0,0.0,2996.0
Colombia,TFR,460.0,0.0,230.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,606.0,568.0,587.0
Croatia,TCER,25678.0,23977.0,24827.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,0.0,0.0,0.0
Czech Republic,TCEN,19318.0,20301.0,19809.5
Dominica,TFR,22.0,0.0,11.0
Ecuador,VFR,244.0,0.0,122.0
Egypt,VFN,32727.0,0.0,16363.5
El Salvador,TFN,74.0,49.0,61.5
Finland,TCER,95442.0,96394.0,95918.0
Gambia,TFN,0.0,0.0,0.0
Germany,TCER,59878.0,66191.0,63034.5
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,16.0,16.0,16.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,16.0,29.0,22.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,3657.0,0.0,1828.5
Indonesia,VFN,7719.0,6644.0,7181.5
Israel,TFR,5341.0,0.0,2670.5
Italy,TFN,80373.0,61721.0,71047.0
Japan,VFN,3226.0,3379.0,3302.5
Jordan,TFN,1020.0,0.0,510.0
Kazakhstan,VFR,1405.0,1737.0,1571.0
"Korea, Republic of",VFN,1375.0,1563.0,1469.0
Kuwait,VFN,188.0,0.0,94.0
Latvia,TCER,169666.0,171062.0,170364.0
Lebanon,TFN,446.0,345.0,395.5
Liechtenstein,TCER,106.0,137.0,121.5
Lithuania,TFR,82900.0,0.0,41450.0
Luxembourg,TCER,1025.0,0.0,512.5
Madagascar,TFN,42.0,0.0,21.0
Malaysia,TFN,2765.0,2921.0,2843.0
Maldives,TFN,1290.0,0.0,645.0
Mali,TFR,16.0,0.0,8.0
Malta,TFR,11119.0,12555.0,11837.0
Mauritius,TFR,1049.0,1313.0,1181.0
Mexico,TFR,2195.0,0.0,1097.5
"Moldova, Republic of",TCEN,860.0,598.0,729.0
Mongolia,TFN,75.0,131.0,103.0
Montenegro,TCEN,4122.0,0.0,2061.0
Morocco,TFN,2651.0,0.0,1325.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,807.0,793.0,800.0
Nicaragua,TFN,122.0,108.0,115.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,1508.0,1384.0,1446.0
Norway,TCER,25139.0,26205.0,25672.0
Oman,VFR,1364.0,0.0,682.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,385.0,0.0,192.5
Paraguay,TFN,57.0,0.0,28.5
Poland,TCER,47698.0,0.0,23849.0
Romania,TCER,4471.0,4601.0,4536.0
Russian Federation,VFN,477915.0,0.0,238957.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,3012.0,0.0,1506.0
Saudi Arabia,TFN,143.0,226.0,184.5
Serbia,TCEN,1786.0,1842.0,1814.0
Seychelles,TFR,515.0,631.0,573.0
Sierra Leone,TFR,33.0,0.0,16.5
Slovakia,TCEN,4949.0,5153.0,5051.0
Slovenia,TCEN,6062.0,5403.0,5732.5
South Africa,TFR,1603.0,1327.0,1465.0
Sri Lanka,TFR,2744.0,2516.0,2630.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,41272.0,0.0,20636.0
Switzerland,TCER,8241.0,7721.0,7981.0
Tajikistan,VFR,100.0,0.0,50.0
"Tanzania, United Republic of",VFR,787.0,0.0,393.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,134.0,112.0,123.0
Turkey,TFN,61469.0,0.0,30734.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,26196.0,0.0,13098.0
United Arab Emirates,THSN,5585.0,19225.0,12405.0
United Kingdom,VFR,21560.0,28624.0,25092.0
United States of America,TFR,22017.0,24153.0,23085.0
Uzbekistan,VFR,376.0,0.0,188.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
